UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
AC,1015,2,88,presidente,53,13,13
AC,1015,2,88,presidente,84,22,22
AC,1015,2,88,presidente,1,branco,branco
AC,1015,2,88,presidente,1,nulo,nulo
AC,1015,2,75,presidente,47,13,13
AC,1015,2,75,presidente,129,22,22
AC,1015,2,69,presidente,53,13,13
AC,1015,2,69,presidente,125,22,22
AC,1015,2,69,presidente,2,branco,branco
AC,1015,2,69,presidente,3,nulo,nulo
AC,1015,2,95,presidente,34,13,13
AC,1015,2,95,presidente,133,22,22
AC,1015,2,95,presidente,1,branco,branco
AC,1015,2,90,presidente,47,13,13
AC,1015,2,90,presidente,144,22,22
AC,1015,2,90,presidente,1,branco,branco
AC,1015,2,90,presidente,2,nulo,nulo
AC,1015,2,73,presidente,45,13,13
AC,1015,2,73,presidente,138,22,22
AC,1015,2,73,presidente,2,branco,branco
AC,1015,2,73,presidente,1,nulo,nulo
AC,1015,2,74,presidente,48,13,13
AC,1015,2,74,presidente,129,22,22
AC,1015,2,67,presidente,53,13,13
AC,1015,2,67,presidente,164,22,22
AC,1015,2,67,presidente,3,branco,branco
AC,1015,2,67,presidente,4,nulo,nulo
AC,1015,2,80,presidente,98,13,13
AC,1015,2,80,presidente,124,22,22
AC,1015,2,80,presidente,2,branco,branco
AC,1015,2,80,presidente,4,nulo,nulo
AC,1015,2,66,presidente,56,13,13
AC,1015,2,66,presidente,162,22,22
AC,1015,2,66,presidente,3,branco,branco
AC,1015,2,66,presidente,3,nulo,nulo
AC,1015,2,70,presidente,54,13,13
AC,1015,2,70,presidente,126,22,22
AC,1015,2,70,presidente,1,branco,branco
AC,1015,2,70,presidente,4,nulo,nulo
AC,1015,2,87,presidente,34,13,13
AC,1015,2,87,presidente,112,22,22
AC,1015,2,87,presidente,2,nulo,nulo
AC,1015,2,91,presidente,55,13,13
AC,1015,2,91,presidente,136,22,22
AC,1015,2,91,presidente,2,branco,branco
AC,1015,2,91,presidente,1,nulo,nulo
AC,1015,2,93,presidente,56,13,13
AC,1015,2,93,presidente,171,22,22
AC,1015,2,93,presidente,1,nulo,nulo
AC,1015,2,65,presidente,62,13,13
AC,1015,2,65,presidente,155,22,22
AC,1015,2,65,presidente,1,branco,branco
AC,1015,2,65,presidente,3,nulo,nulo
AC,1015,2,94,presidente,49,13,13
AC,1015,2,94,presidente,135,22,22
AC,1015,2,94,presidente,2,branco,branco
AC,1015,2,94,presidente,1,nulo,nulo
AC,1015,2,102,presidente,41,13,13
AC,1015,2,102,presidente,129,22,22
AC,1015,2,102,presidente,6,nulo,nulo
AC,1015,2,105,presidente,46,13,13
AC,1015,2,105,presidente,126,22,22
AC,1015,2,105,presidente,2,nulo,nulo
AC,1015,2,71,presidente,43,13,13
AC,1015,2,71,presidente,139,22,22
AC,1015,2,71,presidente,3,branco,branco
AC,1015,2,71,presidente,1,nulo,nulo
AC,1015,2,79,presidente,74,13,13
AC,1015,2,79,presidente,126,22,22
AC,1015,2,79,presidente,1,branco,branco
AC,1015,2,79,presidente,1,nulo,nulo
AC,1015,2,89,presidente,39,13,13
AC,1015,2,89,presidente,89,22,22
AC,1015,2,89,presidente,1,branco,branco
AC,1015,2,77,presidente,45,13,13
AC,1015,2,77,presidente,117,22,22
AC,1015,2,77,presidente,1,branco,branco
AC,1015,2,77,presidente,3,nulo,nulo
AC,1015,2,82,presidente,59,13,13
AC,1015,2,82,presidente,103,22,22
AC,1015,2,82,presidente,1,nulo,nulo
AC,1015,2,72,presidente,41,13,13
AC,1015,2,72,presidente,132,22,22
AC,1015,2,72,presidente,2,nulo,nulo
AC,1015,2,101,presidente,5,13,13
AC,1015,2,101,presidente,75,22,22
AC,1015,2,78,presidente,30,13,13
AC,1015,2,78,presidente,110,22,22
AC,1015,2,78,presidente,1,nulo,nulo
AC,1015,2,92,presidente,43,13,13
AC,1015,2,92,presidente,158,22,22
AC,1015,2,92,presidente,2,branco,branco
AC,1015,2,92,presidente,2,nulo,nulo
AC,1015,2,107,presidente,19,13,13
AC,1015,2,107,presidente,52,22,22
AC,1015,2,107,presidente,3,branco,branco
AC,1015,2,68,presidente,50,13,13
AC,1015,2,68,presidente,158,22,22
AC,1015,2,68,presidente,1,branco,branco
AC,1015,2,68,presidente,2,nulo,nulo
AC,1015,2,103,presidente,68,13,13
AC,1015,2,103,presidente,156,22,22
AC,1015,2,103,presidente,1,nulo,nulo
AC,1015,2,81,presidente,50,13,13
AC,1015,2,81,presidente,126,22,22
AC,1015,2,81,presidente,1,branco,branco
AC,1015,2,81,presidente,4,nulo,nulo
AC,1392,9,104,presidente,62,13,13
AC,1392,9,104,presidente,206,22,22
AC,1392,9,104,presidente,11,nulo,nulo
AC,1392,9,223,presidente,51,13,13
AC,1392,9,223,presidente,178,22,22
AC,1392,9,223,presidente,2,branco,branco
AC,1392,9,223,presidente,3,nulo,nulo
AC,1392,9,125,presidente,73,13,13
AC,1392,9,125,presidente,184,22,22
AC,1392,9,125,presidente,6,branco,branco
AC,1392,9,125,presidente,3,nulo,nulo
AC,1392,9,162,presidente,52,13,13
AC,1392,9,162,presidente,120,22,22
AC,1392,9,162,presidente,2,branco,branco
AC,1392,9,162,presidente,6,nulo,nulo
AC,1392,9,60,presidente,73,13,13
AC,1392,9,60,presidente,163,22,22
AC,1392,9,60,presidente,4,branco,branco
AC,1392,9,60,presidente,3,nulo,nulo
AC,1392,9,397,presidente,62,13,13
AC,1392,9,397,presidente,189,22,22
AC,1392,9,397,presidente,3,branco,branco
AC,1392,9,397,presidente,1,nulo,nulo
AC,1392,9,145,presidente,69,13,13
AC,1392,9,145,presidente,188,22,22
AC,1392,9,145,presidente,4,branco,branco
AC,1392,9,145,presidente,3,nulo,nulo
AC,1392,9,429,presidente,64,13,13
AC,1392,9,429,presidente,130,22,22
AC,1392,9,429,presidente,8,branco,branco
AC,1392,9,429,presidente,3,nulo,nulo
AC,1392,9,433,presidente,81,13,13
AC,1392,9,433,presidente,157,22,22
AC,1392,9,433,presidente,11,branco,branco
AC,1392,9,433,presidente,5,nulo,nulo
AC,1392,9,150,presidente,67,13,13
AC,1392,9,150,presidente,233,22,22
AC,1392,9,150,presidente,5,branco,branco
AC,1392,9,150,presidente,6,nulo,nulo
AC,1392,9,88,presidente,47,13,13
AC,1392,9,88,presidente,184,22,22
AC,1392,9,88,presidente,4,nulo,nulo
AC,1392,9,189,presidente,86,13,13
AC,1392,9,189,presidente,165,22,22
AC,1392,9,189,presidente,4,branco,branco
AC,1392,9,189,presidente,7,nulo,nulo
AC,1392,9,269,presidente,65,13,13
AC,1392,9,269,presidente,192,22,22
AC,1392,9,269,presidente,3,branco,branco
AC,1392,9,269,presidente,4,nulo,nulo
AC,1392,9,253,presidente,78,13,13
AC,1392,9,253,presidente,171,22,22
AC,1392,9,253,presidente,2,branco,branco
AC,1392,9,253,presidente,5,nulo,nulo
AC,1392,9,110,presidente,63,13,13
AC,1392,9,110,presidente,216,22,22
AC,1392,9,110,presidente,5,branco,branco
AC,1392,9,110,presidente,8,nulo,nulo
AC,1392,9,366,presidente,63,13,13
AC,1392,9,366,presidente,170,22,22
AC,1392,9,366,presidente,8,branco,branco
AC,1392,9,366,presidente,2,nulo,nulo
AC,1392,9,134,presidente,60,13,13
AC,1392,9,134,presidente,193,22,22
AC,1392,9,134,presidente,4,branco,branco
