UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
AL,27979,5,149,presidente,172,13,13
AL,27979,5,149,presidente,82,22,22
AL,27979,5,149,presidente,1,branco,branco
AL,27979,5,149,presidente,4,nulo,nulo
AL,27979,5,13,presidente,194,13,13
AL,27979,5,13,presidente,73,22,22
AL,27979,5,13,presidente,1,branco,branco
AL,27979,5,13,presidente,19,nulo,nulo
AL,27979,5,58,presidente,198,13,13
AL,27979,5,58,presidente,77,22,22
AL,27979,5,58,presidente,3,branco,branco
AL,27979,5,58,presidente,19,nulo,nulo
AL,27979,5,15,presidente,192,13,13
AL,27979,5,15,presidente,71,22,22
AL,27979,5,15,presidente,2,branco,branco
AL,27979,5,15,presidente,13,nulo,nulo
AL,27979,5,16,presidente,197,13,13
AL,27979,5,16,presidente,67,22,22
AL,27979,5,16,presidente,2,branco,branco
AL,27979,5,16,presidente,17,nulo,nulo
AL,27979,5,71,presidente,192,13,13
AL,27979,5,71,presidente,72,22,22
AL,27979,5,71,presidente,3,branco,branco
AL,27979,5,71,presidente,24,nulo,nulo
AL,27979,5,18,presidente,218,13,13
AL,27979,5,18,presidente,70,22,22
AL,27979,5,18,presidente,2,branco,branco
AL,27979,5,18,presidente,12,nulo,nulo
AL,27979,5,11,presidente,190,13,13
AL,27979,5,11,presidente,96,22,22
AL,27979,5,11,presidente,1,branco,branco
AL,27979,5,11,presidente,13,nulo,nulo
AL,27979,5,17,presidente,150,13,13
AL,27979,5,17,presidente,60,22,22
AL,27979,5,17,presidente,2,branco,branco
AL,27979,5,17,presidente,12,nulo,nulo
AL,27979,5,81,presidente,168,13,13
AL,27979,5,81,presidente,84,22,22
AL,27979,5,81,presidente,1,branco,branco
AL,27979,5,81,presidente,11,nulo,nulo
AL,27812,44,162,presidente,184,13,13
AL,27812,44,162,presidente,83,22,22
AL,27812,44,162,presidente,3,branco,branco
AL,27812,44,162,presidente,25,nulo,nulo
AL,27812,44,145,presidente,192,13,13
AL,27812,44,145,presidente,71,22,22
AL,27812,44,145,presidente,6,branco,branco
AL,27812,44,145,presidente,17,nulo,nulo
AL,27812,44,150,presidente,170,13,13
AL,27812,44,150,presidente,60,22,22
AL,27812,44,150,presidente,4,branco,branco
AL,27812,44,150,presidente,11,nulo,nulo
AL,27812,44,134,presidente,230,13,13
AL,27812,44,134,presidente,80,22,22
AL,27812,44,134,presidente,3,branco,branco
AL,27812,44,134,presidente,17,nulo,nulo
AL,27812,44,142,presidente,184,13,13
AL,27812,44,142,presidente,83,22,22
AL,27812,44,142,presidente,3,branco,branco
AL,27812,44,142,presidente,20,nulo,nulo
AL,27812,44,158,presidente,201,13,13
AL,27812,44,158,presidente,92,22,22
AL,27812,44,158,presidente,3,branco,branco
AL,27812,44,158,presidente,21,nulo,nulo
AL,27812,44,149,presidente,154,13,13
AL,27812,44,149,presidente,62,22,22
AL,27812,44,149,presidente,3,branco,branco
AL,27812,44,149,presidente,14,nulo,nulo
AL,27812,44,135,presidente,214,13,13
AL,27812,44,135,presidente,96,22,22
AL,27812,44,135,presidente,4,branco,branco
AL,27812,44,135,presidente,24,nulo,nulo
AL,27812,44,167,presidente,206,13,13
AL,27812,44,167,presidente,93,22,22
AL,27812,44,167,presidente,5,branco,branco
AL,27812,44,167,presidente,10,nulo,nulo
AL,27812,44,159,presidente,199,13,13
AL,27812,44,159,presidente,88,22,22
AL,27812,44,159,presidente,3,branco,branco
AL,27812,44,159,presidente,18,nulo,nulo
AL,27812,44,174,presidente,206,13,13
AL,27812,44,174,presidente,98,22,22
AL,27812,44,174,presidente,3,branco,branco
AL,27812,44,174,presidente,16,nulo,nulo
AL,27812,44,133,presidente,213,13,13
AL,27812,44,133,presidente,89,22,22
AL,27812,44,133,presidente,2,branco,branco
AL,27812,44,133,presidente,14,nulo,nulo
AL,27812,44,165,presidente,193,13,13
AL,27812,44,165,presidente,97,22,22
AL,27812,44,165,presidente,6,branco,branco
AL,27812,44,165,presidente,19,nulo,nulo
AL,27812,44,132,presidente,214,13,13
AL,27812,44,132,presidente,84,22,22
AL,27812,44,132,presidente,3,branco,branco
AL,27812,44,132,presidente,11,nulo,nulo
AL,27812,44,152,presidente,171,13,13
AL,27812,44,152,presidente,57,22,22
AL,27812,44,152,presidente,3,branco,branco
AL,27812,44,152,presidente,11,nulo,nulo
AL,27812,44,153,presidente,176,13,13
AL,27812,44,153,presidente,56,22,22
AL,27812,44,153,presidente,5,branco,branco
AL,27812,44,153,presidente,13,nulo,nulo
AL,27812,44,137,presidente,224,13,13
AL,27812,44,137,presidente,82,22,22
AL,27812,44,137,presidente,2,branco,branco
AL,27812,44,137,presidente,11,nulo,nulo
AL,27812,44,177,presidente,78,13,13
AL,27812,44,177,presidente,40,22,22
AL,27812,44,177,presidente,1,branco,branco
AL,27812,44,177,presidente,4,nulo,nulo
AL,27812,44,151,presidente,168,13,13
AL,27812,44,151,presidente,53,22,22
AL,27812,44,151,presidente,2,branco,branco
AL,27812,44,151,presidente,20,nulo,nulo
AL,27812,44,148,presidente,170,13,13
AL,27812,44,148,presidente,78,22,22
AL,27812,44,148,presidente,3,branco,branco
AL,27812,44,148,presidente,11,nulo,nulo
AL,27812,44,161,presidente,209,13,13
AL,27812,44,161,presidente,92,22,22
AL,27812,44,161,presidente,3,branco,branco
AL,27812,44,161,presidente,22,nulo,nulo
AL,27812,44,144,presidente,188,13,13
AL,27812,44,144,presidente,70,22,22
AL,27812,44,144,presidente,6,branco,branco
AL,27812,44,144,presidente,21,nulo,nulo
AL,27812,44,139,presidente,190,13,13
AL,27812,44,139,presidente,94,22,22
AL,27812,44,139,presidente,7,branco,branco
AL,27812,44,139,presidente,13,nulo,nulo
AL,27812,44,146,presidente,188,13,13
AL,27812,44,146,presidente,84,22,22
AL,27812,44,146,presidente,6,branco,branco
AL,27812,44,146,presidente,21,nulo,nulo
AL,27812,44,154,presidente,183,13,13
AL,27812,44,154,presidente,50,22,22
AL,27812,44,154,presidente,1,branco,branco
AL,27812,44,154,presidente,13,nulo,nulo
AL,27812,44,136,presidente,212,13,13
AL,27812,44,136,presidente,87,22,22
AL,27812,44,136,presidente,3,branco,branco
AL,27812,44,136,presidente,12,nulo,nulo
AL,27812,44,164,presidente,208,13,13
AL,27812,44,164,presidente,68,22,22
AL,27812,44,164,presidente,6,branco,branco
AL,27812,44,164,presidente,19,nulo,nulo
AL,27812,44,140,presidente,199,13,13
AL,27812,44,140,presidente,80,22,22
AL,27812,44,140,presidente,2,branco,branco
AL,27812,44,140,presidente,21,nulo,nulo
AL,27812,44,169,presidente,203,13,13
AL,27812,44,169,presidente,86,22,22
AL,27812,44,169,presidente,4,branco,branco
AL,27812,44,169,presidente,22,nulo,nulo
AL,27812,44,172,presidente,225,13,13
AL,27812,44,172,presidente,83,22,22
AL,27812,44,172,presidente,2,branco,branco
AL,27812,44,172,presidente,15,nulo,nulo
AL,27812,44,166,presidente,215,13,13
AL,27812,44,166,presidente,80,22,22
AL,27812,44,166,presidente,4,branco,branco
AL,27812,44,166,presidente,17,nulo,nulo
AL,27812,44,170,presidente,206,13,13
AL,27812,44,170,presidente,82,22,22
AL,27812,44,170,presidente,4,branco,branco
AL,27812,44,170,presidente,12,nulo,nulo
AL,27812,44,138,presidente,199,13,13
AL,27812,44,138,presidente,93,22,22
AL,27812,44,138,presidente,6,branco,branco
AL,27812,44,138,presidente,11,nulo,nulo
AL,27812,44,143,presidente,203,13,13
AL,27812,44,143,presidente,91,22,22
AL,27812,44,143,presidente,1,branco,branco
AL,27812,44,143,presidente,17,nulo,nulo
AL,27812,44,131,presidente,191,13,13
AL,27812,44,131,presidente,90,22,22
