UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
AM,2496,41,9,presidente,138,13,13
AM,2496,41,9,presidente,59,22,22
AM,2496,41,9,presidente,1,branco,branco
AM,2496,41,9,presidente,16,nulo,nulo
AM,2496,41,33,presidente,160,13,13
AM,2496,41,33,presidente,63,22,22
AM,2496,41,33,presidente,19,nulo,nulo
AM,2496,41,1,presidente,198,13,13
AM,2496,41,1,presidente,50,22,22
AM,2496,41,1,presidente,1,branco,branco
AM,2496,41,1,presidente,16,nulo,nulo
AM,2496,41,13,presidente,179,13,13
AM,2496,41,13,presidente,66,22,22
AM,2496,41,13,presidente,5,branco,branco
AM,2496,41,13,presidente,20,nulo,nulo
AM,2496,41,7,presidente,190,13,13
AM,2496,41,7,presidente,69,22,22
AM,2496,41,7,presidente,6,branco,branco
AM,2496,41,7,presidente,26,nulo,nulo
AM,2496,41,39,presidente,208,13,13
AM,2496,41,39,presidente,66,22,22
AM,2496,41,39,presidente,4,branco,branco
AM,2496,41,39,presidente,7,nulo,nulo
AM,2496,41,27,presidente,162,13,13
AM,2496,41,27,presidente,69,22,22
AM,2496,41,27,presidente,3,branco,branco
AM,2496,41,27,presidente,22,nulo,nulo
AM,2496,41,12,presidente,221,13,13
AM,2496,41,12,presidente,44,22,22
AM,2496,41,12,presidente,2,branco,branco
AM,2496,41,12,presidente,26,nulo,nulo
AM,2496,41,31,presidente,143,13,13
AM,2496,41,31,presidente,52,22,22
AM,2496,41,31,presidente,2,branco,branco
AM,2496,41,31,presidente,16,nulo,nulo
AM,2496,41,32,presidente,189,13,13
AM,2496,41,32,presidente,64,22,22
AM,2496,41,32,presidente,2,branco,branco
AM,2496,41,32,presidente,14,nulo,nulo
AM,2496,41,19,presidente,162,13,13
AM,2496,41,19,presidente,50,22,22
AM,2496,41,19,presidente,20,nulo,nulo
AM,2496,41,3,presidente,201,13,13
AM,2496,41,3,presidente,59,22,22
AM,2496,41,3,presidente,3,branco,branco
AM,2496,41,3,presidente,9,nulo,nulo
AM,2496,41,28,presidente,142,13,13
AM,2496,41,28,presidente,47,22,22
AM,2496,41,28,presidente,1,branco,branco
AM,2496,41,28,presidente,11,nulo,nulo
AM,2496,41,26,presidente,182,13,13
AM,2496,41,26,presidente,61,22,22
AM,2496,41,26,presidente,1,branco,branco
