UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
AP,6041,10,429,presidente,57,13,13
AP,6041,10,429,presidente,100,22,22
AP,6041,10,433,presidente,32,13,13
AP,6041,10,433,presidente,39,22,22
AP,6041,10,433,presidente,4,nulo,nulo
AP,6041,10,9,presidente,57,13,13
AP,6041,10,9,presidente,46,22,22
AP,6041,10,1,presidente,144,13,13
AP,6041,10,1,presidente,113,22,22
AP,6041,10,1,presidente,1,branco,branco
AP,6041,10,1,presidente,1,nulo,nulo
AP,6041,10,423,presidente,76,13,13
AP,6041,10,423,presidente,49,22,22
AP,6041,10,423,presidente,1,branco,branco
AP,6041,10,423,presidente,2,nulo,nulo
AP,6041,10,249,presidente,91,13,13
AP,6041,10,249,presidente,119,22,22
AP,6041,10,249,presidente,2,branco,branco
AP,6041,10,249,presidente,1,nulo,nulo
AP,6041,10,351,presidente,107,13,13
AP,6041,10,351,presidente,38,22,22
AP,6041,10,351,presidente,2,branco,branco
AP,6041,10,351,presidente,2,nulo,nulo
AP,6041,10,376,presidente,106,13,13
AP,6041,10,376,presidente,107,22,22
AP,6041,10,376,presidente,2,branco,branco
AP,6041,10,376,presidente,1,nulo,nulo
AP,6041,10,7,presidente,148,13,13
AP,6041,10,7,presidente,76,22,22
AP,6041,10,7,presidente,2,nulo,nulo
AP,6041,10,424,presidente,53,13,13
AP,6041,10,424,presidente,97,22,22
AP,6041,10,424,presidente,3,branco,branco
AP,6041,10,247,presidente,110,13,13
AP,6041,10,247,presidente,135,22,22
AP,6041,10,247,presidente,4,branco,branco
AP,6041,10,247,presidente,1,nulo,nulo
AP,6041,10,3,presidente,124,13,13
AP,6041,10,3,presidente,122,22,22
AP,6041,10,3,presidente,1,branco,branco
AP,6041,10,3,presidente,3,nulo,nulo
AP,6041,10,6,presidente,64,13,13
AP,6041,10,6,presidente,61,22,22
AP,6041,10,6,presidente,2,nulo,nulo
AP,6041,10,8,presidente,127,13,13
AP,6041,10,8,presidente,64,22,22
AP,6041,10,8,presidente,1,nulo,nulo
AP,6041,10,297,presidente,88,13,13
AP,6041,10,297,presidente,90,22,22
AP,6041,10,297,presidente,1,branco,branco
AP,6041,10,297,presidente,3,nulo,nulo
AP,6041,10,377,presidente,82,13,13
AP,6041,10,377,presidente,78,22,22
AP,6041,10,377,presidente,1,branco,branco
AP,6041,10,190,presidente,189,13,13
AP,6041,10,190,presidente,20,22,22
AP,6041,10,190,presidente,2,branco,branco
AP,6041,10,190,presidente,5,nulo,nulo
AP,6041,10,371,presidente,55,13,13
AP,6041,10,371,presidente,78,22,22
AP,6041,10,415,presidente,78,13,13
AP,6041,10,415,presidente,111,22,22
AP,6041,10,5,presidente,132,13,13
AP,6041,10,5,presidente,92,22,22
AP,6041,10,5,presidente,2,branco,branco
AP,6041,10,2,presidente,139,13,13
AP,6041,10,2,presidente,118,22,22
AP,6041,10,2,presidente,5,branco,branco
AP,6041,10,2,presidente,1,nulo,nulo
AP,6041,10,263,presidente,96,13,13
AP,6041,10,263,presidente,71,22,22
AP,6041,10,263,presidente,2,branco,branco
AP,6041,10,263,presidente,2,nulo,nulo
AP,6041,10,147,presidente,105,13,13
AP,6041,10,147,presidente,113,22,22
AP,6041,10,147,presidente,1,branco,branco
AP,6041,10,147,presidente,2,nulo,nulo
AP,6041,10,4,presidente,106,13,13
AP,6041,10,4,presidente,110,22,22
AP,6041,10,4,presidente,1,branco,branco
AP,6041,10,4,presidente,1,nulo,nulo
AP,6173,8,9,presidente,44,13,13
AP,6173,8,9,presidente,109,22,22
AP,6173,8,9,presidente,2,branco,branco
AP,6173,8,9,presidente,1,nulo,nulo
AP,6173,8,33,presidente,127,13,13
AP,6173,8,33,presidente,94,22,22
AP,6173,8,33,presidente,1,branco,branco
AP,6173,8,33,presidente,1,nulo,nulo
AP,6173,8,1,presidente,80,13,13
AP,6173,8,1,presidente,44,22,22
AP,6173,8,1,presidente,1,nulo,nulo
AP,6173,8,13,presidente,110,13,13
AP,6173,8,13,presidente,74,22,22
AP,6173,8,13,presidente,1,branco,branco
AP,6173,8,13,presidente,1,nulo,nulo
AP,6173,8,7,presidente,86,13,13
AP,6173,8,7,presidente,72,22,22
AP,6173,8,7,presidente,1,branco,branco
AP,6173,8,7,presidente,2,nulo,nulo
AP,6173,8,41,presidente,88,13,13
AP,6173,8,41,presidente,71,22,22
AP,6173,8,41,presidente,2,branco,branco
AP,6173,8,39,presidente,75,13,13
AP,6173,8,39,presidente,74,22,22
AP,6173,8,39,presidente,3,nulo,nulo
AP,6173,8,27,presidente,132,13,13
AP,6173,8,27,presidente,85,22,22
AP,6173,8,27,presidente,2,branco,branco
AP,6173,8,27,presidente,1,nulo,nulo
AP,6173,8,12,presidente,45,13,13
AP,6173,8,12,presidente,63,22,22
AP,6173,8,12,presidente,1,branco,branco
AP,6173,8,12,presidente,1,nulo,nulo
AP,6173,8,44,presidente,95,13,13
AP,6173,8,44,presidente,4,22,22
AP,6173,8,44,presidente,2,nulo,nulo
AP,6173,8,31,presidente,100,13,13
AP,6173,8,31,presidente,69,22,22
AP,6173,8,31,presidente,1,nulo,nulo
AP,6173,8,32,presidente,124,13,13
AP,6173,8,32,presidente,92,22,22
AP,6173,8,32,presidente,1,nulo,nulo
AP,6173,8,19,presidente,85,13,13
AP,6173,8,19,presidente,90,22,22
AP,6173,8,19,presidente,1,branco,branco
AP,6173,8,19,presidente,2,nulo,nulo
AP,6173,8,3,presidente,159,13,13
AP,6173,8,3,presidente,18,22,22
AP,6173,8,3,presidente,3,nulo,nulo
AP,6173,8,28,presidente,78,13,13
AP,6173,8,28,presidente,75,22,22
AP,6173,8,28,presidente,2,branco,branco
AP,6173,8,28,presidente,1,nulo,nulo
AP,6173,8,26,presidente,98,13,13
AP,6173,8,26,presidente,74,22,22
AP,6173,8,26,presidente,1,nulo,nulo
AP,6173,8,38,presidente,83,13,13
AP,6173,8,38,presidente,98,22,22
AP,6173,8,38,presidente,1,branco,branco
AP,6173,8,38,presidente,2,nulo,nulo
AP,6173,8,6,presidente,96,13,13
AP,6173,8,6,presidente,74,22,22
AP,6173,8,6,presidente,2,branco,branco
AP,6173,8,6,presidente,1,nulo,nulo
AP,6173,8,8,presidente,90,13,13
AP,6173,8,8,presidente,75,22,22
AP,6173,8,8,presidente,6,nulo,nulo
AP,6173,8,40,presidente,98,13,13
AP,6173,8,40,presidente,71,22,22
AP,6173,8,40,presidente,2,branco,branco
AP,6173,8,40,presidente,2,nulo,nulo
AP,6173,8,20,presidente,58,13,13
AP,6173,8,20,presidente,30,22,22
AP,6173,8,20,presidente,1,branco,branco
AP,6173,8,37,presidente,93,13,13
AP,6173,8,37,presidente,75,22,22
AP,6173,8,37,presidente,2,branco,branco
AP,6173,8,37,presidente,3,nulo,nulo
AP,6173,8,15,presidente,113,13,13
AP,6173,8,15,presidente,68,22,22
AP,6173,8,15,presidente,1,branco,branco
AP,6173,8,15,presidente,2,nulo,nulo
AP,6173,8,22,presidente,12,13,13
AP,6173,8,22,presidente,14,22,22
AP,6173,8,16,presidente,88,13,13
AP,6173,8,16,presidente,81,22,22
AP,6173,8,16,presidente,1,nulo,nulo
AP,6173,8,24,presidente,76,13,13
AP,6173,8,24,presidente,5,22,22
AP,6173,8,24,presidente,4,nulo,nulo
AP,6173,8,23,presidente,115,13,13
AP,6173,8,23,presidente,10,22,22
AP,6173,8,23,presidente,3,nulo,nulo
AP,6173,8,18,presidente,69,13,13
AP,6173,8,18,presidente,79,22,22
AP,6173,8,18,presidente,1,branco,branco
AP,6173,8,18,presidente,4,nulo,nulo
AP,6173,8,30,presidente,111,13,13
AP,6173,8,30,presidente,98,22,22
AP,6173,8,30,presidente,4,nulo,nulo
AP,6173,8,29,presidente,25,13,13
AP,6173,8,29,presidente,97,22,22
AP,6173,8,29,presidente,1,branco,branco
AP,6173,8,29,presidente,2,nulo,nulo
AP,6173,8,43,presidente,89,13,13
AP,6173,8,43,presidente,85,22,22
AP,6173,8,43,presidente,3,branco,branco
AP,6173,8,43,presidente,1,nulo,nulo
AP,6173,8,34,presidente,132,13,13
AP,6173,8,34,presidente,88,22,22
AP,6173,8,34,presidente,2,nulo,nulo
AP,6173,8,5,presidente,115,13,13
AP,6173,8,5,presidente,80,22,22
AP,6173,8,5,presidente,2,branco,branco
AP,6173,8,36,presidente,43,13,13
AP,6173,8,36,presidente,6,22,22
AP,6173,8,10,presidente,115,13,13
AP,6173,8,10,presidente,64,22,22
AP,6173,8,10,presidente,2,branco,branco
AP,6173,8,10,presidente,3,nulo,nulo
AP,6173,8,2,presidente,53,13,13
AP,6173,8,2,presidente,26,22,22
AP,6173,8,2,presidente,1,nulo,nulo
AP,6173,8,21,presidente,110,13,13
AP,6173,8,21,presidente,58,22,22
AP,6173,8,21,presidente,2,nulo,nulo
AP,6173,8,11,presidente,8,13,13
AP,6173,8,11,presidente,26,22,22
AP,6173,8,11,presidente,1,nulo,nulo
AP,6173,8,42,presidente,49,13,13
AP,6173,8,42,presidente,42,22,22
AP,6173,8,42,presidente,1,branco,branco
AP,6173,8,42,presidente,1,nulo,nulo
AP,6173,8,4,presidente,95,13,13
AP,6173,8,4,presidente,76,22,22
AP,6173,8,4,presidente,1,branco,branco
AP,6173,8,4,presidente,3,nulo,nulo
AP,6173,8,17,presidente,122,13,13
AP,6173,8,17,presidente,121,22,22
AP,6173,8,17,presidente,4,nulo,nulo
AP,6173,8,25,presidente,102,13,13
AP,6173,8,25,presidente,17,22,22
AP,6173,8,14,presidente,78,13,13
AP,6173,8,14,presidente,84,22,22
AP,6173,8,14,presidente,3,nulo,nulo
AP,6033,1,60,presidente,130,13,13
AP,6033,1,60,presidente,63,22,22
AP,6033,1,60,presidente,2,branco,branco
AP,6033,1,60,presidente,1,nulo,nulo
AP,6033,1,75,presidente,98,13,13
AP,6033,1,75,presidente,42,22,22
AP,6033,1,75,presidente,1,nulo,nulo
AP,6033,1,58,presidente,112,13,13
AP,6033,1,58,presidente,52,22,22
AP,6033,1,58,presidente,1,branco,branco
AP,6033,1,58,presidente,2,nulo,nulo
AP,6033,1,69,presidente,84,13,13
AP,6033,1,69,presidente,36,22,22
AP,6033,1,69,presidente,1,nulo,nulo
AP,6033,1,73,presidente,124,13,13
AP,6033,1,73,presidente,63,22,22
AP,6033,1,73,presidente,2,branco,branco
AP,6033,1,73,presidente,2,nulo,nulo
AP,6033,1,53,presidente,167,13,13
AP,6033,1,53,presidente,79,22,22
AP,6033,1,53,presidente,3,branco,branco
AP,6033,1,55,presidente,104,13,13
AP,6033,1,55,presidente,57,22,22
AP,6033,1,55,presidente,1,nulo,nulo
AP,6033,1,74,presidente,122,13,13
AP,6033,1,74,presidente,52,22,22
AP,6033,1,74,presidente,2,branco,branco
AP,6033,1,74,presidente,4,nulo,nulo
AP,6033,1,67,presidente,146,13,13
AP,6033,1,67,presidente,79,22,22
AP,6033,1,67,presidente,1,branco,branco
AP,6033,1,67,presidente,3,nulo,nulo
