UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
CE,14796,44,104,presidente,70,13,13
CE,14796,44,104,presidente,111,22,22
CE,14796,44,104,presidente,3,branco,branco
CE,14796,44,104,presidente,2,nulo,nulo
CE,14796,44,162,presidente,156,13,13
CE,14796,44,162,presidente,48,22,22
CE,14796,44,162,presidente,4,branco,branco
CE,14796,44,162,presidente,6,nulo,nulo
CE,14796,44,145,presidente,155,13,13
CE,14796,44,145,presidente,129,22,22
CE,14796,44,145,presidente,4,branco,branco
CE,14796,44,145,presidente,7,nulo,nulo
CE,14796,44,88,presidente,113,13,13
CE,14796,44,88,presidente,150,22,22
CE,14796,44,88,presidente,7,branco,branco
CE,14796,44,88,presidente,5,nulo,nulo
CE,14796,44,9,presidente,120,13,13
CE,14796,44,9,presidente,99,22,22
CE,14796,44,9,presidente,4,branco,branco
CE,14796,44,9,presidente,3,nulo,nulo
CE,14796,44,1,presidente,123,13,13
CE,14796,44,1,presidente,105,22,22
CE,14796,44,1,presidente,5,branco,branco
CE,14796,44,1,presidente,3,nulo,nulo
CE,14796,44,149,presidente,106,13,13
CE,14796,44,149,presidente,114,22,22
CE,14796,44,149,presidente,4,branco,branco
CE,14796,44,149,presidente,7,nulo,nulo
CE,14796,44,13,presidente,157,13,13
CE,14796,44,13,presidente,106,22,22
CE,14796,44,13,presidente,4,branco,branco
CE,14796,44,13,presidente,6,nulo,nulo
CE,14796,44,182,presidente,64,13,13
CE,14796,44,182,presidente,45,22,22
CE,14796,44,182,presidente,3,branco,branco
CE,14796,44,182,presidente,4,nulo,nulo
CE,14796,44,7,presidente,62,13,13
CE,14796,44,7,presidente,126,22,22
CE,14796,44,7,presidente,4,branco,branco
CE,14796,44,7,presidente,2,nulo,nulo
CE,14796,44,167,presidente,139,13,13
CE,14796,44,167,presidente,109,22,22
CE,14796,44,167,presidente,5,branco,branco
CE,14796,44,167,presidente,7,nulo,nulo
CE,14796,44,84,presidente,122,13,13
CE,14796,44,84,presidente,92,22,22
CE,14796,44,84,presidente,1,branco,branco
CE,14796,44,84,presidente,5,nulo,nulo
CE,14796,44,90,presidente,133,13,13
CE,14796,44,90,presidente,92,22,22
CE,14796,44,90,presidente,4,branco,branco
CE,14796,44,90,presidente,7,nulo,nulo
CE,14796,44,174,presidente,121,13,13
CE,14796,44,174,presidente,139,22,22
CE,14796,44,174,presidente,2,branco,branco
CE,14796,44,174,presidente,7,nulo,nulo
CE,14796,44,27,presidente,77,13,13
CE,14796,44,27,presidente,105,22,22
CE,14796,44,27,presidente,5,branco,branco
CE,14796,44,27,presidente,3,nulo,nulo
CE,14796,44,165,presidente,124,13,13
CE,14796,44,165,presidente,90,22,22
CE,14796,44,165,presidente,2,branco,branco
CE,14796,44,165,presidente,3,nulo,nulo
CE,14796,44,132,presidente,93,13,13
CE,14796,44,132,presidente,105,22,22
CE,14796,44,132,presidente,3,branco,branco
CE,14796,44,132,presidente,3,nulo,nulo
CE,14796,44,12,presidente,145,13,13
CE,14796,44,12,presidente,143,22,22
CE,14796,44,12,presidente,2,branco,branco
CE,14796,44,12,presidente,5,nulo,nulo
CE,14796,44,152,presidente,55,13,13
CE,14796,44,152,presidente,31,22,22
CE,14796,44,152,presidente,3,nulo,nulo
CE,14796,44,141,presidente,181,13,13
CE,14796,44,141,presidente,59,22,22
CE,14796,44,141,presidente,5,branco,branco
CE,14796,44,141,presidente,5,nulo,nulo
CE,14796,44,19,presidente,92,13,13
CE,14796,44,19,presidente,123,22,22
CE,14796,44,19,presidente,2,branco,branco
CE,14796,44,19,presidente,4,nulo,nulo
CE,14796,44,3,presidente,84,13,13
CE,14796,44,3,presidente,102,22,22
CE,14796,44,3,presidente,1,branco,branco
CE,14796,44,3,presidente,1,nulo,nulo
CE,14796,44,180,presidente,111,13,13
CE,14796,44,180,presidente,115,22,22
CE,14796,44,180,presidente,3,branco,branco
CE,14796,44,180,presidente,6,nulo,nulo
CE,14796,44,129,presidente,128,13,13
CE,14796,44,129,presidente,167,22,22
CE,14796,44,129,presidente,2,branco,branco
CE,14796,44,129,presidente,5,nulo,nulo
CE,14796,44,87,presidente,134,13,13
CE,14796,44,87,presidente,121,22,22
CE,14796,44,87,presidente,7,branco,branco
CE,14796,44,87,presidente,8,nulo,nulo
CE,14796,44,26,presidente,123,13,13
CE,14796,44,26,presidente,158,22,22
CE,14796,44,26,presidente,4,branco,branco
CE,14796,44,26,presidente,9,nulo,nulo
CE,14796,44,151,presidente,156,13,13
CE,14796,44,151,presidente,105,22,22
CE,14796,44,151,presidente,1,branco,branco
CE,14796,44,151,presidente,5,nulo,nulo
CE,14796,44,148,presidente,109,13,13
CE,14796,44,148,presidente,54,22,22
CE,14796,44,148,presidente,2,nulo,nulo
CE,14796,44,144,presidente,131,13,13
CE,14796,44,144,presidente,151,22,22
CE,14796,44,144,presidente,2,branco,branco
CE,14796,44,144,presidente,1,nulo,nulo
CE,14796,44,6,presidente,93,13,13
CE,14796,44,6,presidente,90,22,22
CE,14796,44,6,presidente,3,branco,branco
CE,14796,44,6,presidente,3,nulo,nulo
CE,14796,44,8,presidente,105,13,13
CE,14796,44,8,presidente,116,22,22
CE,14796,44,8,presidente,4,branco,branco
CE,14796,44,8,presidente,5,nulo,nulo
CE,14796,44,20,presidente,79,13,13
CE,14796,44,20,presidente,146,22,22
CE,14796,44,20,presidente,3,branco,branco
CE,14796,44,20,presidente,1,nulo,nulo
