UF,municipio,zona,secao,qtdEleitoresAptos,qtdComparecimento,dataHoraAbertura,dataHoraEncerramento,idPleito,qtdEleitoresLibCodigo,qtdEleitoresCompBiometrico,modelo
DF,97012,9,104,304,259,20221030T080001,20221030T170143,407,21,236,UE2020
DF,97012,9,125,333,282,20221030T080001,20221030T170353,407,20,258,UE2020
DF,97012,9,162,329,284,20221030T080001,20221030T170114,407,27,283,UE2020
DF,97012,9,60,281,216,20221030T080001,20221030T170432,407,19,204,UE2020
DF,97012,9,397,307,264,20221030T080001,20221030T170347,407,12,246,UE2020
DF,97012,9,145,348,291,20221030T080102,20221030T170039,407,21,270,UE2020
DF,97012,9,429,395,341,20221030T080001,20221030T170215,407,19,259,UE2020
DF,97012,9,433,305,229,20221030T080001,20221030T170232,407,2,161,UE2020
DF,97012,9,150,325,277,20221030T080001,20221030T170420,407,18,273,UE2020
DF,97012,9,88,232,191,20221030T080001,20221030T170419,407,14,167,UE2020
DF,97012,9,189,373,301,20221030T080001,20221030T170615,407,9,282,UE2020
DF,97012,9,269,429,363,20221030T080001,20221030T170712,407,12,358,UE2020
DF,97012,9,253,346,258,20221030T080001,20221030T170131,407,9,229,UE2020
DF,97012,9,110,304,249,20221030T080001,20221030T170427,407,28,232,UE2020
DF,97012,9,366,310,246,20221030T080001,20221030T170524,407,12,241,UE2020
DF,97012,9,134,340,289,20221030T080001,20221030T170339,407,29,270,UE2020
DF,97012,9,9,316,278,20221030T080001,20221030T170148,407,15,261,UE2020
DF,97012,9,142,352,300,20221030T080341,20221030T170039,407,20,270,UE2020
DF,97012,9,389,306,265,20221030T080001,20221030T170413,407,11,228,UE2020
DF,97012,9,241,334,291,20221030T080001,20221030T170303,407,11,275,UE2020
DF,97012,9,362,301,263,20221030T080001,20221030T170514,407,7,261,UE2020
DF,97012,9,268,332,275,20221030T080001,20221030T170258,407,7,219,UE2020
DF,97012,9,33,249,215,20221030T080002,20221030T170415,407,16,200,UE2020
DF,97012,9,158,328,277,20221030T080001,20221030T170440,407,3,272,UE2020
DF,97012,9,350,304,257,20221030T080001,20221030T170249,407,8,256,UE2020
DF,97012,9,75,232,198,20221030T080001,20221030T170330,407,12,182,UE2020
DF,97012,9,409,310,260,20221030T080001,20221030T170453,407,2,235,UE2020
DF,97012,9,369,304,276,20221030T080001,20221030T170347,407,13,271,UE2020
DF,97012,9,1,315,265,20221030T080001,20221030T170243,407,16,247,UE2020
DF,97012,9,326,302,220,20221030T080002,20221030T170620,407,5,216,UE2020
DF,97012,9,299,299,248,20221030T080001,20221030T170315,407,16,242,UE2020
DF,97012,9,256,429,363,20221030T080351,20221030T170825,407,24,338,UE2020
DF,97012,9,344,305,254,20221030T080001,20221030T170443,407,11,249,UE2020
DF,97012,9,149,347,294,20221030T080001,20221030T170604,407,15,280,UE2020
DF,97012,9,282,328,281,20221030T080001,20221030T170252,407,10,264,UE2020
DF,97012,9,194,325,283,20221030T080001,20221030T170526,407,8,264,UE2020
DF,97012,9,345,307,266,20221030T080001,20221030T170249,407,10,241,UE2020
DF,97012,9,13,416,340,20221030T080001,20221030T170121,407,16,328,UE2020
DF,97012,9,130,341,291,20221030T080001,20221030T170314,407,18,272,UE2020
DF,97012,9,135,335,295,20221030T080001,20221030T170334,407,18,279,UE2020
DF,97012,9,225,255,222,20221030T080001,20221030T170144,407,7,210,UE2020
DF,97012,9,111,307,266,20221030T080001,20221030T170417,407,13,248,UE2020
DF,97012,9,438,349,268,20221030T080001,20221030T170403,407,4,116,UE2020
DF,97012,9,380,309,264,20221030T080001,20221030T170242,407,10,235,UE2020
DF,97012,9,155,322,266,20221030T080001,20221030T170408,407,15,262,UE2020
DF,97012,9,430,302,218,20221030T080001,20221030T170316,407,8,213,UE2020
DF,97012,9,367,307,274,20221030T080001,20221030T170250,407,13,246,UE2020
DF,97012,9,96,278,235,20221030T080001,20221030T170353,407,10,225,UE2020
DF,97012,9,373,309,250,20221030T080001,20221030T170751,407,15,249,UE2020
DF,97012,9,423,390,325,20221030T080001,20221030T170315,407,5,243,UE2020
DF,97012,9,58,280,236,20221030T080001,20221030T170432,407,5,225,UE2020
DF,97012,9,382,303,254,20221030T080001,20221030T170359,407,12,243,UE2020
DF,97012,9,127,340,288,20221030T080001,20221030T170429,407,15,270,UE2020
DF,97012,9,403,306,260,20221030T080001,20221030T170408,407,7,240,UE2020
DF,97012,9,342,279,234,20221030T080001,20221030T170258,407,8,234,UE2020
DF,97012,9,229,339,287,20221030T080001,20221030T170202,407,16,257,UE2020
DF,97012,9,252,273,227,20221030T080001,20221030T170229,407,11,226,UE2020
DF,97012,9,69,235,202,20221030T080001,20221030T170225,407,13,191,UE2020
DF,97012,9,249,353,243,20221030T080001,20221030T170023,407,5,220,UE2020
DF,97012,9,218,331,283,20221030T080001,20221030T170327,407,7,227,UE2020
DF,97012,9,203,338,273,20221030T080001,20221030T170447,407,12,243,UE2020
DF,97012,9,235,324,277,20221030T080001,20221030T170554,407,9,271,UE2020
DF,97012,9,385,277,216,20221030T080001,20221030T170433,407,16,212,UE2020
DF,97012,9,322,460,403,20221030T080411,20221030T170255,407,14,381,UE2020
DF,97012,9,291,461,409,20221030T080001,20221030T170443,407,15,378,UE2020
DF,97012,9,284,345,256,20221030T080001,20221030T170506,407,6,230,UE2020
DF,97012,9,266,334,289,20221030T080001,20221030T170545,407,9,283,UE2020
DF,97012,9,351,285,252,20221030T080001,20221030T170602,407,19,252,UE2020
DF,97012,9,186,327,287,20221030T080001,20221030T170248,407,8,265,UE2020
DF,97012,9,182,331,292,20221030T080001,20221030T170550,407,7,265,UE2020
DF,97012,9,213,310,266,20221030T080001,20221030T170125,407,11,248,UE2020
DF,97012,9,301,318,257,20221030T080001,20221030T170359,407,16,248,UE2020
DF,97012,9,287,264,233,20221030T080001,20221030T170533,407,9,233,UE2020
DF,97012,9,399,283,217,20221030T080032,20221030T170249,407,6,214,UE2020
DF,97012,9,387,300,252,20221030T080023,20221030T170417,407,5,245,UE2020
DF,97012,9,320,311,263,20221030T080001,20221030T170410,407,13,239,UE2020
DF,97012,9,376,281,230,20221030T080001,20221030T170159,407,14,221,UE2020
DF,97012,9,7,316,265,20221030T080001,20221030T170224,407,13,258,UE2020
DF,97012,9,245,349,264,20221030T080431,20221030T170516,407,7,235,UE2020
DF,97012,9,112,307,259,20221030T080001,20221030T170229,407,11,232,UE2020
DF,97012,9,41,249,210,20221030T080001,20221030T170013,407,13,201,UE2020
DF,97012,9,209,334,283,20221030T080001,20221030T171106,407,12,258,UE2020
DF,97012,9,167,366,289,20221030T080001,20221030T170557,407,18,269,UE2020
DF,97012,9,159,323,268,20221030T080001,20221030T170404,407,13,264,UE2020
DF,97012,9,394,282,233,20221030T080001,20221030T170323,407,8,230,UE2020
DF,97012,9,348,308,275,20221030T080001,20221030T170606,407,6,274,UE2020
DF,97012,9,270,335,282,20221030T080001,20221030T170128,407,9,277,UE2020
DF,97012,9,109,302,263,20221030T080001,20221030T170715,407,19,238,UE2020
DF,97012,9,308,314,248,20221030T080001,20221030T170615,407,13,242,UE2020
DF,97012,9,304,318,260,20221030T080001,20221030T170322,407,8,244,UE2020
DF,97012,9,84,231,190,20221030T080001,20221030T170059,407,13,170,UE2020
DF,97012,9,95,257,219,20221030T080001,20221030T170733,407,8,197,UE2020
DF,97012,9,292,278,242,20221030T080001,20221030T170415,407,1,225,UE2020
DF,97012,9,39,254,221,20221030T080001,20221030T170119,407,13,213,UE2020
DF,97012,9,257,328,266,20221030T080001,20221030T170224,407,11,248,UE2020
DF,97012,9,406,316,252,20221030T080001,20221030T170920,407,10,239,UE2020
DF,97012,9,314,312,262,20221030T080001,20221030T170243,407,8,229,UE2020
DF,97012,9,90,232,187,20221030T080001,20221030T170148,407,6,168,UE2020
DF,97012,9,315,441,364,20221030T080001,20221030T170710,407,35,361,UE2020
DF,97012,9,174,364,306,20221030T080533,20221030T170456,407,11,295,UE2020
DF,97012,9,73,246,211,20221030T080001,20221030T170155,407,16,198,UE2020
DF,97012,9,27,343,275,20221030T080001,20221030T170243,407,10,251,UE2020
DF,97012,9,307,325,272,20221030T080001,20221030T170349,407,8,256,UE2020
DF,97012,9,47,260,226,20221030T080001,20221030T170943,407,13,199,UE2020
DF,97012,9,436,357,264,20221030T080001,20221030T170356,407,3,56,UE2020
DF,97012,9,205,333,282,20221030T080001,20221030T170255,407,13,254,UE2020
DF,97012,9,425,334,260,20221030T080100,20221030T170648,407,8,245,UE2020
DF,97012,9,133,338,297,20221030T080001,20221030T170149,407,10,287,UE2020
DF,97012,9,53,259,217,20221030T080001,20221030T170744,407,7,198,UE2020
DF,97012,9,424,332,257,20221030T080001,20221030T170429,407,5,232,UE2020
DF,97012,9,199,309,261,20221030T080001,20221030T170920,407,6,240,UE2020
DF,97012,9,280,332,260,20221030T080001,20221030T170528,407,5,250,UE2020
DF,97012,9,296,305,234,20221030T080001,20221030T170302,407,6,167,UE2020
DF,97012,9,165,322,272,20221030T080001,20221030T170342,407,4,265,UE2020
DF,97012,9,407,321,255,20221030T080002,20221030T170704,407,4,245,UE2020
DF,97012,9,132,339,299,20221030T080001,20221030T170331,407,17,280,UE2020
DF,97012,9,86,232,189,20221030T080001,20221030T170121,407,14,171,UE2020
DF,97012,9,294,312,246,20221030T080001,20221030T170358,407,6,232,UE2020
DF,97012,9,191,380,313,20221030T080001,20221030T170414,407,16,299,UE2020
DF,97012,9,237,329,285,20221030T080001,20221030T170036,407,11,272,UE2020
DF,97012,9,251,331,285,20221030T080001,20221030T170547,407,16,275,UE2020
DF,97012,9,347,301,271,20221030T080001,20221030T170351,407,22,269,UE2020
DF,97012,9,379,300,262,20221030T080001,20221030T170359,407,14,259,UE2020
DF,97012,9,152,320,274,20221030T080001,20221030T170105,407,13,271,UE2020
DF,97012,9,259,330,271,20221030T080001,20221030T170222,407,13,263,UE2020
DF,97012,9,354,307,250,20221030T080001,20221030T170815,407,17,246,UE2020
DF,97012,9,286,323,266,20221030T080001,20221030T170310,407,5,251,UE2020
DF,97012,9,55,255,212,20221030T080001,20221030T171028,407,6,189,UE2020
DF,97012,9,141,348,296,20221030T080001,20221030T170427,407,31,280,UE2020
DF,97012,9,434,352,257,20221030T080530,20221030T170656,407,1,187,UE2020
DF,97012,9,118,339,294,20221030T080001,20221030T170416,407,18,266,UE2020
DF,97012,9,121,340,290,20221030T080001,20221030T170024,407,17,268,UE2020
DF,97012,9,115,335,286,20221030T080001,20221030T170220,407,20,265,UE2020
DF,97012,9,327,308,231,20221030T080001,20221030T170935,407,7,224,UE2020
DF,97012,9,364,299,256,20221030T080001,20221030T170405,407,10,256,UE2020
DF,97012,9,119,339,293,20221030T080001,20221030T170427,407,9,273,UE2020
DF,97012,9,353,303,258,20221030T080001,20221030T170807,407,13,257,UE2020
DF,97012,9,46,257,221,20221030T080001,20221030T170749,407,13,197,UE2020
