UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
DF,97012,9,104,presidente,104,13,13
DF,97012,9,104,presidente,142,22,22
DF,97012,9,104,presidente,6,branco,branco
DF,97012,9,104,presidente,7,nulo,nulo
DF,97012,9,125,presidente,125,13,13
DF,97012,9,125,presidente,147,22,22
DF,97012,9,125,presidente,5,branco,branco
DF,97012,9,125,presidente,5,nulo,nulo
DF,97012,9,162,presidente,109,13,13
DF,97012,9,162,presidente,167,22,22
DF,97012,9,162,presidente,5,branco,branco
DF,97012,9,162,presidente,3,nulo,nulo
DF,97012,9,60,presidente,93,13,13
DF,97012,9,60,presidente,114,22,22
DF,97012,9,60,presidente,5,branco,branco
DF,97012,9,60,presidente,4,nulo,nulo
DF,97012,9,397,presidente,111,13,13
DF,97012,9,397,presidente,140,22,22
DF,97012,9,397,presidente,8,branco,branco
DF,97012,9,397,presidente,5,nulo,nulo
DF,97012,9,145,presidente,135,13,13
DF,97012,9,145,presidente,146,22,22
DF,97012,9,145,presidente,3,branco,branco
DF,97012,9,145,presidente,7,nulo,nulo
DF,97012,9,429,presidente,157,13,13
DF,97012,9,429,presidente,175,22,22
DF,97012,9,429,presidente,7,branco,branco
DF,97012,9,429,presidente,2,nulo,nulo
DF,97012,9,433,presidente,83,13,13
DF,97012,9,433,presidente,131,22,22
DF,97012,9,433,presidente,7,branco,branco
DF,97012,9,433,presidente,8,nulo,nulo
DF,97012,9,150,presidente,108,13,13
DF,97012,9,150,presidente,156,22,22
DF,97012,9,150,presidente,4,branco,branco
DF,97012,9,150,presidente,9,nulo,nulo
DF,97012,9,88,presidente,80,13,13
DF,97012,9,88,presidente,108,22,22
DF,97012,9,88,presidente,1,branco,branco
DF,97012,9,88,presidente,2,nulo,nulo
DF,97012,9,189,presidente,114,13,13
DF,97012,9,189,presidente,178,22,22
DF,97012,9,189,presidente,6,branco,branco
DF,97012,9,189,presidente,3,nulo,nulo
DF,97012,9,269,presidente,157,13,13
DF,97012,9,269,presidente,194,22,22
