UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
ES,56871,35,104,presidente,67,13,13
ES,56871,35,104,presidente,163,22,22
ES,56871,35,104,presidente,1,branco,branco
ES,56871,35,104,presidente,13,nulo,nulo
ES,56871,35,134,presidente,87,13,13
ES,56871,35,134,presidente,131,22,22
ES,56871,35,134,presidente,3,branco,branco
ES,56871,35,134,presidente,5,nulo,nulo
ES,56871,35,130,presidente,90,13,13
ES,56871,35,130,presidente,177,22,22
ES,56871,35,130,presidente,7,branco,branco
ES,56871,35,130,presidente,8,nulo,nulo
ES,56871,35,111,presidente,64,13,13
ES,56871,35,111,presidente,132,22,22
ES,56871,35,111,presidente,2,branco,branco
ES,56871,35,111,presidente,7,nulo,nulo
ES,56871,35,127,presidente,81,13,13
ES,56871,35,127,presidente,178,22,22
ES,56871,35,127,presidente,2,branco,branco
ES,56871,35,127,presidente,5,nulo,nulo
ES,56871,35,112,presidente,55,13,13
ES,56871,35,112,presidente,211,22,22
ES,56871,35,112,presidente,1,branco,branco
ES,56871,35,112,presidente,5,nulo,nulo
ES,56871,35,109,presidente,44,13,13
ES,56871,35,109,presidente,120,22,22
ES,56871,35,109,presidente,2,branco,branco
ES,56871,35,109,presidente,8,nulo,nulo
ES,56871,35,95,presidente,70,13,13
ES,56871,35,95,presidente,164,22,22
ES,56871,35,95,presidente,2,branco,branco
ES,56871,35,95,presidente,7,nulo,nulo
ES,56871,35,90,presidente,51,13,13
ES,56871,35,90,presidente,186,22,22
ES,56871,35,90,presidente,5,branco,branco
ES,56871,35,90,presidente,5,nulo,nulo
ES,56871,35,132,presidente,33,13,13
ES,56871,35,132,presidente,114,22,22
ES,56871,35,132,presidente,2,branco,branco
ES,56871,35,132,presidente,3,nulo,nulo
ES,56871,35,118,presidente,39,13,13
ES,56871,35,118,presidente,130,22,22
ES,56871,35,118,presidente,3,branco,branco
ES,56871,35,118,presidente,8,nulo,nulo
ES,56871,35,121,presidente,69,13,13
ES,56871,35,121,presidente,123,22,22
ES,56871,35,121,presidente,2,branco,branco
ES,56871,35,121,presidente,6,nulo,nulo
ES,56871,35,115,presidente,63,13,13
ES,56871,35,115,presidente,169,22,22
ES,56871,35,115,presidente,10,branco,branco
ES,56871,35,115,presidente,5,nulo,nulo
ES,56871,35,119,presidente,33,13,13
ES,56871,35,119,presidente,132,22,22
ES,56871,35,119,presidente,1,branco,branco
ES,56871,35,119,presidente,5,nulo,nulo
ES,56871,35,106,presidente,56,13,13
ES,56871,35,106,presidente,187,22,22
