UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
GO,93289,11,158,presidente,144,13,13
GO,93289,11,158,presidente,88,22,22
GO,93289,11,158,presidente,4,branco,branco
GO,93289,11,135,presidente,165,13,13
GO,93289,11,135,presidente,84,22,22
GO,93289,11,135,presidente,2,branco,branco
GO,93289,11,135,presidente,4,nulo,nulo
GO,93289,11,266,presidente,135,13,13
GO,93289,11,266,presidente,81,22,22
GO,93289,11,266,presidente,1,branco,branco
GO,93289,11,266,presidente,2,nulo,nulo
GO,93289,11,167,presidente,150,13,13
GO,93289,11,167,presidente,75,22,22
GO,93289,11,167,presidente,1,branco,branco
GO,93289,11,167,presidente,4,nulo,nulo
GO,93289,11,307,presidente,103,13,13
GO,93289,11,307,presidente,62,22,22
GO,93289,11,307,presidente,2,branco,branco
GO,93289,11,307,presidente,5,nulo,nulo
GO,93289,11,237,presidente,55,13,13
GO,93289,11,237,presidente,33,22,22
GO,93289,11,237,presidente,5,branco,branco
GO,93289,11,237,presidente,1,nulo,nulo
GO,93289,11,70,presidente,185,13,13
GO,93289,11,70,presidente,70,22,22
GO,93289,11,70,presidente,2,branco,branco
GO,93289,11,70,presidente,9,nulo,nulo
GO,93289,11,187,presidente,155,13,13
GO,93289,11,187,presidente,88,22,22
GO,93289,11,187,presidente,2,branco,branco
GO,93289,11,187,presidente,2,nulo,nulo
GO,93289,11,239,presidente,137,13,13
GO,93289,11,239,presidente,88,22,22
GO,93289,11,239,presidente,4,branco,branco
GO,93289,11,239,presidente,7,nulo,nulo
GO,93289,11,71,presidente,170,13,13
GO,93289,11,71,presidente,93,22,22
GO,93289,11,71,presidente,2,branco,branco
GO,93289,11,71,presidente,5,nulo,nulo
GO,93289,11,172,presidente,166,13,13
GO,93289,11,172,presidente,90,22,22
GO,93289,11,172,presidente,1,branco,branco
GO,93289,11,172,presidente,5,nulo,nulo
GO,93289,11,178,presidente,156,13,13
GO,93289,11,178,presidente,83,22,22
GO,93289,11,178,presidente,3,branco,branco
GO,93289,11,178,presidente,7,nulo,nulo
GO,95079,8,104,presidente,144,13,13
GO,95079,8,104,presidente,114,22,22
GO,95079,8,104,presidente,1,branco,branco
GO,95079,8,104,presidente,6,nulo,nulo
GO,95079,8,110,presidente,158,13,13
GO,95079,8,110,presidente,160,22,22
GO,95079,8,110,presidente,2,branco,branco
GO,95079,8,110,presidente,4,nulo,nulo
GO,95079,8,135,presidente,194,13,13
GO,95079,8,135,presidente,148,22,22
