UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
MA,7021,35,104,presidente,160,13,13
MA,7021,35,104,presidente,64,22,22
MA,7021,35,104,presidente,5,branco,branco
MA,7021,35,104,presidente,3,nulo,nulo
MA,7021,35,125,presidente,162,13,13
MA,7021,35,125,presidente,32,22,22
MA,7021,35,125,presidente,1,branco,branco
MA,7021,35,125,presidente,10,nulo,nulo
MA,7021,35,88,presidente,199,13,13
MA,7021,35,88,presidente,51,22,22
MA,7021,35,88,presidente,2,branco,branco
MA,7021,35,88,presidente,3,nulo,nulo
MA,7021,35,110,presidente,170,13,13
MA,7021,35,110,presidente,12,22,22
MA,7021,35,110,presidente,2,branco,branco
MA,7021,35,110,presidente,2,nulo,nulo
MA,7021,35,75,presidente,151,13,13
MA,7021,35,75,presidente,39,22,22
MA,7021,35,75,presidente,3,branco,branco
MA,7021,35,75,presidente,2,nulo,nulo
MA,7021,35,130,presidente,175,13,13
MA,7021,35,130,presidente,34,22,22
MA,7021,35,130,presidente,1,branco,branco
MA,7021,35,130,presidente,3,nulo,nulo
MA,7021,35,111,presidente,177,13,13
MA,7021,35,111,presidente,8,22,22
MA,7021,35,111,presidente,3,branco,branco
MA,7021,35,111,presidente,6,nulo,nulo
MA,7021,35,96,presidente,182,13,13
MA,7021,35,96,presidente,56,22,22
MA,7021,35,96,presidente,1,branco,branco
MA,7021,35,96,presidente,6,nulo,nulo
MA,7021,35,127,presidente,187,13,13
MA,7021,35,127,presidente,64,22,22
MA,7021,35,127,presidente,2,branco,branco
MA,7021,35,127,presidente,7,nulo,nulo
MA,7021,35,112,presidente,191,13,13
MA,7021,35,112,presidente,13,22,22
MA,7021,35,112,presidente,2,branco,branco
MA,7021,35,112,presidente,6,nulo,nulo
MA,7021,35,109,presidente,184,13,13
MA,7021,35,109,presidente,33,22,22
MA,7021,35,109,presidente,1,branco,branco
MA,7021,35,109,presidente,4,nulo,nulo
MA,7021,35,84,presidente,199,13,13
MA,7021,35,84,presidente,54,22,22
MA,7021,35,84,presidente,1,branco,branco
MA,7021,35,84,presidente,10,nulo,nulo
MA,7021,35,95,presidente,198,13,13
MA,7021,35,95,presidente,44,22,22
MA,7021,35,95,presidente,5,branco,branco
MA,7021,35,95,presidente,3,nulo,nulo
MA,7021,35,90,presidente,164,13,13
MA,7021,35,90,presidente,49,22,22
MA,7021,35,90,presidente,3,branco,branco
MA,7021,35,90,presidente,11,nulo,nulo
MA,7021,35,73,presidente,141,13,13
MA,7021,35,73,presidente,44,22,22
MA,7021,35,73,presidente,1,branco,branco
MA,7021,35,73,presidente,1,nulo,nulo
MA,7021,35,133,presidente,184,13,13
MA,7021,35,133,presidente,52,22,22
MA,7021,35,133,presidente,2,branco,branco
MA,7021,35,133,presidente,8,nulo,nulo
MA,7021,35,132,presidente,190,13,13
MA,7021,35,132,presidente,57,22,22
MA,7021,35,132,presidente,3,branco,branco
MA,7021,35,132,presidente,4,nulo,nulo
MA,7021,35,86,presidente,177,13,13
MA,7021,35,86,presidente,46,22,22
MA,7021,35,86,presidente,5,branco,branco
MA,7021,35,86,presidente,3,nulo,nulo
MA,7021,35,118,presidente,142,13,13
MA,7021,35,118,presidente,54,22,22
MA,7021,35,118,presidente,1,branco,branco
MA,7021,35,118,presidente,2,nulo,nulo
MA,7021,35,121,presidente,157,13,13
MA,7021,35,121,presidente,49,22,22
MA,7021,35,121,presidente,1,branco,branco
MA,7021,35,121,presidente,3,nulo,nulo
MA,7021,35,115,presidente,172,13,13
MA,7021,35,115,presidente,37,22,22
MA,7021,35,115,presidente,1,branco,branco
MA,7021,35,115,presidente,3,nulo,nulo
MA,7021,35,119,presidente,157,13,13
MA,7021,35,119,presidente,51,22,22
MA,7021,35,119,presidente,3,branco,branco
MA,7021,35,119,presidente,4,nulo,nulo
MA,7021,35,74,presidente,143,13,13
MA,7021,35,74,presidente,45,22,22
MA,7021,35,74,presidente,1,nulo,nulo
MA,7021,35,106,presidente,189,13,13
MA,7021,35,106,presidente,34,22,22
MA,7021,35,106,presidente,4,branco,branco
MA,7021,35,106,presidente,4,nulo,nulo
MA,7021,35,114,presidente,173,13,13
MA,7021,35,114,presidente,58,22,22
MA,7021,35,114,presidente,7,nulo,nulo
MA,7021,35,80,presidente,179,13,13
MA,7021,35,80,presidente,32,22,22
MA,7021,35,80,presidente,2,branco,branco
MA,7021,35,80,presidente,4,nulo,nulo
MA,7021,35,97,presidente,202,13,13
MA,7021,35,97,presidente,49,22,22
MA,7021,35,97,presidente,1,branco,branco
MA,7021,35,97,presidente,6,nulo,nulo
MA,7021,35,100,presidente,200,13,13
MA,7021,35,100,presidente,51,22,22
MA,7021,35,100,presidente,1,branco,branco
MA,7021,35,100,presidente,4,nulo,nulo
MA,7021,35,87,presidente,186,13,13
MA,7021,35,87,presidente,52,22,22
MA,7021,35,87,presidente,6,nulo,nulo
MA,7021,35,91,presidente,187,13,13
MA,7021,35,91,presidente,52,22,22
MA,7021,35,91,presidente,1,branco,branco
MA,7021,35,91,presidente,6,nulo,nulo
MA,7021,35,76,presidente,134,13,13
MA,7021,35,76,presidente,50,22,22
MA,7021,35,76,presidente,2,branco,branco
MA,7021,35,76,presidente,3,nulo,nulo
MA,7021,35,93,presidente,192,13,13
MA,7021,35,93,presidente,57,22,22
MA,7021,35,93,presidente,6,nulo,nulo
MA,7021,35,123,presidente,117,13,13
MA,7021,35,123,presidente,62,22,22
MA,7021,35,123,presidente,2,nulo,nulo
MA,7021,35,117,presidente,134,13,13
MA,7021,35,117,presidente,55,22,22
MA,7021,35,117,presidente,2,branco,branco
MA,7021,35,117,presidente,13,nulo,nulo
MA,7021,35,98,presidente,193,13,13
MA,7021,35,98,presidente,59,22,22
MA,7021,35,98,presidente,2,branco,branco
MA,7021,35,98,presidente,4,nulo,nulo
MA,7021,35,124,presidente,148,13,13
MA,7021,35,124,presidente,26,22,22
MA,7021,35,124,presidente,1,branco,branco
MA,7021,35,124,presidente,5,nulo,nulo
MA,7021,35,94,presidente,198,13,13
MA,7021,35,94,presidente,50,22,22
MA,7021,35,94,presidente,3,branco,branco
MA,7021,35,94,presidente,3,nulo,nulo
MA,7021,35,102,presidente,175,13,13
MA,7021,35,102,presidente,67,22,22
MA,7021,35,102,presidente,1,branco,branco
MA,7021,35,102,presidente,7,nulo,nulo
MA,7021,35,105,presidente,153,13,13
MA,7021,35,105,presidente,65,22,22
MA,7021,35,105,presidente,8,nulo,nulo
MA,7021,35,79,presidente,133,13,13
MA,7021,35,79,presidente,36,22,22
MA,7021,35,79,presidente,1,branco,branco
MA,7021,35,79,presidente,8,nulo,nulo
MA,7021,35,89,presidente,184,13,13
MA,7021,35,89,presidente,35,22,22
MA,7021,35,89,presidente,2,branco,branco
MA,7021,35,89,presidente,4,nulo,nulo
MA,7021,35,85,presidente,205,13,13
MA,7021,35,85,presidente,41,22,22
MA,7021,35,85,presidente,1,branco,branco
MA,7021,35,85,presidente,7,nulo,nulo
MA,7021,35,116,presidente,208,13,13
MA,7021,35,116,presidente,51,22,22
MA,7021,35,116,presidente,2,branco,branco
MA,7021,35,116,presidente,5,nulo,nulo
MA,7021,35,77,presidente,127,13,13
MA,7021,35,77,presidente,42,22,22
MA,7021,35,77,presidente,1,branco,branco
MA,7021,35,77,presidente,3,nulo,nulo
MA,7021,35,82,presidente,171,13,13
MA,7021,35,82,presidente,32,22,22
MA,7021,35,82,presidente,3,branco,branco
MA,7021,35,82,presidente,1,nulo,nulo
MA,7021,35,72,presidente,209,13,13
MA,7021,35,72,presidente,28,22,22
MA,7021,35,72,presidente,3,branco,branco
MA,7021,35,72,presidente,9,nulo,nulo
MA,7021,35,108,presidente,197,13,13
MA,7021,35,108,presidente,23,22,22
MA,7021,35,108,presidente,1,branco,branco
MA,7021,35,108,presidente,8,nulo,nulo
MA,7021,35,101,presidente,189,13,13
MA,7021,35,101,presidente,56,22,22
MA,7021,35,101,presidente,2,branco,branco
MA,7021,35,101,presidente,7,nulo,nulo
MA,7021,35,78,presidente,148,13,13
MA,7021,35,78,presidente,37,22,22
MA,7021,35,78,presidente,1,branco,branco
MA,7021,35,78,presidente,4,nulo,nulo
MA,7021,35,128,presidente,254,13,13
MA,7021,35,128,presidente,39,22,22
MA,7021,35,128,presidente,3,branco,branco
MA,7021,35,128,presidente,5,nulo,nulo
MA,7021,35,131,presidente,218,13,13
MA,7021,35,131,presidente,51,22,22
MA,7021,35,131,presidente,3,branco,branco
MA,7021,35,131,presidente,8,nulo,nulo
MA,7021,35,92,presidente,183,13,13
MA,7021,35,92,presidente,53,22,22
MA,7021,35,92,presidente,1,branco,branco
MA,7021,35,92,presidente,3,nulo,nulo
MA,7021,35,122,presidente,130,13,13
MA,7021,35,122,presidente,39,22,22
MA,7021,35,122,presidente,1,branco,branco
MA,7021,35,122,presidente,5,nulo,nulo
MA,7021,35,113,presidente,184,13,13
MA,7021,35,113,presidente,46,22,22
MA,7021,35,113,presidente,2,branco,branco
MA,7021,35,113,presidente,6,nulo,nulo
MA,7021,35,126,presidente,146,13,13
MA,7021,35,126,presidente,38,22,22
MA,7021,35,126,presidente,1,branco,branco
MA,7021,35,126,presidente,2,nulo,nulo
MA,7021,35,83,presidente,182,13,13
MA,7021,35,83,presidente,26,22,22
MA,7021,35,83,presidente,1,branco,branco
MA,7021,35,83,presidente,1,nulo,nulo
MA,7021,35,120,presidente,143,13,13
MA,7021,35,120,presidente,50,22,22
MA,7021,35,120,presidente,9,nulo,nulo
MA,7021,35,107,presidente,188,13,13
MA,7021,35,107,presidente,39,22,22
MA,7021,35,107,presidente,4,branco,branco
MA,7021,35,107,presidente,1,nulo,nulo
MA,7021,35,99,presidente,194,13,13
MA,7021,35,99,presidente,53,22,22
MA,7021,35,99,presidente,2,branco,branco
MA,7021,35,99,presidente,5,nulo,nulo
MA,7021,35,103,presidente,193,13,13
MA,7021,35,103,presidente,52,22,22
MA,7021,35,103,presidente,1,branco,branco
MA,7021,35,103,presidente,5,nulo,nulo
MA,7021,35,81,presidente,163,13,13
MA,7021,35,81,presidente,47,22,22
MA,7021,35,81,presidente,1,branco,branco
MA,7021,35,81,presidente,3,nulo,nulo
MA,8192,67,125,presidente,112,13,13
MA,8192,67,125,presidente,70,22,22
MA,8192,67,125,presidente,1,branco,branco
MA,8192,67,125,presidente,3,nulo,nulo
MA,8192,67,1,presidente,115,13,13
MA,8192,67,1,presidente,53,22,22
MA,8192,67,1,presidente,1,branco,branco
MA,8192,67,1,presidente,4,nulo,nulo
