UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
MS,91715,19,162,presidente,75,13,13
MS,91715,19,162,presidente,141,22,22
MS,91715,19,162,presidente,1,branco,branco
MS,91715,19,162,presidente,2,nulo,nulo
MS,91715,19,158,presidente,106,13,13
MS,91715,19,158,presidente,148,22,22
MS,91715,19,158,presidente,3,branco,branco
MS,91715,19,158,presidente,9,nulo,nulo
MS,91715,19,155,presidente,114,13,13
MS,91715,19,155,presidente,143,22,22
MS,91715,19,155,presidente,2,branco,branco
MS,91715,19,155,presidente,8,nulo,nulo
MS,91715,19,302,presidente,84,13,13
MS,91715,19,302,presidente,133,22,22
MS,91715,19,302,presidente,1,branco,branco
MS,91715,19,302,presidente,8,nulo,nulo
MS,91715,19,213,presidente,142,13,13
MS,91715,19,213,presidente,14,22,22
MS,91715,19,213,presidente,1,branco,branco
MS,91715,19,213,presidente,13,nulo,nulo
MS,91715,19,159,presidente,91,13,13
MS,91715,19,159,presidente,82,22,22
MS,91715,19,159,presidente,9,nulo,nulo
MS,91715,19,165,presidente,47,13,13
MS,91715,19,165,presidente,103,22,22
MS,91715,19,165,presidente,3,branco,branco
MS,91715,19,165,presidente,2,nulo,nulo
MS,91715,19,237,presidente,107,13,13
MS,91715,19,237,presidente,144,22,22
MS,91715,19,237,presidente,1,branco,branco
MS,91715,19,237,presidente,8,nulo,nulo
MS,91715,19,152,presidente,101,13,13
MS,91715,19,152,presidente,90,22,22
MS,91715,19,152,presidente,7,nulo,nulo
MS,91715,19,153,presidente,87,13,13
MS,91715,19,153,presidente,93,22,22
MS,91715,19,153,presidente,7,nulo,nulo
MS,91715,19,177,presidente,119,13,13
MS,91715,19,177,presidente,150,22,22
MS,91715,19,177,presidente,7,nulo,nulo
MS,91715,19,161,presidente,118,13,13
MS,91715,19,161,presidente,151,22,22
MS,91715,19,161,presidente,1,branco,branco
MS,91715,19,161,presidente,9,nulo,nulo
MS,91715,19,198,presidente,101,13,13
MS,91715,19,198,presidente,77,22,22
MS,91715,19,198,presidente,19,nulo,nulo
MS,91715,19,160,presidente,117,13,13
MS,91715,19,160,presidente,132,22,22
MS,91715,19,160,presidente,2,branco,branco
MS,91715,19,160,presidente,16,nulo,nulo
MS,91715,19,154,presidente,114,13,13
MS,91715,19,154,presidente,147,22,22
MS,91715,19,154,presidente,2,branco,branco
MS,91715,19,154,presidente,9,nulo,nulo
MS,91715,19,295,presidente,121,13,13
MS,91715,19,295,presidente,12,22,22
MS,91715,19,295,presidente,9,nulo,nulo
MS,91715,19,164,presidente,82,13,13
MS,91715,19,164,presidente,141,22,22
MS,91715,19,164,presidente,1,branco,branco
MS,91715,19,164,presidente,6,nulo,nulo
MS,91715,19,169,presidente,51,13,13
MS,91715,19,169,presidente,110,22,22
MS,91715,19,169,presidente,1,branco,branco
MS,91715,19,169,presidente,1,nulo,nulo
MS,91715,19,166,presidente,50,13,13
MS,91715,19,166,presidente,183,22,22
MS,91715,19,166,presidente,1,branco,branco
MS,91715,19,166,presidente,6,nulo,nulo
MS,91715,19,156,presidente,104,13,13
MS,91715,19,156,presidente,144,22,22
MS,91715,19,156,presidente,2,branco,branco
MS,91715,19,156,presidente,6,nulo,nulo
MS,91715,19,170,presidente,167,13,13
MS,91715,19,170,presidente,93,22,22
MS,91715,19,170,presidente,14,nulo,nulo
MS,91715,19,243,presidente,56,13,13
MS,91715,19,243,presidente,34,22,22
MS,91715,19,243,presidente,6,nulo,nulo
MS,91715,19,168,presidente,32,13,13
MS,91715,19,168,presidente,93,22,22
MS,91715,19,168,presidente,3,nulo,nulo
MS,91715,19,227,presidente,107,13,13
MS,91715,19,227,presidente,156,22,22
MS,91715,19,227,presidente,4,nulo,nulo
MS,91715,19,303,presidente,73,13,13
MS,91715,19,303,presidente,116,22,22
MS,91715,19,303,presidente,2,branco,branco
MS,91715,19,303,presidente,4,nulo,nulo
MS,91715,19,157,presidente,95,13,13
MS,91715,19,157,presidente,161,22,22
MS,91715,19,157,presidente,6,branco,branco
MS,91715,19,157,presidente,8,nulo,nulo
MS,91715,19,163,presidente,70,13,13
MS,91715,19,163,presidente,141,22,22
