UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
MT,90727,42,125,presidente,101,13,13
MT,90727,42,125,presidente,154,22,22
MT,90727,42,125,presidente,2,branco,branco
MT,90727,42,125,presidente,5,nulo,nulo
MT,90727,42,88,presidente,79,13,13
MT,90727,42,88,presidente,213,22,22
MT,90727,42,88,presidente,2,branco,branco
MT,90727,42,88,presidente,3,nulo,nulo
MT,90727,42,75,presidente,76,13,13
MT,90727,42,75,presidente,187,22,22
MT,90727,42,75,presidente,1,branco,branco
MT,90727,42,75,presidente,5,nulo,nulo
MT,90727,42,130,presidente,124,13,13
MT,90727,42,130,presidente,183,22,22
MT,90727,42,130,presidente,1,branco,branco
MT,90727,42,130,presidente,2,nulo,nulo
MT,90727,42,111,presidente,69,13,13
MT,90727,42,111,presidente,229,22,22
MT,90727,42,111,presidente,2,branco,branco
MT,90727,42,111,presidente,3,nulo,nulo
MT,90727,42,96,presidente,96,13,13
MT,90727,42,96,presidente,209,22,22
MT,90727,42,96,presidente,1,nulo,nulo
MT,90727,42,127,presidente,73,13,13
MT,90727,42,127,presidente,153,22,22
MT,90727,42,127,presidente,1,branco,branco
MT,90727,42,127,presidente,2,nulo,nulo
MT,90727,42,69,presidente,67,13,13
MT,90727,42,69,presidente,212,22,22
MT,90727,42,69,presidente,1,nulo,nulo
MT,90727,42,112,presidente,101,13,13
MT,90727,42,112,presidente,214,22,22
MT,90727,42,112,presidente,2,branco,branco
MT,90727,42,112,presidente,2,nulo,nulo
MT,90727,42,84,presidente,91,13,13
MT,90727,42,84,presidente,218,22,22
MT,90727,42,84,presidente,1,branco,branco
MT,90727,42,84,presidente,3,nulo,nulo
MT,90727,42,95,presidente,99,13,13
MT,90727,42,95,presidente,213,22,22
MT,90727,42,95,presidente,2,branco,branco
MT,90727,42,95,presidente,4,nulo,nulo
MT,90727,42,90,presidente,95,13,13
MT,90727,42,90,presidente,202,22,22
MT,90727,42,90,presidente,2,branco,branco
MT,90727,42,90,presidente,4,nulo,nulo
MT,90727,42,73,presidente,78,13,13
MT,90727,42,73,presidente,196,22,22
MT,90727,42,73,presidente,2,branco,branco
MT,90727,42,73,presidente,3,nulo,nulo
MT,90727,42,86,presidente,83,13,13
MT,90727,42,86,presidente,202,22,22
MT,90727,42,86,presidente,1,branco,branco
MT,90727,42,86,presidente,4,nulo,nulo
MT,90727,42,118,presidente,88,13,13
MT,90727,42,118,presidente,191,22,22
MT,90727,42,118,presidente,2,branco,branco
MT,90727,42,118,presidente,6,nulo,nulo
MT,90727,42,121,presidente,111,13,13
MT,90727,42,121,presidente,182,22,22
MT,90727,42,121,presidente,2,branco,branco
MT,90727,42,121,presidente,5,nulo,nulo
MT,90727,42,119,presidente,90,13,13
MT,90727,42,119,presidente,170,22,22
MT,90727,42,119,presidente,1,branco,branco
MT,90727,42,119,presidente,2,nulo,nulo
MT,90727,42,74,presidente,81,13,13
MT,90727,42,74,presidente,186,22,22
MT,90727,42,74,presidente,1,branco,branco
MT,90727,42,74,presidente,4,nulo,nulo
MT,90727,42,114,presidente,93,13,13
MT,90727,42,114,presidente,146,22,22
MT,90727,42,114,presidente,2,branco,branco
MT,90727,42,114,presidente,1,nulo,nulo
MT,90727,42,80,presidente,68,13,13
MT,90727,42,80,presidente,199,22,22
MT,90727,42,80,presidente,1,branco,branco
MT,90727,42,80,presidente,3,nulo,nulo
MT,90727,42,70,presidente,86,13,13
MT,90727,42,70,presidente,188,22,22
MT,90727,42,70,presidente,1,branco,branco
MT,90727,42,70,presidente,4,nulo,nulo
MT,90727,42,129,presidente,58,13,13
MT,90727,42,129,presidente,143,22,22
MT,90727,42,129,presidente,5,branco,branco
MT,90727,42,129,presidente,1,nulo,nulo
MT,90727,42,87,presidente,88,13,13
MT,90727,42,87,presidente,215,22,22
MT,90727,42,87,presidente,1,branco,branco
MT,90727,42,87,presidente,4,nulo,nulo
MT,90727,42,91,presidente,88,13,13
MT,90727,42,91,presidente,212,22,22
MT,90727,42,91,presidente,1,branco,branco
MT,90727,42,91,presidente,4,nulo,nulo
MT,90727,42,76,presidente,89,13,13
MT,90727,42,76,presidente,186,22,22
MT,90727,42,76,presidente,2,branco,branco
MT,90727,42,76,presidente,3,nulo,nulo
MT,90727,42,93,presidente,106,13,13
MT,90727,42,93,presidente,192,22,22
MT,90727,42,93,presidente,1,branco,branco
MT,90727,42,93,presidente,1,nulo,nulo
MT,90727,42,123,presidente,84,13,13
MT,90727,42,123,presidente,181,22,22
MT,90727,42,123,presidente,3,branco,branco
MT,90727,42,123,presidente,6,nulo,nulo
MT,90727,42,117,presidente,75,13,13
MT,90727,42,117,presidente,196,22,22
MT,90727,42,117,presidente,1,branco,branco
MT,90727,42,117,presidente,2,nulo,nulo
MT,90727,42,124,presidente,120,13,13
MT,90727,42,124,presidente,140,22,22
MT,90727,42,124,presidente,2,branco,branco
MT,90727,42,124,presidente,2,nulo,nulo
MT,90727,42,94,presidente,90,13,13
MT,90727,42,94,presidente,206,22,22
MT,90727,42,94,presidente,2,branco,branco
MT,90727,42,94,presidente,1,nulo,nulo
MT,90727,42,71,presidente,69,13,13
MT,90727,42,71,presidente,228,22,22
MT,90727,42,71,presidente,1,nulo,nulo
MT,90727,42,79,presidente,82,13,13
MT,90727,42,79,presidente,200,22,22
MT,90727,42,79,presidente,4,branco,branco
MT,90727,42,79,presidente,4,nulo,nulo
MT,90727,42,89,presidente,87,13,13
MT,90727,42,89,presidente,208,22,22
MT,90727,42,89,presidente,1,branco,branco
MT,90727,42,89,presidente,4,nulo,nulo
MT,90727,42,85,presidente,95,13,13
MT,90727,42,85,presidente,215,22,22
MT,90727,42,85,presidente,4,branco,branco
MT,90727,42,85,presidente,7,nulo,nulo
MT,90727,42,116,presidente,84,13,13
MT,90727,42,116,presidente,198,22,22
MT,90727,42,116,presidente,2,branco,branco
MT,90727,42,116,presidente,4,nulo,nulo
MT,90727,42,77,presidente,73,13,13
MT,90727,42,77,presidente,201,22,22
MT,90727,42,77,presidente,6,nulo,nulo
MT,90727,42,82,presidente,86,13,13
MT,90727,42,82,presidente,189,22,22
MT,90727,42,82,presidente,2,nulo,nulo
MT,90727,42,72,presidente,75,13,13
MT,90727,42,72,presidente,213,22,22
MT,90727,42,72,presidente,2,branco,branco
MT,90727,42,72,presidente,5,nulo,nulo
MT,90727,42,78,presidente,76,13,13
MT,90727,42,78,presidente,201,22,22
MT,90727,42,78,presidente,3,nulo,nulo
MT,90727,42,128,presidente,55,13,13
MT,90727,42,128,presidente,171,22,22
MT,90727,42,128,presidente,1,nulo,nulo
MT,90727,42,92,presidente,81,13,13
MT,90727,42,92,presidente,224,22,22
MT,90727,42,92,presidente,3,branco,branco
MT,90727,42,92,presidente,3,nulo,nulo
MT,90727,42,122,presidente,81,13,13
MT,90727,42,122,presidente,193,22,22
MT,90727,42,122,presidente,3,branco,branco
MT,90727,42,122,presidente,2,nulo,nulo
MT,90727,42,113,presidente,77,13,13
MT,90727,42,113,presidente,208,22,22
MT,90727,42,113,presidente,3,branco,branco
MT,90727,42,113,presidente,3,nulo,nulo
MT,90727,42,126,presidente,63,13,13
MT,90727,42,126,presidente,162,22,22
MT,90727,42,126,presidente,2,branco,branco
MT,90727,42,126,presidente,1,nulo,nulo
MT,90727,42,83,presidente,102,13,13
MT,90727,42,83,presidente,213,22,22
MT,90727,42,83,presidente,3,branco,branco
MT,90727,42,83,presidente,5,nulo,nulo
MT,90727,42,120,presidente,85,13,13
MT,90727,42,120,presidente,207,22,22
MT,90727,42,120,presidente,2,branco,branco
MT,90727,42,120,presidente,4,nulo,nulo
MT,90727,42,68,presidente,71,13,13
MT,90727,42,68,presidente,203,22,22
MT,90727,42,68,presidente,1,branco,branco
MT,90727,42,68,presidente,6,nulo,nulo
MT,90727,42,81,presidente,73,13,13
MT,90727,42,81,presidente,202,22,22
MT,90727,42,81,presidente,3,nulo,nulo
MT,89958,52,7,presidente,107,13,13
MT,89958,52,7,presidente,171,22,22
MT,89958,52,7,presidente,5,branco,branco
MT,89958,52,7,presidente,6,nulo,nulo
MT,89958,52,12,presidente,81,13,13
MT,89958,52,12,presidente,86,22,22
MT,89958,52,12,presidente,2,branco,branco
MT,89958,52,12,presidente,3,nulo,nulo
MT,89958,52,141,presidente,73,13,13
MT,89958,52,141,presidente,90,22,22
MT,89958,52,141,presidente,4,nulo,nulo
MT,89958,52,121,presidente,82,13,13
MT,89958,52,121,presidente,73,22,22
MT,89958,52,121,presidente,3,nulo,nulo
MT,89958,52,3,presidente,112,13,13
MT,89958,52,3,presidente,182,22,22
MT,89958,52,3,presidente,3,branco,branco
MT,89958,52,3,presidente,7,nulo,nulo
MT,89958,52,6,presidente,111,13,13
MT,89958,52,6,presidente,169,22,22
MT,89958,52,6,presidente,1,branco,branco
MT,89958,52,6,presidente,6,nulo,nulo
MT,89958,52,15,presidente,81,13,13
MT,89958,52,15,presidente,72,22,22
MT,89958,52,15,presidente,1,branco,branco
MT,89958,52,15,presidente,3,nulo,nulo
MT,89958,52,16,presidente,62,13,13
MT,89958,52,16,presidente,90,22,22
MT,89958,52,16,presidente,4,branco,branco
MT,89958,52,16,presidente,1,nulo,nulo
MT,89958,52,2,presidente,122,13,13
MT,89958,52,2,presidente,152,22,22
MT,89958,52,2,presidente,5,branco,branco
MT,89958,52,2,presidente,7,nulo,nulo
MT,89958,52,11,presidente,120,13,13
MT,89958,52,11,presidente,166,22,22
MT,89958,52,11,presidente,6,branco,branco
MT,89958,52,11,presidente,8,nulo,nulo
MT,89958,52,4,presidente,115,13,13
MT,89958,52,4,presidente,166,22,22
MT,89958,52,4,presidente,3,branco,branco
MT,89958,52,4,presidente,6,nulo,nulo
MT,89958,52,17,presidente,68,13,13
MT,89958,52,17,presidente,80,22,22
MT,89958,52,17,presidente,2,nulo,nulo
MT,89958,52,14,presidente,114,13,13
MT,89958,52,14,presidente,173,22,22
MT,89958,52,14,presidente,4,branco,branco
MT,89958,52,14,presidente,6,nulo,nulo
MT,89826,23,150,presidente,71,13,13
MT,89826,23,150,presidente,183,22,22
MT,89826,23,150,presidente,2,branco,branco
