UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
PA,5070,41,125,presidente,154,13,13
PA,5070,41,125,presidente,85,22,22
PA,5070,41,125,presidente,2,branco,branco
PA,5070,41,125,presidente,5,nulo,nulo
PA,5070,41,60,presidente,134,13,13
PA,5070,41,60,presidente,48,22,22
PA,5070,41,60,presidente,2,nulo,nulo
PA,5070,41,150,presidente,172,13,13
PA,5070,41,150,presidente,26,22,22
PA,5070,41,150,presidente,1,branco,branco
PA,5070,41,150,presidente,2,nulo,nulo
PA,5070,41,75,presidente,239,13,13
PA,5070,41,75,presidente,42,22,22
PA,5070,41,75,presidente,11,nulo,nulo
PA,5070,41,194,presidente,221,13,13
PA,5070,41,194,presidente,90,22,22
PA,5070,41,194,presidente,2,nulo,nulo
PA,5070,41,155,presidente,211,13,13
PA,5070,41,155,presidente,88,22,22
PA,5070,41,155,presidente,1,branco,branco
PA,5070,41,155,presidente,4,nulo,nulo
PA,5070,41,58,presidente,127,13,13
PA,5070,41,58,presidente,45,22,22
PA,5070,41,58,presidente,3,nulo,nulo
PA,5070,41,69,presidente,113,13,13
PA,5070,41,69,presidente,34,22,22
PA,5070,41,69,presidente,2,nulo,nulo
PA,5070,41,203,presidente,189,13,13
PA,5070,41,203,presidente,72,22,22
PA,5070,41,203,presidente,3,branco,branco
PA,5070,41,203,presidente,1,nulo,nulo
PA,5070,41,266,presidente,194,13,13
PA,5070,41,266,presidente,81,22,22
PA,5070,41,266,presidente,3,branco,branco
PA,5070,41,266,presidente,4,nulo,nulo
PA,5070,41,186,presidente,171,13,13
PA,5070,41,186,presidente,36,22,22
PA,5070,41,186,presidente,2,branco,branco
PA,5070,41,186,presidente,1,nulo,nulo
PA,5070,41,159,presidente,303,13,13
PA,5070,41,159,presidente,43,22,22
PA,5070,41,159,presidente,4,branco,branco
PA,5070,41,159,presidente,6,nulo,nulo
PA,5070,41,165,presidente,173,13,13
PA,5070,41,165,presidente,74,22,22
PA,5070,41,165,presidente,3,branco,branco
PA,5070,41,165,presidente,8,nulo,nulo
PA,5070,41,191,presidente,164,13,13
PA,5070,41,191,presidente,62,22,22
PA,5070,41,191,presidente,4,branco,branco
PA,5070,41,191,presidente,5,nulo,nulo
PA,5070,41,152,presidente,197,13,13
PA,5070,41,152,presidente,53,22,22
PA,5070,41,152,presidente,4,nulo,nulo
PA,5070,41,55,presidente,109,13,13
PA,5070,41,55,presidente,66,22,22
PA,5070,41,55,presidente,2,branco,branco
PA,5070,41,55,presidente,5,nulo,nulo
PA,5070,41,141,presidente,187,13,13
PA,5070,41,141,presidente,67,22,22
PA,5070,41,141,presidente,2,branco,branco
PA,5070,41,141,presidente,3,nulo,nulo
PA,5070,41,74,presidente,230,13,13
PA,5070,41,74,presidente,42,22,22
PA,5070,41,74,presidente,1,branco,branco
PA,5070,41,74,presidente,2,nulo,nulo
PA,5070,41,67,presidente,211,13,13
PA,5070,41,67,presidente,88,22,22
PA,5070,41,67,presidente,1,branco,branco
PA,5070,41,67,presidente,6,nulo,nulo
PA,5070,41,137,presidente,211,13,13
PA,5070,41,137,presidente,115,22,22
PA,5070,41,137,presidente,1,branco,branco
PA,5070,41,137,presidente,5,nulo,nulo
PA,5070,41,62,presidente,122,13,13
PA,5070,41,62,presidente,65,22,22
PA,5070,41,62,presidente,2,branco,branco
PA,5070,41,62,presidente,3,nulo,nulo
PA,5070,41,70,presidente,124,13,13
PA,5070,41,70,presidente,35,22,22
PA,5070,41,70,presidente,3,branco,branco
PA,5070,41,70,presidente,1,nulo,nulo
PA,5070,41,56,presidente,132,13,13
PA,5070,41,56,presidente,53,22,22
PA,5070,41,56,presidente,4,branco,branco
PA,5070,41,56,presidente,3,nulo,nulo
PA,5070,41,151,presidente,170,13,13
PA,5070,41,151,presidente,110,22,22
PA,5070,41,151,presidente,3,branco,branco
PA,5070,41,151,presidente,6,nulo,nulo
PA,5070,41,144,presidente,235,13,13
PA,5070,41,144,presidente,46,22,22
PA,5070,41,144,presidente,4,branco,branco
PA,5070,41,144,presidente,6,nulo,nulo
PA,5070,41,196,presidente,162,13,13
PA,5070,41,196,presidente,83,22,22
PA,5070,41,196,presidente,4,branco,branco
PA,5070,41,196,presidente,2,nulo,nulo
PA,5070,41,187,presidente,225,13,13
PA,5070,41,187,presidente,31,22,22
PA,5070,41,187,presidente,3,branco,branco
PA,5070,41,187,presidente,6,nulo,nulo
PA,5070,41,179,presidente,192,13,13
PA,5070,41,179,presidente,86,22,22
PA,5070,41,179,presidente,5,branco,branco
PA,5070,41,179,presidente,6,nulo,nulo
PA,5070,41,65,presidente,157,13,13
PA,5070,41,65,presidente,79,22,22
PA,5070,41,65,presidente,2,branco,branco
PA,5070,41,65,presidente,8,nulo,nulo
PA,5070,41,154,presidente,260,13,13
PA,5070,41,154,presidente,27,22,22
PA,5070,41,154,presidente,2,branco,branco
PA,5070,41,154,presidente,4,nulo,nulo
PA,5070,41,200,presidente,197,13,13
PA,5070,41,200,presidente,83,22,22
PA,5070,41,200,presidente,1,branco,branco
PA,5070,41,200,presidente,5,nulo,nulo
PA,5070,41,124,presidente,125,13,13
PA,5070,41,124,presidente,65,22,22
PA,5070,41,124,presidente,1,branco,branco
PA,5070,41,124,presidente,6,nulo,nulo
PA,5070,41,197,presidente,223,13,13
PA,5070,41,197,presidente,71,22,22
PA,5070,41,197,presidente,5,branco,branco
PA,5070,41,197,presidente,9,nulo,nulo
PA,5070,41,61,presidente,115,13,13
PA,5070,41,61,presidente,58,22,22
PA,5070,41,61,presidente,1,branco,branco
PA,5070,41,61,presidente,3,nulo,nulo
PA,5070,41,64,presidente,134,13,13
PA,5070,41,64,presidente,55,22,22
PA,5070,41,64,presidente,3,nulo,nulo
PA,5070,41,169,presidente,129,13,13
PA,5070,41,169,presidente,16,22,22
PA,5070,41,169,presidente,3,branco,branco
PA,5070,41,169,presidente,1,nulo,nulo
PA,5070,41,71,presidente,214,13,13
PA,5070,41,71,presidente,36,22,22
PA,5070,41,71,presidente,1,branco,branco
PA,5070,41,71,presidente,4,nulo,nulo
PA,5070,41,181,presidente,149,13,13
PA,5070,41,181,presidente,43,22,22
PA,5070,41,181,presidente,2,branco,branco
PA,5070,41,181,presidente,1,nulo,nulo
PA,5070,41,156,presidente,219,13,13
PA,5070,41,156,presidente,102,22,22
PA,5070,41,156,presidente,2,nulo,nulo
PA,5070,41,170,presidente,88,13,13
PA,5070,41,170,presidente,16,22,22
PA,5070,41,170,presidente,4,branco,branco
PA,5070,41,72,presidente,218,13,13
PA,5070,41,72,presidente,39,22,22
PA,5070,41,72,presidente,2,branco,branco
PA,5070,41,72,presidente,2,nulo,nulo
PA,5070,41,59,presidente,114,13,13
PA,5070,41,59,presidente,57,22,22
PA,5070,41,59,presidente,1,branco,branco
PA,5070,41,59,presidente,4,nulo,nulo
PA,5070,41,57,presidente,123,13,13
PA,5070,41,57,presidente,50,22,22
PA,5070,41,57,presidente,4,branco,branco
PA,5070,41,57,presidente,4,nulo,nulo
PA,5070,41,207,presidente,194,13,13
PA,5070,41,207,presidente,89,22,22
PA,5070,41,207,presidente,2,branco,branco
PA,5070,41,207,presidente,4,nulo,nulo
PA,5070,41,63,presidente,121,13,13
PA,5070,41,63,presidente,54,22,22
PA,5070,41,63,presidente,3,branco,branco
PA,5070,41,63,presidente,2,nulo,nulo
PA,5070,41,178,presidente,250,13,13
PA,5070,41,178,presidente,59,22,22
PA,5070,41,178,presidente,3,branco,branco
PA,5070,41,178,presidente,8,nulo,nulo
PA,5070,41,210,presidente,181,13,13
PA,5070,41,210,presidente,96,22,22
PA,5070,41,210,presidente,4,branco,branco
PA,5070,41,210,presidente,1,nulo,nulo
PA,5070,41,157,presidente,262,13,13
PA,5070,41,157,presidente,50,22,22
PA,5070,41,157,presidente,1,branco,branco
PA,5070,41,157,presidente,6,nulo,nulo
PA,5070,41,163,presidente,170,13,13
PA,5070,41,163,presidente,83,22,22
PA,5070,41,163,presidente,4,branco,branco
PA,5070,41,163,presidente,6,nulo,nulo
PA,5070,41,201,presidente,136,13,13
PA,5070,41,201,presidente,41,22,22
PA,5070,41,201,presidente,2,branco,branco
PA,5070,41,201,presidente,2,nulo,nulo
PA,5070,41,68,presidente,199,13,13
PA,5070,41,68,presidente,77,22,22
PA,5070,41,68,presidente,6,branco,branco
PA,5070,41,68,presidente,7,nulo,nulo
PA,4170,52,104,presidente,150,13,13
PA,4170,52,104,presidente,26,22,22
