UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
PB,19933,3,189,presidente,192,13,13
PB,19933,3,189,presidente,114,22,22
PB,19933,3,189,presidente,2,branco,branco
PB,19933,3,189,presidente,27,nulo,nulo
PB,19933,3,241,presidente,143,13,13
PB,19933,3,241,presidente,145,22,22
PB,19933,3,241,presidente,4,branco,branco
PB,19933,3,241,presidente,7,nulo,nulo
PB,19933,3,194,presidente,206,13,13
PB,19933,3,194,presidente,111,22,22
PB,19933,3,194,presidente,11,branco,branco
PB,19933,3,194,presidente,21,nulo,nulo
PB,19933,3,218,presidente,193,13,13
PB,19933,3,218,presidente,105,22,22
PB,19933,3,218,presidente,3,branco,branco
PB,19933,3,218,presidente,14,nulo,nulo
PB,19933,3,203,presidente,176,13,13
PB,19933,3,203,presidente,119,22,22
PB,19933,3,203,presidente,8,branco,branco
PB,19933,3,203,presidente,22,nulo,nulo
PB,19933,3,186,presidente,198,13,13
PB,19933,3,186,presidente,105,22,22
PB,19933,3,186,presidente,8,branco,branco
PB,19933,3,186,presidente,19,nulo,nulo
PB,19933,3,182,presidente,192,13,13
PB,19933,3,182,presidente,103,22,22
PB,19933,3,182,presidente,5,branco,branco
PB,19933,3,182,presidente,23,nulo,nulo
PB,19933,3,213,presidente,157,13,13
PB,19933,3,213,presidente,101,22,22
PB,19933,3,213,presidente,3,branco,branco
PB,19933,3,213,presidente,12,nulo,nulo
PB,19933,3,245,presidente,49,13,13
PB,19933,3,245,presidente,67,22,22
PB,19933,3,245,presidente,3,branco,branco
PB,19933,3,209,presidente,247,13,13
PB,19933,3,209,presidente,57,22,22
PB,19933,3,209,presidente,4,branco,branco
PB,19933,3,209,presidente,18,nulo,nulo
PB,19933,3,167,presidente,185,13,13
PB,19933,3,167,presidente,95,22,22
PB,19933,3,167,presidente,4,branco,branco
PB,19933,3,167,presidente,21,nulo,nulo
PB,19933,3,174,presidente,189,13,13
PB,19933,3,174,presidente,116,22,22
PB,19933,3,174,presidente,3,branco,branco
PB,19933,3,174,presidente,35,nulo,nulo
PB,19933,3,205,presidente,175,13,13
PB,19933,3,205,presidente,130,22,22
PB,19933,3,205,presidente,5,branco,branco
PB,19933,3,205,presidente,24,nulo,nulo
PB,19933,3,199,presidente,177,13,13
PB,19933,3,199,presidente,123,22,22
PB,19933,3,199,presidente,4,branco,branco
PB,19933,3,199,presidente,15,nulo,nulo
PB,19933,3,165,presidente,180,13,13
PB,19933,3,165,presidente,105,22,22
PB,19933,3,165,presidente,7,branco,branco
PB,19933,3,165,presidente,21,nulo,nulo
PB,19933,3,191,presidente,210,13,13
PB,19933,3,191,presidente,97,22,22
PB,19933,3,191,presidente,4,branco,branco
PB,19933,3,191,presidente,20,nulo,nulo
PB,19933,3,208,presidente,231,13,13
PB,19933,3,208,presidente,52,22,22
PB,19933,3,208,presidente,7,branco,branco
PB,19933,3,208,presidente,21,nulo,nulo
PB,19933,3,184,presidente,188,13,13
PB,19933,3,184,presidente,112,22,22
PB,19933,3,184,presidente,2,branco,branco
PB,19933,3,184,presidente,19,nulo,nulo
PB,19933,3,220,presidente,168,13,13
PB,19933,3,220,presidente,118,22,22
PB,19933,3,220,presidente,5,branco,branco
PB,19933,3,220,presidente,21,nulo,nulo
PB,19933,3,180,presidente,170,13,13
PB,19933,3,180,presidente,118,22,22
PB,19933,3,180,presidente,1,branco,branco
PB,19933,3,180,presidente,32,nulo,nulo
PB,19933,3,217,presidente,185,13,13
PB,19933,3,217,presidente,104,22,22
PB,19933,3,217,presidente,4,branco,branco
PB,19933,3,217,presidente,28,nulo,nulo
PB,19933,3,192,presidente,216,13,13
PB,19933,3,192,presidente,100,22,22
PB,19933,3,192,presidente,7,branco,branco
PB,19933,3,192,presidente,22,nulo,nulo
PB,19933,3,204,presidente,186,13,13
PB,19933,3,204,presidente,130,22,22
PB,19933,3,204,presidente,5,branco,branco
PB,19933,3,204,presidente,16,nulo,nulo
PB,19933,3,196,presidente,165,13,13
PB,19933,3,196,presidente,130,22,22
PB,19933,3,196,presidente,5,branco,branco
PB,19933,3,196,presidente,20,nulo,nulo
PB,19933,3,176,presidente,194,13,13
PB,19933,3,176,presidente,115,22,22
PB,19933,3,176,presidente,5,branco,branco
PB,19933,3,176,presidente,21,nulo,nulo
PB,19933,3,198,presidente,176,13,13
PB,19933,3,198,presidente,126,22,22
PB,19933,3,198,presidente,6,branco,branco
PB,19933,3,198,presidente,10,nulo,nulo
PB,19933,3,187,presidente,192,13,13
PB,19933,3,187,presidente,102,22,22
PB,19933,3,187,presidente,7,branco,branco
PB,19933,3,187,presidente,19,nulo,nulo
PB,19933,3,179,presidente,178,13,13
PB,19933,3,179,presidente,121,22,22
PB,19933,3,179,presidente,5,branco,branco
PB,19933,3,179,presidente,17,nulo,nulo
PB,19933,3,214,presidente,152,13,13
PB,19933,3,214,presidente,106,22,22
PB,19933,3,214,presidente,2,branco,branco
PB,19933,3,214,presidente,11,nulo,nulo
PB,19933,3,200,presidente,144,13,13
PB,19933,3,200,presidente,159,22,22
PB,19933,3,200,presidente,3,branco,branco
PB,19933,3,200,presidente,13,nulo,nulo
PB,19933,3,164,presidente,183,13,13
PB,19933,3,164,presidente,110,22,22
PB,19933,3,164,presidente,6,branco,branco
PB,19933,3,164,presidente,16,nulo,nulo
PB,19933,3,211,presidente,202,13,13
PB,19933,3,211,presidente,86,22,22
PB,19933,3,211,presidente,1,branco,branco
PB,19933,3,211,presidente,13,nulo,nulo
PB,19933,3,197,presidente,154,13,13
PB,19933,3,197,presidente,135,22,22
PB,19933,3,197,presidente,9,branco,branco
PB,19933,3,197,presidente,11,nulo,nulo
PB,19933,3,175,presidente,209,13,13
PB,19933,3,175,presidente,84,22,22
PB,19933,3,175,presidente,5,branco,branco
PB,19933,3,175,presidente,29,nulo,nulo
PB,19933,3,193,presidente,218,13,13
PB,19933,3,193,presidente,103,22,22
PB,19933,3,193,presidente,2,branco,branco
PB,19933,3,193,presidente,21,nulo,nulo
PB,19933,3,202,presidente,149,13,13
PB,19933,3,202,presidente,139,22,22
PB,19933,3,202,presidente,2,branco,branco
PB,19933,3,202,presidente,20,nulo,nulo
PB,19933,3,239,presidente,162,13,13
PB,19933,3,239,presidente,102,22,22
PB,19933,3,239,presidente,4,branco,branco
PB,19933,3,239,presidente,9,nulo,nulo
PB,19933,3,212,presidente,170,13,13
PB,19933,3,212,presidente,104,22,22
PB,19933,3,212,presidente,4,branco,branco
PB,19933,3,212,presidente,15,nulo,nulo
PB,19933,3,169,presidente,195,13,13
PB,19933,3,169,presidente,96,22,22
PB,19933,3,169,presidente,7,branco,branco
PB,19933,3,169,presidente,18,nulo,nulo
PB,19933,3,188,presidente,182,13,13
PB,19933,3,188,presidente,127,22,22
PB,19933,3,188,presidente,8,branco,branco
PB,19933,3,188,presidente,18,nulo,nulo
PB,19933,3,216,presidente,137,13,13
PB,19933,3,216,presidente,142,22,22
PB,19933,3,216,presidente,10,nulo,nulo
PB,19933,3,181,presidente,174,13,13
PB,19933,3,181,presidente,118,22,22
PB,19933,3,181,presidente,8,branco,branco
PB,19933,3,181,presidente,26,nulo,nulo
PB,19933,3,172,presidente,182,13,13
PB,19933,3,172,presidente,97,22,22
PB,19933,3,172,presidente,5,branco,branco
PB,19933,3,172,presidente,19,nulo,nulo
PB,19933,3,221,presidente,158,13,13
PB,19933,3,221,presidente,132,22,22
PB,19933,3,221,presidente,3,branco,branco
PB,19933,3,221,presidente,14,nulo,nulo
PB,19933,3,166,presidente,168,13,13
PB,19933,3,166,presidente,126,22,22
PB,19933,3,166,presidente,3,branco,branco
PB,19933,3,166,presidente,13,nulo,nulo
PB,19933,3,215,presidente,175,13,13
PB,19933,3,215,presidente,80,22,22
PB,19933,3,215,presidente,8,branco,branco
PB,19933,3,215,presidente,15,nulo,nulo
PB,19933,3,170,presidente,198,13,13
PB,19933,3,170,presidente,85,22,22
PB,19933,3,170,presidente,4,branco,branco
PB,19933,3,170,presidente,14,nulo,nulo
PB,19933,3,190,presidente,181,13,13
PB,19933,3,190,presidente,112,22,22
PB,19933,3,190,presidente,6,branco,branco
PB,19933,3,190,presidente,24,nulo,nulo
PB,19933,3,195,presidente,207,13,13
PB,19933,3,195,presidente,99,22,22
PB,19933,3,195,presidente,8,branco,branco
PB,19933,3,195,presidente,20,nulo,nulo
PB,19933,3,207,presidente,164,13,13
PB,19933,3,207,presidente,136,22,22
PB,19933,3,207,presidente,4,branco,branco
PB,19933,3,207,presidente,20,nulo,nulo
PB,19933,3,185,presidente,172,13,13
PB,19933,3,185,presidente,106,22,22
PB,19933,3,185,presidente,4,branco,branco
PB,19933,3,185,presidente,27,nulo,nulo
PB,19933,3,168,presidente,184,13,13
PB,19933,3,168,presidente,112,22,22
PB,19933,3,168,presidente,9,branco,branco
PB,19933,3,168,presidente,23,nulo,nulo
PB,19933,3,240,presidente,162,13,13
PB,19933,3,240,presidente,148,22,22
PB,19933,3,240,presidente,5,branco,branco
PB,19933,3,240,presidente,13,nulo,nulo
PB,19933,3,248,presidente,195,13,13
PB,19933,3,248,presidente,123,22,22
PB,19933,3,248,presidente,3,branco,branco
PB,19933,3,248,presidente,19,nulo,nulo
PB,19933,3,178,presidente,140,13,13
PB,19933,3,178,presidente,139,22,22
PB,19933,3,178,presidente,1,branco,branco
PB,19933,3,178,presidente,14,nulo,nulo
PB,19933,3,219,presidente,192,13,13
PB,19933,3,219,presidente,101,22,22
PB,19933,3,219,presidente,7,branco,branco
PB,19933,3,219,presidente,16,nulo,nulo
PB,19933,3,171,presidente,167,13,13
PB,19933,3,171,presidente,105,22,22
PB,19933,3,171,presidente,4,branco,branco
PB,19933,3,171,presidente,20,nulo,nulo
PB,19933,3,183,presidente,208,13,13
PB,19933,3,183,presidente,107,22,22
PB,19933,3,183,presidente,7,branco,branco
PB,19933,3,183,presidente,19,nulo,nulo
PB,19933,3,210,presidente,204,13,13
PB,19933,3,210,presidente,97,22,22
PB,19933,3,210,presidente,5,branco,branco
PB,19933,3,210,presidente,13,nulo,nulo
PB,19933,3,173,presidente,191,13,13
PB,19933,3,173,presidente,117,22,22
PB,19933,3,173,presidente,4,branco,branco
PB,19933,3,173,presidente,15,nulo,nulo
PB,19933,3,201,presidente,178,13,13
PB,19933,3,201,presidente,128,22,22
PB,19933,3,201,presidente,4,branco,branco
PB,19933,3,201,presidente,11,nulo,nulo
PB,22195,11,162,presidente,181,13,13
PB,22195,11,162,presidente,65,22,22
PB,22195,11,162,presidente,6,branco,branco
PB,22195,11,162,presidente,19,nulo,nulo
PB,22195,11,158,presidente,164,13,13
PB,22195,11,158,presidente,43,22,22
PB,22195,11,158,presidente,2,branco,branco
PB,22195,11,158,presidente,20,nulo,nulo
PB,22195,11,155,presidente,169,13,13
PB,22195,11,155,presidente,48,22,22
PB,22195,11,155,presidente,4,branco,branco
PB,22195,11,155,presidente,22,nulo,nulo
PB,22195,11,167,presidente,161,13,13
PB,22195,11,167,presidente,60,22,22
PB,22195,11,167,presidente,3,branco,branco
PB,22195,11,167,presidente,15,nulo,nulo
PB,22195,11,165,presidente,193,13,13
PB,22195,11,165,presidente,55,22,22
PB,22195,11,165,presidente,5,branco,branco
PB,22195,11,165,presidente,16,nulo,nulo
PB,22195,11,132,presidente,164,13,13
PB,22195,11,132,presidente,56,22,22
PB,22195,11,132,presidente,1,branco,branco
PB,22195,11,132,presidente,20,nulo,nulo
PB,22195,11,129,presidente,144,13,13
PB,22195,11,129,presidente,68,22,22
PB,22195,11,129,presidente,1,branco,branco
PB,22195,11,129,presidente,13,nulo,nulo
PB,22195,11,144,presidente,172,13,13
PB,22195,11,144,presidente,41,22,22
PB,22195,11,144,presidente,4,branco,branco
PB,22195,11,144,presidente,20,nulo,nulo
PB,22195,11,154,presidente,163,13,13
PB,22195,11,154,presidente,46,22,22
PB,22195,11,154,presidente,6,branco,branco
PB,22195,11,154,presidente,11,nulo,nulo
