UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
PE,24139,72,60,presidente,183,13,13
PE,24139,72,60,presidente,25,22,22
PE,24139,72,60,presidente,1,branco,branco
PE,24139,72,60,presidente,10,nulo,nulo
PE,24139,72,88,presidente,154,13,13
PE,24139,72,88,presidente,17,22,22
PE,24139,72,88,presidente,1,branco,branco
PE,24139,72,88,presidente,12,nulo,nulo
PE,24139,72,9,presidente,251,13,13
PE,24139,72,9,presidente,45,22,22
PE,24139,72,9,presidente,2,branco,branco
PE,24139,72,9,presidente,15,nulo,nulo
PE,24139,72,33,presidente,259,13,13
PE,24139,72,33,presidente,43,22,22
PE,24139,72,33,presidente,1,branco,branco
PE,24139,72,33,presidente,10,nulo,nulo
PE,24139,72,1,presidente,229,13,13
PE,24139,72,1,presidente,36,22,22
PE,24139,72,1,presidente,2,branco,branco
PE,24139,72,1,presidente,11,nulo,nulo
PE,24139,72,13,presidente,259,13,13
PE,24139,72,13,presidente,36,22,22
PE,24139,72,13,presidente,3,branco,branco
PE,24139,72,13,presidente,12,nulo,nulo
PE,24139,72,111,presidente,264,13,13
PE,24139,72,111,presidente,51,22,22
PE,24139,72,111,presidente,2,branco,branco
PE,24139,72,111,presidente,10,nulo,nulo
PE,24139,72,58,presidente,239,13,13
PE,24139,72,58,presidente,36,22,22
PE,24139,72,58,presidente,2,branco,branco
PE,24139,72,58,presidente,12,nulo,nulo
PE,24139,72,7,presidente,245,13,13
PE,24139,72,7,presidente,46,22,22
PE,24139,72,7,presidente,1,branco,branco
PE,24139,72,7,presidente,18,nulo,nulo
PE,24139,72,41,presidente,135,13,13
PE,24139,72,41,presidente,12,22,22
PE,24139,72,41,presidente,8,nulo,nulo
PE,24139,72,39,presidente,174,13,13
PE,24139,72,39,presidente,8,22,22
PE,24139,72,39,presidente,3,branco,branco
PE,24139,72,39,presidente,7,nulo,nulo
PE,24139,72,90,presidente,262,13,13
PE,24139,72,90,presidente,37,22,22
PE,24139,72,90,presidente,2,branco,branco
PE,24139,72,90,presidente,13,nulo,nulo
PE,24139,72,73,presidente,252,13,13
PE,24139,72,73,presidente,48,22,22
PE,24139,72,73,presidente,2,branco,branco
PE,24139,72,73,presidente,19,nulo,nulo
PE,24139,72,27,presidente,229,13,13
PE,24139,72,27,presidente,56,22,22
PE,24139,72,27,presidente,9,nulo,nulo
PE,24139,72,12,presidente,241,13,13
