UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
PI,12289,72,110,presidente,91,13,13
PI,12289,72,110,presidente,18,22,22
PI,12289,72,110,presidente,1,branco,branco
PI,12289,72,110,presidente,1,nulo,nulo
PI,12289,72,41,presidente,179,13,13
PI,12289,72,41,presidente,26,22,22
PI,12289,72,41,presidente,1,branco,branco
PI,12289,72,41,presidente,12,nulo,nulo
PI,12289,72,39,presidente,207,13,13
PI,12289,72,39,presidente,24,22,22
PI,12289,72,39,presidente,1,branco,branco
PI,12289,72,39,presidente,10,nulo,nulo
PI,12289,72,53,presidente,253,13,13
PI,12289,72,53,presidente,22,22,22
PI,12289,72,53,presidente,3,branco,branco
PI,12289,72,53,presidente,10,nulo,nulo
PI,12289,72,123,presidente,87,13,13
PI,12289,72,123,presidente,9,22,22
PI,12289,72,123,presidente,1,nulo,nulo
PI,12289,72,65,presidente,198,13,13
PI,12289,72,65,presidente,24,22,22
PI,12289,72,65,presidente,2,nulo,nulo
PI,12289,72,40,presidente,209,13,13
PI,12289,72,40,presidente,17,22,22
PI,12289,72,40,presidente,1,branco,branco
PI,12289,72,40,presidente,7,nulo,nulo
PI,12289,72,71,presidente,298,13,13
PI,12289,72,71,presidente,34,22,22
PI,12289,72,71,presidente,2,branco,branco
PI,12289,72,71,presidente,4,nulo,nulo
PI,12289,72,43,presidente,169,13,13
PI,12289,72,43,presidente,12,22,22
PI,12289,72,43,presidente,1,branco,branco
PI,12289,72,43,presidente,5,nulo,nulo
PI,12289,72,72,presidente,161,13,13
PI,12289,72,72,presidente,22,22,22
PI,12289,72,72,presidente,3,branco,branco
PI,12289,72,72,presidente,5,nulo,nulo
PI,12289,72,42,presidente,186,13,13
PI,12289,72,42,presidente,14,22,22
PI,12289,72,42,presidente,1,branco,branco
PI,12289,72,42,presidente,6,nulo,nulo
PI,12289,72,63,presidente,199,13,13
PI,12289,72,63,presidente,22,22,22
PI,12289,72,63,presidente,1,branco,branco
PI,12289,72,63,presidente,6,nulo,nulo
PI,12289,72,68,presidente,193,13,13
PI,12289,72,68,presidente,19,22,22
PI,12289,72,81,presidente,104,13,13
PI,12289,72,81,presidente,19,22,22
PI,12289,72,81,presidente,1,branco,branco
PI,12696,53,60,presidente,218,13,13
PI,12696,53,60,presidente,19,22,22
PI,12696,53,60,presidente,2,branco,branco
PI,12696,53,60,presidente,2,nulo,nulo
PI,12696,53,111,presidente,194,13,13
PI,12696,53,111,presidente,29,22,22
PI,12696,53,111,presidente,1,branco,branco
PI,12696,53,111,presidente,7,nulo,nulo
PI,12696,53,95,presidente,173,13,13
PI,12696,53,95,presidente,39,22,22
PI,12696,53,95,presidente,1,branco,branco
PI,12696,53,95,presidente,5,nulo,nulo
PI,12696,53,73,presidente,81,13,13
PI,12696,53,73,presidente,11,22,22
PI,12696,53,74,presidente,101,13,13
PI,12696,53,74,presidente,22,22,22
PI,12696,53,74,presidente,1,branco,branco
PI,12696,53,74,presidente,4,nulo,nulo
PI,12696,53,31,presidente,149,13,13
PI,12696,53,31,presidente,19,22,22
PI,12696,53,31,presidente,1,branco,branco
PI,12696,53,31,presidente,9,nulo,nulo
PI,12696,53,32,presidente,153,13,13
PI,12696,53,32,presidente,19,22,22
PI,12696,53,32,presidente,1,branco,branco
PI,12696,53,32,presidente,4,nulo,nulo
PI,12696,53,67,presidente,240,13,13
PI,12696,53,67,presidente,12,22,22
PI,12696,53,67,presidente,1,branco,branco
PI,12696,53,67,presidente,4,nulo,nulo
PI,12696,53,66,presidente,195,13,13
PI,12696,53,66,presidente,4,22,22
PI,12696,53,66,presidente,3,branco,branco
PI,12696,53,66,presidente,5,nulo,nulo
PI,12696,53,100,presidente,172,13,13
PI,12696,53,100,presidente,6,22,22
PI,12696,53,100,presidente,8,nulo,nulo
PI,12696,53,87,presidente,109,13,13
PI,12696,53,87,presidente,3,22,22
PI,12696,53,87,presidente,2,nulo,nulo
PI,12696,53,76,presidente,185,13,13
PI,12696,53,76,presidente,38,22,22
PI,12696,53,76,presidente,2,branco,branco
PI,12696,53,76,presidente,2,nulo,nulo
PI,12696,53,65,presidente,234,13,13
PI,12696,53,65,presidente,17,22,22
PI,12696,53,65,presidente,1,branco,branco
PI,12696,53,65,presidente,2,nulo,nulo
PI,12696,53,98,presidente,146,13,13
PI,12696,53,98,presidente,12,22,22
PI,12696,53,98,presidente,5,branco,branco
PI,12696,53,98,presidente,1,nulo,nulo
PI,12696,53,22,presidente,274,13,13
PI,12696,53,22,presidente,23,22,22
PI,12696,53,22,presidente,6,branco,branco
PI,12696,53,22,presidente,12,nulo,nulo
PI,12696,53,30,presidente,181,13,13
PI,12696,53,30,presidente,15,22,22
PI,12696,53,30,presidente,1,branco,branco
PI,12696,53,30,presidente,5,nulo,nulo
PI,12696,53,29,presidente,208,13,13
PI,12696,53,29,presidente,20,22,22
PI,12696,53,29,presidente,4,branco,branco
PI,12696,53,29,presidente,7,nulo,nulo
PI,12696,53,92,presidente,200,13,13
PI,12696,53,92,presidente,19,22,22
PI,12696,53,92,presidente,2,branco,branco
PI,12696,53,92,presidente,3,nulo,nulo
PI,12696,53,63,presidente,218,13,13
PI,12696,53,63,presidente,25,22,22
PI,12696,53,63,presidente,5,branco,branco
PI,12696,53,63,presidente,2,nulo,nulo
PI,12696,53,45,presidente,177,13,13
PI,12696,53,45,presidente,19,22,22
PI,12696,53,45,presidente,3,branco,branco
PI,12696,53,45,presidente,6,nulo,nulo
PI,12696,53,68,presidente,304,13,13
PI,12696,53,68,presidente,26,22,22
PI,12696,53,68,presidente,1,branco,branco
PI,12696,53,68,presidente,7,nulo,nulo
PI,12564,62,269,presidente,268,13,13
PI,12564,62,269,presidente,25,22,22
PI,12564,62,269,presidente,8,nulo,nulo
PI,12564,62,268,presidente,161,13,13
PI,12564,62,268,presidente,21,22,22
PI,12564,62,268,presidente,2,nulo,nulo
PI,12564,62,266,presidente,216,13,13
PI,12564,62,266,presidente,92,22,22
PI,12564,62,266,presidente,2,branco,branco
PI,12564,62,266,presidente,5,nulo,nulo
PI,12564,62,257,presidente,186,13,13
PI,12564,62,257,presidente,46,22,22
PI,12564,62,257,presidente,2,branco,branco
PI,12564,62,257,presidente,7,nulo,nulo
PI,12564,62,259,presidente,176,13,13
PI,12564,62,259,presidente,44,22,22
PI,12564,62,259,presidente,1,branco,branco
PI,12564,62,259,presidente,12,nulo,nulo
PI,12564,62,272,presidente,114,13,13
PI,12564,62,272,presidente,31,22,22
PI,12564,62,272,presidente,2,nulo,nulo
PI,12564,62,258,presidente,164,13,13
PI,12564,62,258,presidente,55,22,22
PI,12564,62,258,presidente,9,nulo,nulo
PI,12564,62,261,presidente,168,13,13
PI,12564,62,261,presidente,61,22,22
PI,12564,62,261,presidente,5,branco,branco
PI,12564,62,261,presidente,3,nulo,nulo
PI,12564,62,267,presidente,167,13,13
PI,12564,62,267,presidente,22,22,22
PI,12564,62,267,presidente,1,branco,branco
PI,12564,62,267,presidente,9,nulo,nulo
PI,12564,62,260,presidente,180,13,13
PI,12564,62,260,presidente,48,22,22
PI,12564,62,260,presidente,1,branco,branco
PI,12564,62,260,presidente,11,nulo,nulo
PI,12564,62,265,presidente,194,13,13
PI,12564,62,265,presidente,58,22,22
PI,12564,62,265,presidente,3,branco,branco
PI,12564,62,265,presidente,5,nulo,nulo
PI,12564,62,264,presidente,197,13,13
PI,12564,62,264,presidente,59,22,22
PI,12564,62,264,presidente,2,branco,branco
PI,12564,62,264,presidente,9,nulo,nulo
PI,12564,62,262,presidente,158,13,13
PI,12564,62,262,presidente,45,22,22
PI,12564,62,262,presidente,1,branco,branco
PI,12564,62,262,presidente,6,nulo,nulo
PI,12564,62,271,presidente,91,13,13
PI,12564,62,271,presidente,6,22,22
PI,12564,62,271,presidente,1,nulo,nulo
PI,12564,62,263,presidente,136,13,13
PI,12564,62,263,presidente,62,22,22
PI,12564,62,263,presidente,5,nulo,nulo
PI,12521,48,167,presidente,229,13,13
PI,12521,48,167,presidente,64,22,22
