UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
PR,75132,186,104,presidente,95,13,13
PR,75132,186,104,presidente,138,22,22
PR,75132,186,104,presidente,6,branco,branco
PR,75132,186,104,presidente,2,nulo,nulo
PR,75132,186,223,presidente,115,13,13
PR,75132,186,223,presidente,160,22,22
PR,75132,186,223,presidente,7,branco,branco
PR,75132,186,223,presidente,4,nulo,nulo
PR,75132,186,125,presidente,107,13,13
PR,75132,186,125,presidente,168,22,22
PR,75132,186,125,presidente,7,branco,branco
PR,75132,186,125,presidente,10,nulo,nulo
PR,75132,186,162,presidente,125,13,13
PR,75132,186,162,presidente,165,22,22
PR,75132,186,162,presidente,2,branco,branco
PR,75132,186,162,presidente,10,nulo,nulo
PR,75132,186,145,presidente,87,13,13
PR,75132,186,145,presidente,193,22,22
PR,75132,186,145,presidente,6,branco,branco
PR,75132,186,145,presidente,9,nulo,nulo
PR,75132,186,150,presidente,98,13,13
PR,75132,186,150,presidente,157,22,22
PR,75132,186,150,presidente,4,branco,branco
PR,75132,186,150,presidente,4,nulo,nulo
PR,75132,186,88,presidente,113,13,13
PR,75132,186,88,presidente,153,22,22
PR,75132,186,88,presidente,3,branco,branco
PR,75132,186,88,presidente,7,nulo,nulo
PR,75132,186,189,presidente,103,13,13
PR,75132,186,189,presidente,189,22,22
PR,75132,186,189,presidente,8,branco,branco
PR,75132,186,189,presidente,5,nulo,nulo
PR,75132,186,269,presidente,120,13,13
PR,75132,186,269,presidente,179,22,22
PR,75132,186,269,presidente,2,branco,branco
PR,75132,186,269,presidente,3,nulo,nulo
PR,75132,186,253,presidente,92,13,13
PR,75132,186,253,presidente,177,22,22
PR,75132,186,253,presidente,5,branco,branco
PR,75132,186,253,presidente,9,nulo,nulo
PR,75132,186,134,presidente,107,13,13
PR,75132,186,134,presidente,147,22,22
PR,75132,186,134,presidente,7,branco,branco
PR,75132,186,134,presidente,6,nulo,nulo
PR,75132,186,142,presidente,107,13,13
PR,75132,186,142,presidente,162,22,22
PR,75132,186,142,presidente,5,branco,branco
PR,75132,186,142,presidente,5,nulo,nulo
PR,75132,186,241,presidente,142,13,13
PR,75132,186,241,presidente,191,22,22
