UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
RN,18996,11,60,presidente,223,13,13
RN,18996,11,60,presidente,75,22,22
RN,18996,11,60,presidente,2,branco,branco
RN,18996,11,60,presidente,4,nulo,nulo
RN,18996,11,111,presidente,147,13,13
RN,18996,11,111,presidente,53,22,22
RN,18996,11,111,presidente,1,branco,branco
RN,18996,11,111,presidente,2,nulo,nulo
RN,18996,11,47,presidente,219,13,13
RN,18996,11,47,presidente,59,22,22
RN,18996,11,47,presidente,3,branco,branco
RN,18996,11,47,presidente,10,nulo,nulo
RN,18996,11,53,presidente,201,13,13
RN,18996,11,53,presidente,59,22,22
RN,18996,11,53,presidente,2,branco,branco
RN,18996,11,53,presidente,9,nulo,nulo
RN,18996,11,46,presidente,210,13,13
RN,18996,11,46,presidente,73,22,22
RN,18996,11,46,presidente,6,branco,branco
RN,18996,11,46,presidente,5,nulo,nulo
RN,18996,11,44,presidente,209,13,13
RN,18996,11,44,presidente,58,22,22
RN,18996,11,44,presidente,2,branco,branco
RN,18996,11,44,presidente,9,nulo,nulo
RN,18996,11,54,presidente,217,13,13
RN,18996,11,54,presidente,65,22,22
RN,18996,11,54,presidente,2,branco,branco
RN,18996,11,54,presidente,7,nulo,nulo
RN,18996,11,83,presidente,221,13,13
RN,18996,11,83,presidente,72,22,22
RN,18996,11,83,presidente,1,branco,branco
RN,18996,11,83,presidente,8,nulo,nulo
RN,18996,11,45,presidente,177,13,13
RN,18996,11,45,presidente,67,22,22
RN,18996,11,45,presidente,1,branco,branco
RN,18996,11,45,presidente,5,nulo,nulo
RN,18112,63,33,presidente,190,13,13
RN,18112,63,33,presidente,77,22,22
RN,18112,63,33,presidente,1,branco,branco
RN,18112,63,33,presidente,6,nulo,nulo
RN,18112,63,41,presidente,196,13,13
RN,18112,63,41,presidente,54,22,22
RN,18112,63,41,presidente,2,branco,branco
RN,18112,63,41,presidente,3,nulo,nulo
RN,18112,63,27,presidente,224,13,13
RN,18112,63,27,presidente,80,22,22
RN,18112,63,27,presidente,1,branco,branco
RN,18112,63,27,presidente,4,nulo,nulo
RN,18112,63,31,presidente,202,13,13
RN,18112,63,31,presidente,55,22,22
RN,18112,63,31,presidente,1,branco,branco
RN,18112,63,31,presidente,11,nulo,nulo
RN,18112,63,28,presidente,221,13,13
RN,18112,63,28,presidente,76,22,22
RN,18112,63,28,presidente,1,branco,branco
RN,18112,63,28,presidente,3,nulo,nulo
RN,18112,63,30,presidente,205,13,13
RN,18112,63,30,presidente,65,22,22
RN,18112,63,30,presidente,1,branco,branco
RN,18112,63,30,presidente,6,nulo,nulo
RN,18112,63,29,presidente,222,13,13
RN,18112,63,29,presidente,80,22,22
RN,18112,63,29,presidente,2,branco,branco
RN,18112,63,29,presidente,6,nulo,nulo
RN,18112,63,34,presidente,205,13,13
RN,18112,63,34,presidente,76,22,22
RN,18112,63,34,presidente,1,branco,branco
RN,18112,63,34,presidente,3,nulo,nulo
RN,16241,8,88,presidente,182,13,13
RN,16241,8,88,presidente,63,22,22
RN,16241,8,88,presidente,3,branco,branco
RN,16241,8,88,presidente,2,nulo,nulo
RN,16241,8,39,presidente,206,13,13
RN,16241,8,39,presidente,96,22,22
RN,16241,8,39,presidente,5,branco,branco
RN,16241,8,39,presidente,3,nulo,nulo
RN,16241,8,90,presidente,180,13,13
RN,16241,8,90,presidente,87,22,22
RN,16241,8,90,presidente,2,nulo,nulo
RN,16241,8,74,presidente,177,13,13
RN,16241,8,74,presidente,86,22,22
RN,16241,8,74,presidente,3,branco,branco
RN,16241,8,87,presidente,197,13,13
RN,16241,8,87,presidente,62,22,22
RN,16241,8,87,presidente,6,branco,branco
RN,16241,8,87,presidente,5,nulo,nulo
RN,16241,8,38,presidente,104,13,13
RN,16241,8,38,presidente,49,22,22
RN,16241,8,38,presidente,1,branco,branco
RN,16241,8,38,presidente,4,nulo,nulo
RN,16241,8,91,presidente,104,13,13
RN,16241,8,91,presidente,40,22,22
RN,16241,8,91,presidente,4,branco,branco
RN,16241,8,91,presidente,2,nulo,nulo
RN,16241,8,40,presidente,212,13,13
RN,16241,8,40,presidente,83,22,22
RN,16241,8,40,presidente,3,branco,branco
RN,16241,8,40,presidente,3,nulo,nulo
RN,16241,8,37,presidente,107,13,13
RN,16241,8,37,presidente,46,22,22
RN,16241,8,37,presidente,2,branco,branco
RN,16241,8,37,presidente,1,nulo,nulo
RN,16241,8,94,presidente,184,13,13
RN,16241,8,94,presidente,76,22,22
RN,16241,8,94,presidente,2,branco,branco
RN,16241,8,94,presidente,2,nulo,nulo
RN,16241,8,64,presidente,207,13,13
RN,16241,8,64,presidente,70,22,22
RN,16241,8,64,presidente,3,branco,branco
RN,16241,8,64,presidente,8,nulo,nulo
RN,16241,8,82,presidente,192,13,13
RN,16241,8,82,presidente,52,22,22
RN,16241,8,82,presidente,1,branco,branco
RN,16241,8,82,presidente,6,nulo,nulo
RN,16241,8,63,presidente,111,13,13
RN,16241,8,63,presidente,42,22,22
RN,16241,8,63,presidente,4,branco,branco
RN,16241,8,63,presidente,4,nulo,nulo
RN,16241,8,83,presidente,185,13,13
RN,16241,8,83,presidente,71,22,22
RN,16241,8,83,presidente,5,branco,branco
RN,16241,8,83,presidente,4,nulo,nulo
RN,16241,8,99,presidente,218,13,13
RN,16241,8,99,presidente,79,22,22
RN,16241,8,99,presidente,7,nulo,nulo
RN,16144,18,27,presidente,174,13,13
RN,16144,18,27,presidente,71,22,22
RN,16144,18,27,presidente,3,branco,branco
RN,16144,18,27,presidente,8,nulo,nulo
RN,16144,18,121,presidente,117,13,13
RN,16144,18,121,presidente,59,22,22
RN,16144,18,121,presidente,1,branco,branco
RN,16144,18,121,presidente,1,nulo,nulo
RN,16144,18,31,presidente,150,13,13
RN,16144,18,31,presidente,55,22,22
RN,16144,18,31,presidente,2,branco,branco
RN,16144,18,31,presidente,9,nulo,nulo
RN,16144,18,28,presidente,151,13,13
RN,16144,18,28,presidente,83,22,22
RN,16144,18,28,presidente,1,branco,branco
RN,16144,18,28,presidente,7,nulo,nulo
RN,16144,18,26,presidente,172,13,13
RN,16144,18,26,presidente,72,22,22
RN,16144,18,26,presidente,2,branco,branco
RN,16144,18,26,presidente,2,nulo,nulo
RN,16144,18,35,presidente,157,13,13
RN,16144,18,35,presidente,52,22,22
RN,16144,18,35,presidente,1,branco,branco
RN,16144,18,35,presidente,3,nulo,nulo
RN,16144,18,24,presidente,163,13,13
RN,16144,18,24,presidente,63,22,22
RN,16144,18,24,presidente,5,branco,branco
RN,16144,18,24,presidente,3,nulo,nulo
RN,16144,18,23,presidente,170,13,13
RN,16144,18,23,presidente,51,22,22
RN,16144,18,23,presidente,2,branco,branco
RN,16144,18,23,presidente,2,nulo,nulo
RN,16144,18,30,presidente,180,13,13
RN,16144,18,30,presidente,65,22,22
RN,16144,18,30,presidente,2,branco,branco
RN,16144,18,30,presidente,4,nulo,nulo
RN,16144,18,29,presidente,172,13,13
RN,16144,18,29,presidente,50,22,22
RN,16144,18,29,presidente,3,nulo,nulo
RN,16144,18,25,presidente,172,13,13
RN,16144,18,25,presidente,48,22,22
RN,16144,18,25,presidente,1,branco,branco
RN,16144,18,25,presidente,4,nulo,nulo
RN,16810,9,104,presidente,216,13,13
RN,16810,9,104,presidente,23,22,22
RN,16810,9,104,presidente,2,branco,branco
RN,16810,9,104,presidente,11,nulo,nulo
RN,16810,9,125,presidente,135,13,13
RN,16810,9,125,presidente,85,22,22
RN,16810,9,125,presidente,5,branco,branco
RN,16810,9,125,presidente,1,nulo,nulo
RN,16810,9,145,presidente,183,13,13
RN,16810,9,145,presidente,109,22,22
RN,16810,9,145,presidente,5,branco,branco
RN,16810,9,145,presidente,5,nulo,nulo
RN,16810,9,88,presidente,185,13,13
RN,16810,9,88,presidente,68,22,22
RN,16810,9,88,presidente,1,branco,branco
RN,16810,9,88,presidente,8,nulo,nulo
RN,16810,9,142,presidente,156,13,13
RN,16810,9,142,presidente,92,22,22
RN,16810,9,142,presidente,5,branco,branco
RN,16810,9,142,presidente,5,nulo,nulo
RN,16810,9,149,presidente,191,13,13
RN,16810,9,149,presidente,48,22,22
RN,16810,9,149,presidente,2,branco,branco
RN,16810,9,149,presidente,4,nulo,nulo
RN,16810,9,130,presidente,142,13,13
RN,16810,9,130,presidente,80,22,22
RN,16810,9,130,presidente,1,branco,branco
RN,16810,9,130,presidente,4,nulo,nulo
RN,16810,9,135,presidente,125,13,13
RN,16810,9,135,presidente,91,22,22
RN,16810,9,135,presidente,3,branco,branco
RN,16810,9,135,presidente,6,nulo,nulo
RN,16810,9,96,presidente,185,13,13
RN,16810,9,96,presidente,62,22,22
RN,16810,9,96,presidente,4,branco,branco
RN,16810,9,96,presidente,5,nulo,nulo
RN,16810,9,58,presidente,187,13,13
RN,16810,9,58,presidente,109,22,22
RN,16810,9,58,presidente,4,branco,branco
RN,16810,9,58,presidente,8,nulo,nulo
RN,16810,9,127,presidente,127,13,13
RN,16810,9,127,presidente,74,22,22
RN,16810,9,127,presidente,5,branco,branco
RN,16810,9,127,presidente,10,nulo,nulo
RN,16810,9,41,presidente,126,13,13
RN,16810,9,41,presidente,89,22,22
RN,16810,9,41,presidente,1,branco,branco
RN,16810,9,41,presidente,5,nulo,nulo
RN,16810,9,167,presidente,180,13,13
RN,16810,9,167,presidente,76,22,22
RN,16810,9,167,presidente,4,branco,branco
RN,16810,9,167,presidente,14,nulo,nulo
RN,16810,9,39,presidente,118,13,13
RN,16810,9,39,presidente,87,22,22
RN,16810,9,39,presidente,1,branco,branco
RN,16810,9,39,presidente,3,nulo,nulo
RN,16810,9,174,presidente,157,13,13
RN,16810,9,174,presidente,100,22,22
RN,16810,9,174,presidente,4,branco,branco
RN,16810,9,174,presidente,9,nulo,nulo
RN,16810,9,53,presidente,168,13,13
RN,16810,9,53,presidente,72,22,22
RN,16810,9,53,presidente,2,branco,branco
RN,16810,9,53,presidente,7,nulo,nulo
RN,16810,9,132,presidente,156,13,13
RN,16810,9,132,presidente,164,22,22
RN,16810,9,132,presidente,5,branco,branco
RN,16810,9,132,presidente,9,nulo,nulo
RN,16810,9,86,presidente,113,13,13
RN,16810,9,86,presidente,98,22,22
RN,16810,9,86,presidente,4,nulo,nulo
RN,16810,9,118,presidente,166,13,13
RN,16810,9,118,presidente,85,22,22
RN,16810,9,118,presidente,3,branco,branco
RN,16810,9,118,presidente,3,nulo,nulo
RN,16810,9,121,presidente,193,13,13
RN,16810,9,121,presidente,72,22,22
RN,16810,9,121,presidente,1,branco,branco
RN,16810,9,121,presidente,6,nulo,nulo
RN,16810,9,46,presidente,181,13,13
RN,16810,9,46,presidente,97,22,22
RN,16810,9,46,presidente,3,branco,branco
RN,16810,9,46,presidente,11,nulo,nulo
RN,16810,9,44,presidente,110,13,13
RN,16810,9,44,presidente,93,22,22
RN,16810,9,44,presidente,5,branco,branco
RN,16810,9,44,presidente,5,nulo,nulo
RN,16810,9,184,presidente,97,13,13
RN,16810,9,184,presidente,52,22,22
RN,16810,9,184,presidente,2,branco,branco
RN,16810,9,184,presidente,2,nulo,nulo
RN,16810,9,106,presidente,209,13,13
RN,16810,9,106,presidente,88,22,22
RN,16810,9,106,presidente,3,branco,branco
RN,16810,9,106,presidente,15,nulo,nulo
RN,16810,9,62,presidente,201,13,13
RN,16810,9,62,presidente,87,22,22
RN,16810,9,62,presidente,8,branco,branco
RN,16810,9,62,presidente,8,nulo,nulo
RN,16810,9,180,presidente,176,13,13
RN,16810,9,180,presidente,141,22,22
RN,16810,9,180,presidente,1,branco,branco
RN,16810,9,180,presidente,4,nulo,nulo
RN,16810,9,177,presidente,76,13,13
RN,16810,9,177,presidente,10,22,22
RN,16810,9,177,presidente,1,branco,branco
RN,16810,9,97,presidente,165,13,13
RN,16810,9,97,presidente,142,22,22
RN,16810,9,97,presidente,5,branco,branco
RN,16810,9,97,presidente,15,nulo,nulo
RN,16810,9,87,presidente,196,13,13
RN,16810,9,87,presidente,92,22,22
RN,16810,9,87,presidente,6,branco,branco
RN,16810,9,87,presidente,9,nulo,nulo
RN,16810,9,56,presidente,222,13,13
RN,16810,9,56,presidente,60,22,22
RN,16810,9,56,presidente,6,branco,branco
RN,16810,9,56,presidente,8,nulo,nulo
RN,16810,9,151,presidente,155,13,13
RN,16810,9,151,presidente,122,22,22
RN,16810,9,151,presidente,4,branco,branco
RN,16810,9,151,presidente,8,nulo,nulo
RN,16810,9,38,presidente,127,13,13
RN,16810,9,38,presidente,90,22,22
RN,16810,9,38,presidente,2,branco,branco
RN,16810,9,38,presidente,6,nulo,nulo
RN,16810,9,91,presidente,190,13,13
RN,16810,9,91,presidente,50,22,22
RN,16810,9,91,presidente,4,branco,branco
RN,16810,9,91,presidente,11,nulo,nulo
RN,16810,9,93,presidente,179,13,13
RN,16810,9,93,presidente,64,22,22
RN,16810,9,93,presidente,3,branco,branco
RN,16810,9,93,presidente,6,nulo,nulo
RN,16810,9,65,presidente,137,13,13
RN,16810,9,65,presidente,73,22,22
RN,16810,9,65,presidente,4,branco,branco
RN,16810,9,65,presidente,3,nulo,nulo
RN,16810,9,40,presidente,132,13,13
RN,16810,9,40,presidente,93,22,22
RN,16810,9,40,presidente,2,branco,branco
RN,16810,9,40,presidente,3,nulo,nulo
RN,16810,9,37,presidente,170,13,13
RN,16810,9,37,presidente,139,22,22
RN,16810,9,37,presidente,6,branco,branco
RN,16810,9,37,presidente,7,nulo,nulo
RN,16810,9,154,presidente,186,13,13
RN,16810,9,154,presidente,60,22,22
RN,16810,9,154,presidente,6,branco,branco
RN,16810,9,154,presidente,7,nulo,nulo
RN,16810,9,98,presidente,160,13,13
RN,16810,9,98,presidente,80,22,22
RN,16810,9,98,presidente,4,branco,branco
RN,16810,9,98,presidente,9,nulo,nulo
RN,16810,9,175,presidente,153,13,13
RN,16810,9,175,presidente,68,22,22
RN,16810,9,175,presidente,4,branco,branco
RN,16810,9,175,presidente,3,nulo,nulo
RN,16810,9,61,presidente,212,13,13
RN,16810,9,61,presidente,71,22,22
RN,16810,9,61,presidente,5,branco,branco
RN,16810,9,61,presidente,7,nulo,nulo
RN,16810,9,140,presidente,169,13,13
RN,16810,9,140,presidente,136,22,22
RN,16810,9,140,presidente,3,branco,branco
RN,16810,9,140,presidente,12,nulo,nulo
RN,16810,9,64,presidente,191,13,13
RN,16810,9,64,presidente,114,22,22
RN,16810,9,64,presidente,5,branco,branco
RN,16810,9,64,presidente,18,nulo,nulo
RN,16810,9,102,presidente,160,13,13
RN,16810,9,102,presidente,72,22,22
RN,16810,9,102,presidente,3,branco,branco
RN,16810,9,102,presidente,5,nulo,nulo
RN,16810,9,169,presidente,146,13,13
RN,16810,9,169,presidente,89,22,22
RN,16810,9,169,presidente,4,branco,branco
RN,16810,9,169,presidente,9,nulo,nulo
RN,16810,9,105,presidente,188,13,13
RN,16810,9,105,presidente,69,22,22
RN,16810,9,105,presidente,1,branco,branco
RN,16810,9,105,presidente,4,nulo,nulo
RN,16810,9,172,presidente,150,13,13
RN,16810,9,172,presidente,118,22,22
RN,16810,9,172,presidente,3,branco,branco
RN,16810,9,172,presidente,6,nulo,nulo
RN,16810,9,89,presidente,216,13,13
RN,16810,9,89,presidente,67,22,22
RN,16810,9,89,presidente,4,branco,branco
RN,16810,9,89,presidente,6,nulo,nulo
RN,16810,9,54,presidente,176,13,13
RN,16810,9,54,presidente,67,22,22
RN,16810,9,54,presidente,1,branco,branco
RN,16810,9,54,presidente,4,nulo,nulo
RN,16810,9,85,presidente,173,13,13
RN,16810,9,85,presidente,152,22,22
RN,16810,9,85,presidente,9,nulo,nulo
RN,16810,9,43,presidente,127,13,13
RN,16810,9,43,presidente,80,22,22
RN,16810,9,43,presidente,4,branco,branco
RN,16810,9,43,presidente,10,nulo,nulo
RN,16810,9,52,presidente,172,13,13
RN,16810,9,52,presidente,71,22,22
RN,16810,9,52,presidente,2,branco,branco
RN,16810,9,52,presidente,6,nulo,nulo
RN,16810,9,59,presidente,125,13,13
RN,16810,9,59,presidente,85,22,22
RN,16810,9,59,presidente,7,branco,branco
RN,16810,9,59,presidente,10,nulo,nulo
RN,16810,9,190,presidente,31,13,13
RN,16810,9,190,presidente,34,22,22
RN,16810,9,190,presidente,1,branco,branco
RN,16810,9,190,presidente,1,nulo,nulo
RN,16810,9,57,presidente,194,13,13
RN,16810,9,57,presidente,90,22,22
RN,16810,9,57,presidente,4,branco,branco
RN,16810,9,57,presidente,14,nulo,nulo
RN,16810,9,101,presidente,172,13,13
RN,16810,9,101,presidente,78,22,22
RN,16810,9,101,presidente,1,branco,branco
RN,16810,9,101,presidente,9,nulo,nulo
RN,16810,9,138,presidente,176,13,13
RN,16810,9,138,presidente,127,22,22
RN,16810,9,138,presidente,4,branco,branco
RN,16810,9,138,presidente,4,nulo,nulo
RN,16810,9,128,presidente,217,13,13
RN,16810,9,128,presidente,86,22,22
RN,16810,9,128,presidente,7,branco,branco
RN,16810,9,128,presidente,10,nulo,nulo
RN,16810,9,131,presidente,176,13,13
RN,16810,9,131,presidente,127,22,22
RN,16810,9,131,presidente,2,branco,branco
RN,16810,9,131,presidente,10,nulo,nulo
RN,16810,9,92,presidente,193,13,13
RN,16810,9,92,presidente,95,22,22
RN,16810,9,92,presidente,6,branco,branco
