UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
RO,736,19,104,presidente,69,13,13
RO,736,19,104,presidente,162,22,22
RO,736,19,104,presidente,2,branco,branco
RO,736,19,104,presidente,9,nulo,nulo
RO,736,19,110,presidente,62,13,13
RO,736,19,110,presidente,130,22,22
RO,736,19,110,presidente,5,nulo,nulo
RO,736,19,130,presidente,64,13,13
RO,736,19,130,presidente,160,22,22
RO,736,19,130,presidente,1,branco,branco
RO,736,19,130,presidente,4,nulo,nulo
RO,736,19,111,presidente,83,13,13
RO,736,19,111,presidente,120,22,22
RO,736,19,111,presidente,5,nulo,nulo
RO,736,19,96,presidente,76,13,13
RO,736,19,96,presidente,153,22,22
RO,736,19,96,presidente,4,branco,branco
RO,736,19,96,presidente,7,nulo,nulo
RO,736,19,112,presidente,77,13,13
RO,736,19,112,presidente,124,22,22
RO,736,19,112,presidente,1,branco,branco
RO,736,19,112,presidente,9,nulo,nulo
RO,736,19,109,presidente,70,13,13
RO,736,19,109,presidente,129,22,22
RO,736,19,109,presidente,3,branco,branco
RO,736,19,109,presidente,11,nulo,nulo
RO,736,19,95,presidente,62,13,13
RO,736,19,95,presidente,150,22,22
RO,736,19,95,presidente,5,branco,branco
RO,736,19,95,presidente,11,nulo,nulo
RO,736,19,133,presidente,56,13,13
RO,736,19,133,presidente,119,22,22
RO,736,19,133,presidente,2,nulo,nulo
RO,736,19,132,presidente,40,13,13
RO,736,19,132,presidente,130,22,22
RO,736,19,132,presidente,3,branco,branco
RO,736,19,132,presidente,5,nulo,nulo
RO,736,19,118,presidente,62,13,13
RO,736,19,118,presidente,187,22,22
RO,736,19,118,presidente,5,branco,branco
RO,736,19,118,presidente,10,nulo,nulo
RO,736,19,115,presidente,52,13,13
RO,736,19,115,presidente,66,22,22
RO,736,19,115,presidente,5,branco,branco
RO,736,19,115,presidente,5,nulo,nulo
RO,736,19,106,presidente,82,13,13
RO,736,19,106,presidente,159,22,22
RO,736,19,106,presidente,2,branco,branco
RO,736,19,106,presidente,9,nulo,nulo
RO,736,19,114,presidente,52,13,13
RO,736,19,114,presidente,145,22,22
RO,736,19,114,presidente,2,branco,branco
RO,736,19,114,presidente,7,nulo,nulo
RO,736,19,97,presidente,64,13,13
RO,736,19,97,presidente,161,22,22
RO,736,19,97,presidente,2,branco,branco
RO,736,19,97,presidente,7,nulo,nulo
RO,736,19,100,presidente,75,13,13
RO,736,19,100,presidente,170,22,22
RO,736,19,100,presidente,1,branco,branco
RO,736,19,100,presidente,10,nulo,nulo
RO,736,19,129,presidente,65,13,13
RO,736,19,129,presidente,152,22,22
RO,736,19,129,presidente,2,branco,branco
RO,736,19,129,presidente,8,nulo,nulo
RO,736,19,117,presidente,80,13,13
RO,736,19,117,presidente,109,22,22
RO,736,19,117,presidente,6,branco,branco
RO,736,19,117,presidente,5,nulo,nulo
RO,736,19,98,presidente,68,13,13
RO,736,19,98,presidente,168,22,22
RO,736,19,98,presidente,6,branco,branco
RO,736,19,98,presidente,6,nulo,nulo
RO,736,19,102,presidente,77,13,13
RO,736,19,102,presidente,166,22,22
RO,736,19,102,presidente,3,branco,branco
RO,736,19,102,presidente,7,nulo,nulo
RO,736,19,105,presidente,82,13,13
RO,736,19,105,presidente,161,22,22
RO,736,19,105,presidente,5,branco,branco
RO,736,19,105,presidente,7,nulo,nulo
RO,736,19,116,presidente,71,13,13
RO,736,19,116,presidente,124,22,22
RO,736,19,116,presidente,4,branco,branco
RO,736,19,116,presidente,5,nulo,nulo
RO,736,19,108,presidente,32,13,13
RO,736,19,108,presidente,87,22,22
RO,736,19,108,presidente,2,branco,branco
RO,736,19,108,presidente,7,nulo,nulo
RO,736,19,101,presidente,77,13,13
RO,736,19,101,presidente,158,22,22
RO,736,19,101,presidente,1,branco,branco
RO,736,19,101,presidente,9,nulo,nulo
RO,736,19,128,presidente,53,13,13
RO,736,19,128,presidente,133,22,22
