UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
RR,3050,3,241,presidente,42,13,13
RR,3050,3,241,presidente,153,22,22
RR,3050,3,241,presidente,1,nulo,nulo
RR,3050,3,13,presidente,48,13,13
RR,3050,3,13,presidente,127,22,22
RR,3050,3,13,presidente,3,branco,branco
RR,3050,3,13,presidente,5,nulo,nulo
RR,3050,3,155,presidente,41,13,13
RR,3050,3,155,presidente,152,22,22
RR,3050,3,155,presidente,1,nulo,nulo
RR,3050,3,209,presidente,129,13,13
RR,3050,3,209,presidente,59,22,22
RR,3050,3,209,presidente,1,branco,branco
RR,3050,3,209,presidente,2,nulo,nulo
RR,3050,3,167,presidente,135,13,13
RR,3050,3,167,presidente,62,22,22
RR,3050,3,12,presidente,45,13,13
RR,3050,3,12,presidente,161,22,22
RR,3050,3,12,presidente,2,branco,branco
RR,3050,3,12,presidente,2,nulo,nulo
RR,3050,3,121,presidente,39,13,13
RR,3050,3,121,presidente,129,22,22
RR,3050,3,121,presidente,1,branco,branco
RR,3050,3,121,presidente,5,nulo,nulo
RR,3050,3,31,presidente,14,13,13
RR,3050,3,31,presidente,156,22,22
RR,3050,3,31,presidente,1,nulo,nulo
RR,3050,3,208,presidente,28,13,13
RR,3050,3,208,presidente,123,22,22
RR,3050,3,208,presidente,1,branco,branco
RR,3050,3,208,presidente,2,nulo,nulo
RR,3050,3,184,presidente,32,13,13
RR,3050,3,184,presidente,140,22,22
RR,3050,3,19,presidente,66,13,13
RR,3050,3,19,presidente,166,22,22
RR,3050,3,19,presidente,1,branco,branco
RR,3050,3,19,presidente,6,nulo,nulo
RR,3050,3,224,presidente,33,13,13
RR,3050,3,224,presidente,140,22,22
RR,3050,3,224,presidente,1,branco,branco
RR,3050,3,236,presidente,9,13,13
RR,3050,3,236,presidente,127,22,22
RR,3050,3,28,presidente,114,13,13
RR,3050,3,28,presidente,101,22,22
RR,3050,3,97,presidente,43,13,13
RR,3050,3,97,presidente,142,22,22
RR,3050,3,97,presidente,2,nulo,nulo
RR,3050,3,129,presidente,42,13,13
RR,3050,3,129,presidente,136,22,22
RR,3050,3,129,presidente,3,nulo,nulo
RR,3050,3,206,presidente,46,13,13
RR,3050,3,206,presidente,144,22,22
RR,3050,3,206,presidente,1,branco,branco
RR,3050,3,206,presidente,3,nulo,nulo
RR,3050,3,117,presidente,43,13,13
RR,3050,3,117,presidente,119,22,22
RR,3050,3,117,presidente,1,branco,branco
RR,3050,3,117,presidente,2,nulo,nulo
RR,3050,3,20,presidente,48,13,13
RR,3050,3,20,presidente,183,22,22
RR,3050,3,20,presidente,1,branco,branco
RR,3050,3,20,presidente,4,nulo,nulo
RR,3050,3,211,presidente,40,13,13
RR,3050,3,211,presidente,160,22,22
RR,3050,3,211,presidente,3,nulo,nulo
RR,3050,3,15,presidente,44,13,13
RR,3050,3,15,presidente,144,22,22
RR,3050,3,15,presidente,2,nulo,nulo
RR,3050,3,22,presidente,58,13,13
RR,3050,3,22,presidente,185,22,22
RR,3050,3,22,presidente,1,branco,branco
RR,3050,3,22,presidente,6,nulo,nulo
