UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
RS,86070,138,127,presidente,110,13,13
RS,86070,138,127,presidente,213,22,22
RS,86070,138,127,presidente,13,branco,branco
RS,86070,138,127,presidente,7,nulo,nulo
RS,86070,138,109,presidente,83,13,13
RS,86070,138,109,presidente,147,22,22
RS,86070,138,109,presidente,8,branco,branco
RS,86070,138,109,presidente,7,nulo,nulo
RS,86070,138,121,presidente,91,13,13
RS,86070,138,121,presidente,115,22,22
RS,86070,138,121,presidente,11,branco,branco
RS,86070,138,121,presidente,5,nulo,nulo
RS,86070,138,115,presidente,84,13,13
RS,86070,138,115,presidente,149,22,22
RS,86070,138,115,presidente,2,branco,branco
RS,86070,138,115,presidente,4,nulo,nulo
RS,86070,138,46,presidente,82,13,13
RS,86070,138,46,presidente,145,22,22
RS,86070,138,46,presidente,3,branco,branco
RS,86070,138,46,presidente,2,nulo,nulo
RS,86070,138,93,presidente,85,13,13
RS,86070,138,93,presidente,139,22,22
RS,86070,138,93,presidente,7,branco,branco
RS,86070,138,93,presidente,7,nulo,nulo
RS,86070,138,98,presidente,63,13,13
RS,86070,138,98,presidente,134,22,22
RS,86070,138,98,presidente,6,branco,branco
RS,86070,138,98,presidente,12,nulo,nulo
RS,86070,138,18,presidente,102,13,13
RS,86070,138,18,presidente,65,22,22
RS,86070,138,18,presidente,3,branco,branco
RS,86070,138,18,presidente,5,nulo,nulo
RS,86070,138,89,presidente,99,13,13
RS,86070,138,89,presidente,69,22,22
RS,86070,138,89,presidente,6,branco,branco
RS,86070,138,89,presidente,7,nulo,nulo
RS,86070,138,5,presidente,105,13,13
RS,86070,138,5,presidente,100,22,22
RS,86070,138,5,presidente,5,branco,branco
RS,86070,138,5,presidente,11,nulo,nulo
RS,86070,138,10,presidente,85,13,13
RS,86070,138,10,presidente,136,22,22
RS,86070,138,10,presidente,9,branco,branco
RS,86070,138,10,presidente,8,nulo,nulo
RS,86070,138,128,presidente,62,13,13
RS,86070,138,128,presidente,80,22,22
RS,86070,138,128,presidente,4,branco,branco
RS,86070,138,128,presidente,5,nulo,nulo
RS,86070,138,126,presidente,109,13,13
RS,86070,138,126,presidente,184,22,22
RS,86070,138,126,presidente,10,branco,branco
RS,86070,138,126,presidente,8,nulo,nulo
RS,86070,138,83,presidente,88,13,13
RS,86070,138,83,presidente,124,22,22
RS,86070,138,83,presidente,1,branco,branco
RS,86070,138,83,presidente,4,nulo,nulo
RS,85952,138,9,presidente,69,13,13
RS,85952,138,9,presidente,261,22,22
RS,85952,138,9,presidente,7,branco,branco
RS,85952,138,9,presidente,8,nulo,nulo
RS,85952,138,1,presidente,97,13,13
RS,85952,138,1,presidente,230,22,22
RS,85952,138,1,presidente,3,branco,branco
RS,85952,138,1,presidente,8,nulo,nulo
RS,85952,138,69,presidente,92,13,13
RS,85952,138,69,presidente,201,22,22
RS,85952,138,69,presidente,2,branco,branco
RS,85952,138,69,presidente,5,nulo,nulo
RS,85952,138,27,presidente,94,13,13
RS,85952,138,27,presidente,203,22,22
RS,85952,138,27,presidente,8,branco,branco
RS,85952,138,27,presidente,9,nulo,nulo
RS,85952,138,47,presidente,89,13,13
RS,85952,138,47,presidente,233,22,22
RS,85952,138,47,presidente,5,branco,branco
RS,85952,138,47,presidente,3,nulo,nulo
RS,85952,138,32,presidente,75,13,13
RS,85952,138,32,presidente,207,22,22
RS,85952,138,32,presidente,5,branco,branco
RS,85952,138,32,presidente,6,nulo,nulo
RS,85952,138,19,presidente,68,13,13
RS,85952,138,19,presidente,213,22,22
RS,85952,138,19,presidente,10,branco,branco
RS,85952,138,19,presidente,3,nulo,nulo
RS,85952,138,28,presidente,103,13,13
RS,85952,138,28,presidente,209,22,22
RS,85952,138,28,presidente,3,branco,branco
RS,85952,138,28,presidente,8,nulo,nulo
RS,85952,138,26,presidente,115,13,13
RS,85952,138,26,presidente,190,22,22
RS,85952,138,26,presidente,7,branco,branco
RS,85952,138,26,presidente,10,nulo,nulo
RS,85952,138,76,presidente,74,13,13
RS,85952,138,76,presidente,231,22,22
RS,85952,138,76,presidente,8,branco,branco
RS,85952,138,76,presidente,3,nulo,nulo
RS,85952,138,6,presidente,67,13,13
RS,85952,138,6,presidente,239,22,22
RS,85952,138,6,presidente,4,branco,branco
RS,85952,138,6,presidente,3,nulo,nulo
RS,85952,138,20,presidente,70,13,13
RS,85952,138,20,presidente,210,22,22
RS,85952,138,20,presidente,3,branco,branco
RS,85952,138,20,presidente,3,nulo,nulo
RS,85952,138,15,presidente,29,13,13
RS,85952,138,15,presidente,144,22,22
RS,85952,138,15,presidente,4,branco,branco
RS,85952,138,15,presidente,3,nulo,nulo
RS,85952,138,24,presidente,120,13,13
RS,85952,138,24,presidente,173,22,22
