UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
SC,83194,27,223,presidente,71,13,13
SC,83194,27,223,presidente,117,22,22
SC,83194,27,223,presidente,3,branco,branco
SC,83194,27,223,presidente,3,nulo,nulo
SC,83194,27,125,presidente,90,13,13
SC,83194,27,125,presidente,182,22,22
SC,83194,27,125,presidente,4,branco,branco
SC,83194,27,125,presidente,5,nulo,nulo
SC,83194,27,162,presidente,75,13,13
SC,83194,27,162,presidente,172,22,22
SC,83194,27,162,presidente,3,branco,branco
SC,83194,27,162,presidente,1,nulo,nulo
SC,83194,27,60,presidente,91,13,13
SC,83194,27,60,presidente,183,22,22
SC,83194,27,60,presidente,2,branco,branco
SC,83194,27,60,presidente,7,nulo,nulo
SC,83194,27,145,presidente,77,13,13
SC,83194,27,145,presidente,187,22,22
SC,83194,27,145,presidente,2,branco,branco
SC,83194,27,145,presidente,3,nulo,nulo
SC,83194,27,88,presidente,82,13,13
SC,83194,27,88,presidente,220,22,22
SC,83194,27,88,presidente,4,branco,branco
SC,83194,27,88,presidente,13,nulo,nulo
SC,83194,27,189,presidente,40,13,13
SC,83194,27,189,presidente,144,22,22
SC,83194,27,189,presidente,5,branco,branco
SC,83194,27,110,presidente,84,13,13
SC,83194,27,110,presidente,235,22,22
SC,83194,27,110,presidente,4,branco,branco
SC,83194,27,110,presidente,7,nulo,nulo
SC,83194,27,33,presidente,82,13,13
SC,83194,27,33,presidente,200,22,22
SC,83194,27,33,presidente,3,branco,branco
SC,83194,27,33,presidente,6,nulo,nulo
SC,83194,27,75,presidente,87,13,13
SC,83194,27,75,presidente,130,22,22
SC,83194,27,75,presidente,1,branco,branco
SC,83194,27,75,presidente,3,nulo,nulo
SC,83194,27,149,presidente,74,13,13
SC,83194,27,149,presidente,181,22,22
SC,83194,27,149,presidente,6,branco,branco
SC,83194,27,149,presidente,2,nulo,nulo
SC,83194,27,130,presidente,101,13,13
SC,83194,27,130,presidente,186,22,22
SC,83194,27,130,presidente,1,branco,branco
SC,83194,27,130,presidente,5,nulo,nulo
SC,83194,27,135,presidente,83,13,13
SC,83194,27,135,presidente,194,22,22
SC,83194,27,135,presidente,4,branco,branco
SC,83194,27,135,presidente,4,nulo,nulo
SC,83194,27,225,presidente,44,13,13
SC,83194,27,225,presidente,115,22,22
SC,83194,27,225,presidente,1,nulo,nulo
SC,83194,27,155,presidente,85,13,13
SC,83194,27,155,presidente,190,22,22
SC,83194,27,155,presidente,3,branco,branco
SC,83194,27,155,presidente,2,nulo,nulo
SC,83194,27,69,presidente,43,13,13
SC,83194,27,69,presidente,125,22,22
SC,83194,27,69,presidente,3,nulo,nulo
SC,83194,27,203,presidente,76,13,13
SC,83194,27,203,presidente,197,22,22
SC,83194,27,203,presidente,1,branco,branco
SC,83194,27,203,presidente,7,nulo,nulo
SC,83194,27,112,presidente,87,13,13
SC,83194,27,112,presidente,192,22,22
SC,83194,27,112,presidente,4,branco,branco
SC,83194,27,112,presidente,10,nulo,nulo
SC,83194,27,41,presidente,92,13,13
