UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
SE,32050,11,96,presidente,137,13,13
SE,32050,11,96,presidente,81,22,22
SE,32050,11,96,presidente,2,branco,branco
SE,32050,11,96,presidente,11,nulo,nulo
SE,32050,11,47,presidente,183,13,13
SE,32050,11,47,presidente,64,22,22
SE,32050,11,47,presidente,2,branco,branco
SE,32050,11,47,presidente,4,nulo,nulo
SE,32050,11,53,presidente,173,13,13
SE,32050,11,53,presidente,72,22,22
SE,32050,11,53,presidente,5,branco,branco
SE,32050,11,53,presidente,6,nulo,nulo
SE,32050,11,55,presidente,159,13,13
SE,32050,11,55,presidente,69,22,22
SE,32050,11,55,presidente,3,branco,branco
SE,32050,11,55,presidente,4,nulo,nulo
SE,32050,11,62,presidente,172,13,13
SE,32050,11,62,presidente,69,22,22
SE,32050,11,62,presidente,3,branco,branco
SE,32050,11,62,presidente,6,nulo,nulo
SE,32050,11,50,presidente,166,13,13
SE,32050,11,50,presidente,78,22,22
SE,32050,11,50,presidente,3,branco,branco
SE,32050,11,50,presidente,3,nulo,nulo
SE,32050,11,80,presidente,181,13,13
SE,32050,11,80,presidente,71,22,22
SE,32050,11,80,presidente,3,branco,branco
SE,32050,11,80,presidente,5,nulo,nulo
SE,32050,11,129,presidente,118,13,13
SE,32050,11,129,presidente,45,22,22
SE,32050,11,129,presidente,2,branco,branco
SE,32050,11,129,presidente,4,nulo,nulo
SE,32050,11,65,presidente,158,13,13
SE,32050,11,65,presidente,71,22,22
SE,32050,11,65,presidente,2,branco,branco
SE,32050,11,65,presidente,7,nulo,nulo
SE,32050,11,64,presidente,157,13,13
SE,32050,11,64,presidente,54,22,22
SE,32050,11,64,presidente,2,branco,branco
SE,32050,11,64,presidente,7,nulo,nulo
SE,32050,11,49,presidente,165,13,13
SE,32050,11,49,presidente,91,22,22
SE,32050,11,49,presidente,3,branco,branco
SE,32050,11,49,presidente,2,nulo,nulo
SE,32050,11,51,presidente,165,13,13
SE,32050,11,51,presidente,79,22,22
SE,32050,11,51,presidente,6,branco,branco
SE,32050,11,51,presidente,9,nulo,nulo
SE,32050,11,52,presidente,154,13,13
SE,32050,11,52,presidente,76,22,22
SE,32050,11,52,presidente,4,branco,branco
SE,32050,11,52,presidente,12,nulo,nulo
SE,32050,11,77,presidente,177,13,13
SE,32050,11,77,presidente,76,22,22
SE,32050,11,77,presidente,2,branco,branco
SE,32050,11,77,presidente,5,nulo,nulo
SE,32050,11,108,presidente,176,13,13
SE,32050,11,108,presidente,54,22,22
SE,32050,11,108,presidente,2,branco,branco
SE,32050,11,108,presidente,7,nulo,nulo
SE,32050,11,101,presidente,171,13,13
SE,32050,11,101,presidente,28,22,22
SE,32050,11,101,presidente,4,branco,branco
SE,32050,11,101,presidente,2,nulo,nulo
SE,32050,11,78,presidente,173,13,13
SE,32050,11,78,presidente,75,22,22
SE,32050,11,78,presidente,1,branco,branco
SE,32050,11,78,presidente,12,nulo,nulo
SE,32050,11,128,presidente,135,13,13
SE,32050,11,128,presidente,57,22,22
SE,32050,11,128,presidente,2,branco,branco
SE,32050,11,128,presidente,7,nulo,nulo
SE,32050,11,185,presidente,87,13,13
SE,32050,11,185,presidente,7,22,22
SE,32050,11,185,presidente,1,branco,branco
SE,32050,11,185,presidente,2,nulo,nulo
SE,32050,11,122,presidente,161,13,13
SE,32050,11,122,presidente,58,22,22
SE,32050,11,122,presidente,4,branco,branco
SE,32050,11,122,presidente,11,nulo,nulo
SE,32050,11,63,presidente,169,13,13
SE,32050,11,63,presidente,76,22,22
SE,32050,11,63,presidente,6,branco,branco
SE,32050,11,63,presidente,10,nulo,nulo
SE,32050,11,48,presidente,166,13,13
SE,32050,11,48,presidente,59,22,22
SE,32050,11,48,presidente,1,branco,branco
SE,32050,11,48,presidente,10,nulo,nulo
SE,32050,11,178,presidente,55,13,13
SE,32050,11,178,presidente,26,22,22
SE,32050,11,178,presidente,3,nulo,nulo
SE,32050,11,183,presidente,154,13,13
SE,32050,11,183,presidente,76,22,22
SE,32050,11,183,presidente,5,branco,branco
SE,32050,11,183,presidente,9,nulo,nulo
SE,32050,11,107,presidente,154,13,13
SE,32050,11,107,presidente,20,22,22
SE,32050,11,107,presidente,6,branco,branco
SE,32050,11,107,presidente,6,nulo,nulo
SE,32050,11,103,presidente,192,13,13
SE,32050,11,103,presidente,41,22,22
SE,32050,11,103,presidente,3,branco,branco
SE,32050,11,103,presidente,11,nulo,nulo
SE,32050,11,81,presidente,192,13,13
SE,32050,11,81,presidente,65,22,22
SE,32050,11,81,presidente,5,branco,branco
SE,32050,11,81,presidente,5,nulo,nulo
SE,31615,8,69,presidente,100,13,13
SE,31615,8,69,presidente,53,22,22
SE,31615,8,69,presidente,2,branco,branco
SE,31615,8,69,presidente,5,nulo,nulo
SE,31615,8,41,presidente,181,13,13
SE,31615,8,41,presidente,79,22,22
SE,31615,8,41,presidente,3,branco,branco
SE,31615,8,41,presidente,13,nulo,nulo
SE,31615,8,27,presidente,167,13,13
SE,31615,8,27,presidente,65,22,22
SE,31615,8,27,presidente,3,branco,branco
SE,31615,8,27,presidente,8,nulo,nulo
SE,31615,8,53,presidente,114,13,13
SE,31615,8,53,presidente,33,22,22
SE,31615,8,53,presidente,3,branco,branco
SE,31615,8,53,presidente,9,nulo,nulo
SE,31615,8,31,presidente,120,13,13
SE,31615,8,31,presidente,24,22,22
SE,31615,8,31,presidente,1,branco,branco
SE,31615,8,31,presidente,7,nulo,nulo
SE,31615,8,28,presidente,164,13,13
SE,31615,8,28,presidente,64,22,22
SE,31615,8,28,presidente,2,branco,branco
SE,31615,8,28,presidente,6,nulo,nulo
SE,31615,8,26,presidente,164,13,13
SE,31615,8,26,presidente,58,22,22
SE,31615,8,26,presidente,7,branco,branco
SE,31615,8,26,presidente,10,nulo,nulo
SE,31615,8,22,presidente,212,13,13
SE,31615,8,22,presidente,52,22,22
SE,31615,8,22,presidente,1,branco,branco
SE,31615,8,22,presidente,14,nulo,nulo
SE,31615,8,24,presidente,196,13,13
SE,31615,8,24,presidente,57,22,22
SE,31615,8,24,presidente,2,branco,branco
SE,31615,8,24,presidente,7,nulo,nulo
SE,31615,8,23,presidente,154,13,13
SE,31615,8,23,presidente,65,22,22
SE,31615,8,23,presidente,4,branco,branco
SE,31615,8,23,presidente,8,nulo,nulo
SE,31615,8,30,presidente,169,13,13
SE,31615,8,30,presidente,30,22,22
SE,31615,8,30,presidente,9,branco,branco
SE,31615,8,30,presidente,7,nulo,nulo
SE,31615,8,29,presidente,172,13,13
SE,31615,8,29,presidente,64,22,22
SE,31615,8,29,presidente,3,branco,branco
SE,31615,8,29,presidente,5,nulo,nulo
SE,31615,8,51,presidente,169,13,13
SE,31615,8,51,presidente,46,22,22
SE,31615,8,51,presidente,2,branco,branco
SE,31615,8,51,presidente,6,nulo,nulo
SE,31615,8,21,presidente,171,13,13
SE,31615,8,21,presidente,70,22,22
SE,31615,8,21,presidente,2,branco,branco
SE,31615,8,21,presidente,5,nulo,nulo
SE,31615,8,48,presidente,162,13,13
SE,31615,8,48,presidente,64,22,22
SE,31615,8,48,presidente,5,branco,branco
SE,31615,8,48,presidente,8,nulo,nulo
SE,31615,8,25,presidente,150,13,13
SE,31615,8,25,presidente,69,22,22
SE,31615,8,25,presidente,5,branco,branco
SE,31615,8,25,presidente,11,nulo,nulo
SE,31011,19,125,presidente,199,13,13
SE,31011,19,125,presidente,51,22,22
SE,31011,19,125,presidente,2,branco,branco
SE,31011,19,125,presidente,7,nulo,nulo
SE,31011,19,130,presidente,151,13,13
SE,31011,19,130,presidente,70,22,22
SE,31011,19,130,presidente,5,nulo,nulo
SE,31011,19,127,presidente,173,13,13
SE,31011,19,127,presidente,62,22,22
SE,31011,19,127,presidente,1,branco,branco
SE,31011,19,127,presidente,5,nulo,nulo
SE,31011,19,133,presidente,164,13,13
SE,31011,19,133,presidente,41,22,22
SE,31011,19,133,presidente,2,branco,branco
