UF,municipio,zona,secao,qtdEleitoresAptos,qtdComparecimento,dataHoraAbertura,dataHoraEncerramento,idPleito,qtdEleitoresLibCodigo,qtdEleitoresCompBiometrico,modelo
TO,73350,34,33,321,251,20221030T083026,20221030T170219,407,42,235,UE2009
TO,73350,34,135,324,229,20221030T080001,20221030T170047,407,26,178,UE2010
TO,73350,34,90,203,170,20221030T080001,20221030T170052,407,19,151,UE2010
TO,73350,34,27,326,258,20221030T080001,20221030T170320,407,79,240,UE2010
TO,73350,34,46,327,267,20221030T080001,20221030T170121,407,43,249,UE2010
TO,73350,34,28,203,181,20221030T080001,20221030T170142,407,42,163,UE2010
TO,73350,34,87,299,226,20221030T080001,20221030T170245,407,19,205,UE2010
TO,73350,34,26,328,281,20221030T080001,20221030T170225,407,44,260,UE2010
TO,73350,34,38,325,258,20221030T080001,20221030T170505,407,33,243,UE2010
TO,73350,34,91,296,222,20221030T080001,20221030T170052,407,28,206,UE2010
TO,73350,34,139,121,108,20221030T080001,20221030T170351,407,12,88,UE2010
TO,73350,34,22,298,233,20221030T080001,20221030T170738,407,73,219,UE2010
TO,73350,34,24,300,228,20221030T080001,20221030T170357,407,31,215,UE2010
TO,73350,34,23,297,231,20221030T080001,20221030T170101,407,34,218,UE2010
TO,73350,34,30,87,62,20221030T080001,20221030T170047,407,11,61,UE2010
TO,73350,34,29,152,98,20221030T080001,20221030T170115,407,14,93,UE2010
TO,73350,34,77,322,242,20221030T080001,20221030T170131,407,26,226,UE2010
TO,73350,34,25,298,236,20221030T080001,20221030T170538,407,48,219,UE2010
TO,73350,34,81,323,261,20221030T080001,20221030T170032,407,24,243,UE2010
TO,93114,4,162,262,195,20221030T080019,20221030T170020,407,3,192,UE2020
TO,93114,4,145,318,265,20221030T080001,20221030T170113,407,5,224,UE2020
TO,93114,4,150,262,213,20221030T080001,20221030T170047,407,5,213,UE2020
TO,93114,4,189,188,159,20221030T080001,20221030T170101,407,4,116,UE2020
TO,93114,4,134,322,258,20221030T080001,20221030T170054,407,10,242,UE2020
TO,93114,4,9,232,184,20221030T080001,20221030T170119,407,9,175,UE2020
TO,93114,4,142,303,247,20221030T080001,20221030T170303,407,10,226,UE2020
TO,93114,4,33,309,241,20221030T080001,20221030T170007,407,3,234,UE2020
TO,93114,4,158,317,236,20221030T080001,20221030T170226,407,7,212,UE2020
TO,93114,4,1,305,242,20221030T080001,20221030T170024,407,11,234,UE2020
TO,93114,4,149,267,207,20221030T080916,20221030T170127,407,16,207,UE2020
TO,93114,4,155,263,210,20221030T080001,20221030T170308,407,3,210,UE2020
TO,93114,4,186,309,220,20221030T080001,20221030T170134,407,9,199,UE2020
TO,93114,4,7,233,184,20221030T080001,20221030T170231,407,8,176,UE2020
TO,93114,4,41,286,219,20221030T080001,20221030T170025,407,10,217,UE2020
TO,93114,4,167,266,190,20221030T080001,20221030T170105,407,4,187,UE2020
TO,93114,4,159,302,236,20221030T080001,20221030T170049,407,8,231,UE2020
TO,93114,4,39,292,237,20221030T080001,20221030T170141,407,9,230,UE2020
TO,93114,4,90,322,265,20221030T080001,20221030T170140,407,15,252,UE2020
TO,93114,4,27,324,276,20221030T080001,20221030T170056,407,15,258,UE2020
TO,93114,4,165,303,205,20221030T080001,20221030T170149,407,9,185,UE2020
TO,93114,4,12,281,228,20221030T080001,20221030T170046,407,7,197,UE2020
TO,93114,4,141,307,260,20221030T080001,20221030T170200,407,4,247,UE2020
TO,93114,4,118,298,244,20221030T080001,20221030T170031,407,6,239,UE2020
TO,93114,4,121,296,233,20221030T080001,20221030T170617,407,11,226,UE2020
TO,93114,4,44,232,200,20221030T080001,20221030T170130,407,7,186,UE2020
TO,93114,4,31,228,174,20221030T080001,20221030T170249,407,11,167,UE2020
TO,93114,4,32,309,245,20221030T080001,20221030T170306,407,11,233,UE2020
TO,93114,4,184,300,226,20221030T080001,20221030T170043,407,7,221,UE2020
TO,93114,4,19,280,231,20221030T080001,20221030T170040,407,6,192,UE2020
TO,93114,4,3,300,239,20221030T080411,20221030T170016,407,22,232,UE2020
TO,93114,4,28,232,183,20221030T080001,20221030T170254,407,9,174,UE2020
TO,93114,4,26,326,261,20221030T080001,20221030T170134,407,14,245,UE2020
TO,93114,4,151,272,212,20221030T080001,20221030T170229,407,12,212,UE2020
TO,93114,4,38,321,255,20221030T080001,20221030T170124,407,8,247,UE2020
TO,93114,4,161,288,233,20221030T080402,20221030T170414,407,9,227,UE2020
TO,93114,4,144,312,250,20221030T080001,20221030T170120,407,2,236,UE2020
TO,93114,4,35,308,250,20221030T080001,20221030T170055,407,10,238,UE2020
TO,93114,4,6,231,189,20221030T080001,20221030T170258,407,9,176,UE2020
TO,93114,4,8,233,189,20221030T080001,20221030T170215,407,11,179,UE2020
TO,93114,4,187,198,152,20221030T080001,20221030T170146,407,1,125,UE2020
TO,93114,4,40,285,226,20221030T080001,20221030T170140,407,4,220,UE2020
TO,93114,4,20,325,260,20221030T080001,20221030T170023,407,14,237,UE2020
TO,93114,4,139,323,260,20221030T080001,20221030T170141,407,10,240,UE2020
TO,93114,4,37,323,260,20221030T080001,20221030T170337,407,20,244,UE2020
TO,93114,4,146,320,256,20221030T080001,20221030T170618,407,12,243,UE2020
TO,93114,4,160,268,212,20221030T080001,20221030T170247,407,4,212,UE2020
TO,93114,4,154,289,224,20221030T080001,20221030T170135,407,8,224,UE2020
TO,93114,4,136,348,292,20221030T080001,20221030T170736,407,4,273,UE2020
TO,93114,4,164,318,243,20221030T080001,20221030T170043,407,10,214,UE2020
TO,93114,4,15,277,220,20221030T080001,20221030T170300,407,18,183,UE2020
TO,93114,4,22,322,262,20221030T080001,20221030T170218,407,16,237,UE2020
TO,93114,4,16,200,160,20221030T080001,20221030T170122,407,23,155,UE2020
TO,93114,4,24,324,253,20221030T080001,20221030T170041,407,14,234,UE2020
TO,93114,4,140,294,238,20221030T080001,20221030T170051,407,9,232,UE2020
TO,93114,4,23,275,226,20221030T080001,20221030T170055,407,0,226,UE2020
TO,93114,4,188,298,224,20221030T080001,20221030T170016,407,3,164,UE2020
TO,93114,4,18,276,216,20221030T080001,20221030T170150,407,10,183,UE2020
TO,93114,4,30,233,188,20221030T080001,20221030T170254,407,7,177,UE2020
TO,93114,4,29,230,179,20221030T080001,20221030T170410,407,10,166,UE2020
TO,93114,4,43,231,190,20221030T080001,20221030T170429,407,10,180,UE2020
TO,93114,4,156,198,164,20221030T080001,20221030T170216,407,4,137,UE2020
TO,93114,4,190,270,210,20221030T080001,20221030T170216,407,4,120,UE2020
TO,93114,4,34,309,240,20221030T080001,20221030T170121,407,11,233,UE2020
TO,93114,4,138,346,291,20221030T080001,20221030T170039,407,10,271,UE2020
TO,93114,4,5,298,242,20221030T080001,20221030T170221,407,19,231,UE2020
TO,93114,4,36,305,250,20221030T080001,20221030T170020,407,10,245,UE2020
TO,93114,4,10,199,166,20221030T080001,20221030T170103,407,2,164,UE2020
TO,93114,4,2,296,226,20221030T080001,20221030T170145,407,9,219,UE2020
TO,93114,4,185,319,209,20221030T080001,20221030T170043,407,4,187,UE2020
TO,93114,4,21,299,240,20221030T080001,20221030T170038,407,10,240,UE2020
TO,93114,4,11,193,151,20221030T080001,20221030T170027,407,4,146,UE2020
TO,93114,4,147,329,257,20221030T080001,20221030T170054,407,12,243,UE2020
TO,93114,4,42,283,231,20221030T080001,20221030T170209,407,17,224,UE2020
TO,93114,4,4,296,245,20221030T080001,20221030T170108,407,6,240,UE2020
TO,93114,4,17,277,220,20221030T080001,20221030T171831,407,15,195,UE2020
TO,93114,4,25,325,254,20221030T080001,20221030T170315,407,11,237,UE2020
TO,93114,4,183,261,184,20221030T080001,20221030T170021,407,3,184,UE2020
TO,93114,4,14,344,292,20221030T080001,20221030T170045,407,21,278,UE2020
TO,93114,4,157,306,256,20221030T080001,20221030T170141,407,11,236,UE2020
TO,93114,4,163,306,239,20221030T080001,20221030T170918,407,15,228,UE2020
TO,93459,28,33,275,204,20221030T080001,20221030T170136,407,40,196,UE2010
TO,93459,28,75,288,211,20221030T080001,20221030T170026,407,47,193,UE2010
TO,93459,28,73,292,243,20221030T080001,20221030T170225,407,23,225,UE2010
TO,93459,28,27,271,218,20221030T080001,20221030T170236,407,33,215,UE2010
TO,93459,28,115,232,147,20221030T080001,20221030T170030,407,12,126,UE2010
TO,93459,28,119,206,170,20221030T080714,20221030T170029,407,13,80,UE2010
TO,93459,28,31,292,214,20221030T080001,20221030T170048,407,29,214,UE2010
TO,93459,28,32,284,213,20221030T080001,20221030T170003,407,37,210,UE2010
TO,93459,28,28,274,225,20221030T080001,20221030T170035,407,29,216,UE2010
TO,93459,28,80,240,165,20221030T080001,20221030T170019,407,14,163,UE2010
TO,93459,28,26,284,239,20221030T082138,20221030T170031,407,32,238,UE2009
TO,93459,28,35,272,206,20221030T080001,20221030T170029,407,35,203,UE2010
TO,93459,28,37,290,233,20221030T080001,20221030T170051,407,18,219,UE2010
TO,93459,28,30,285,220,20221030T080001,20221030T170031,407,40,220,UE2010
TO,93459,28,29,275,224,20221030T080001,20221030T170003,407,37,220,UE2010
TO,93459,28,34,271,199,20221030T080001,20221030T170020,407,33,189,UE2010
TO,93459,28,36,292,231,20221030T080001,20221030T170125,407,22,211,UE2010
TO,93459,28,25,273,224,20221030T080001,20221030T170124,407,50,218,UE2010
TO,93130,22,60,203,153,20221030T080001,20221030T170237,407,9,138,UE2011
TO,93130,22,58,209,145,20221030T080001,20221030T170033,407,6,130,UE2011
TO,93130,22,53,213,150,20221030T080001,20221030T170239,407,11,146,UE2011
TO,93130,22,55,215,155,20221030T080001,20221030T170030,407,6,152,UE2011
TO,93130,22,62,248,204,20221030T080001,20221030T170158,407,14,204,UE2011
TO,93130,22,50,206,155,20221030T080001,20221030T170025,407,21,152,UE2011
TO,93130,22,56,213,143,20221030T080001,20221030T170105,407,8,143,UE2011
TO,93130,22,61,209,132,20221030T080001,20221030T170221,407,5,119,UE2011
TO,93130,22,64,203,130,20221030T080001,20221030T170148,407,15,113,UE2011
TO,93130,22,49,209,162,20221030T080001,20221030T170136,407,21,162,UE2011
TO,93130,22,51,208,147,20221030T080001,20221030T170105,407,16,145,UE2011
TO,93130,22,52,212,161,20221030T080001,20221030T170241,407,11,161,UE2011
TO,93130,22,59,204,145,20221030T080001,20221030T170135,407,10,128,UE2011
TO,93130,22,57,359,253,20221030T080001,20221030T170025,407,13,207,UE2011
TO,93130,22,63,200,122,20221030T080001,20221030T170159,407,7,115,UE2011
