UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
TO,73350,34,33,presidente,131,13,13
TO,73350,34,33,presidente,116,22,22
TO,73350,34,33,presidente,4,nulo,nulo
TO,73350,34,135,presidente,116,13,13
TO,73350,34,135,presidente,108,22,22
TO,73350,34,135,presidente,1,branco,branco
TO,73350,34,135,presidente,4,nulo,nulo
TO,73350,34,90,presidente,136,13,13
TO,73350,34,90,presidente,32,22,22
TO,73350,34,90,presidente,2,nulo,nulo
TO,73350,34,27,presidente,137,13,13
TO,73350,34,27,presidente,115,22,22
TO,73350,34,27,presidente,3,branco,branco
TO,73350,34,27,presidente,3,nulo,nulo
TO,73350,34,46,presidente,124,13,13
TO,73350,34,46,presidente,136,22,22
TO,73350,34,46,presidente,2,branco,branco
TO,73350,34,46,presidente,5,nulo,nulo
TO,73350,34,28,presidente,144,13,13
TO,73350,34,28,presidente,34,22,22
TO,73350,34,28,presidente,3,nulo,nulo
TO,73350,34,87,presidente,120,13,13
TO,73350,34,87,presidente,97,22,22
TO,73350,34,87,presidente,4,branco,branco
TO,73350,34,87,presidente,5,nulo,nulo
TO,73350,34,26,presidente,135,13,13
TO,73350,34,26,presidente,144,22,22
TO,73350,34,26,presidente,2,nulo,nulo
TO,73350,34,38,presidente,126,13,13
TO,73350,34,38,presidente,124,22,22
TO,73350,34,38,presidente,4,branco,branco
TO,73350,34,38,presidente,4,nulo,nulo
TO,73350,34,91,presidente,123,13,13
TO,73350,34,91,presidente,93,22,22
TO,73350,34,91,presidente,6,nulo,nulo
TO,73350,34,139,presidente,95,13,13
TO,73350,34,139,presidente,12,22,22
TO,73350,34,139,presidente,1,branco,branco
TO,73350,34,22,presidente,141,13,13
TO,73350,34,22,presidente,88,22,22
TO,73350,34,22,presidente,1,branco,branco
TO,73350,34,22,presidente,3,nulo,nulo
TO,73350,34,24,presidente,121,13,13
TO,73350,34,24,presidente,100,22,22
TO,73350,34,24,presidente,2,branco,branco
TO,73350,34,24,presidente,5,nulo,nulo
TO,73350,34,23,presidente,114,13,13
TO,73350,34,23,presidente,111,22,22
TO,73350,34,23,presidente,2,branco,branco
TO,73350,34,23,presidente,4,nulo,nulo
TO,73350,34,30,presidente,36,13,13
TO,73350,34,30,presidente,24,22,22
TO,73350,34,30,presidente,2,nulo,nulo
TO,73350,34,29,presidente,94,13,13
TO,73350,34,29,presidente,4,22,22
TO,73350,34,77,presidente,120,13,13
TO,73350,34,77,presidente,114,22,22
TO,73350,34,77,presidente,2,branco,branco
TO,73350,34,77,presidente,6,nulo,nulo
TO,73350,34,25,presidente,134,13,13
TO,73350,34,25,presidente,98,22,22
TO,73350,34,25,presidente,1,branco,branco
TO,73350,34,25,presidente,3,nulo,nulo
TO,73350,34,81,presidente,117,13,13
TO,73350,34,81,presidente,139,22,22
TO,73350,34,81,presidente,2,branco,branco
TO,73350,34,81,presidente,3,nulo,nulo
TO,93114,4,162,presidente,115,13,13
TO,93114,4,162,presidente,71,22,22
