UF,municipio,zona,secao,qtdEleitoresAptos,qtdComparecimento,dataHoraAbertura,dataHoraEncerramento,idPleito,qtdEleitoresLibCodigo,qtdEleitoresCompBiometrico,modelo
ZZ,30422,1,651,181,58,20221030T080001,20221030T170229,407,0,0,UE2009
ZZ,30155,1,996,734,426,20221030T080001,20221030T171134,407,0,0,UE2009
ZZ,30155,1,256,780,238,20221030T080001,20221030T171826,407,0,0,UE2009
ZZ,30155,1,257,785,594,20221030T080001,20221030T171600,407,0,0,UE2009
ZZ,30155,1,259,791,565,20221030T080001,20221030T171616,407,0,0,UE2009
ZZ,30155,1,1039,532,418,20221030T080001,20221030T170454,407,0,0,UE2009
ZZ,30155,1,258,732,480,20221030T080001,20221030T171235,407,0,0,UE2009
ZZ,30155,1,580,787,454,20221030T080001,20221030T171513,407,0,0,UE2009
ZZ,30155,1,699,787,465,20221030T080001,20221030T171606,407,0,0,UE2009
ZZ,30155,1,525,798,560,20221030T080001,20221030T171207,407,0,0,UE2009
ZZ,30155,1,260,786,449,20221030T080001,20221030T171511,407,0,0,UE2009
ZZ,30155,1,2996,398,336,20221030T080001,20221030T170655,407,0,0,UE2009
ZZ,30155,1,802,752,443,20221030T080001,20221030T171755,407,0,0,UE2009
ZZ,30155,1,869,786,468,20221030T080001,20221030T171724,407,0,0,UE2009
ZZ,29971,1,1629,798,451,20221030T080001,20221030T172025,407,0,0,UE2009
ZZ,29971,1,1644,796,359,20221030T080001,20221030T171815,407,0,0,UE2009
ZZ,29971,1,1630,797,341,20221030T080001,20221030T171738,407,0,0,UE2009
ZZ,29971,1,1631,794,470,20221030T080001,20221030T171744,407,0,0,UE2009
ZZ,29971,1,1633,763,263,20221030T080001,20221030T171707,407,0,0,UE2009
ZZ,29971,1,1640,798,230,20221030T080001,20221030T171629,407,0,0,UE2015
ZZ,29971,1,1622,796,404,20221030T080001,20221030T171652,407,0,0,UE2009
ZZ,29971,1,1651,800,276,20221030T080001,20221030T171737,407,0,0,UE2009
ZZ,29971,1,1624,796,446,20221030T080001,20221030T171934,407,0,0,UE2009
ZZ,29971,1,1657,797,379,20221030T080001,20221030T171620,407,0,0,UE2009
ZZ,29971,1,1626,798,459,20221030T080001,20221030T171720,407,0,0,UE2009
ZZ,29971,1,1634,797,378,20221030T080001,20221030T171648,407,0,0,UE2009
ZZ,29971,1,1628,796,467,20221030T080001,20221030T172228,407,0,0,UE2009
ZZ,29971,1,1650,798,268,20221030T080001,20221030T172510,407,0,0,UE2009
ZZ,29971,1,1646,797,365,20221030T080001,20221030T171700,407,0,0,UE2009
ZZ,29971,1,1627,798,282,20221030T080001,20221030T172205,407,0,0,UE2009
ZZ,29971,1,1653,795,293,20221030T080001,20221030T171821,407,0,0,UE2009
ZZ,29971,1,1652,798,383,20221030T080001,20221030T171808,407,0,0,UE2009
ZZ,29971,1,1623,799,398,20221030T080001,20221030T171918,407,0,0,UE2009
ZZ,29971,1,1658,795,362,20221030T080001,20221030T172540,407,0,0,UE2009
ZZ,29971,1,1648,793,308,20221030T080001,20221030T171733,407,0,0,UE2009
ZZ,29971,1,1649,799,294,20221030T080001,20221030T171700,407,0,0,UE2009
ZZ,29971,1,1671,799,449,20221030T080001,20221030T171542,407,0,0,UE2015
