UF,municipio,zona,secao,cargo,quantidadeVotos,partido,candidato
ZZ,30422,1,651,presidente,38,13,13
ZZ,30422,1,651,presidente,18,22,22
ZZ,30422,1,651,presidente,2,nulo,nulo
ZZ,30155,1,996,presidente,277,13,13
ZZ,30155,1,996,presidente,132,22,22
ZZ,30155,1,996,presidente,6,branco,branco
ZZ,30155,1,996,presidente,11,nulo,nulo
ZZ,30155,1,256,presidente,143,13,13
ZZ,30155,1,256,presidente,83,22,22
ZZ,30155,1,256,presidente,3,branco,branco
ZZ,30155,1,256,presidente,9,nulo,nulo
ZZ,30155,1,257,presidente,407,13,13
ZZ,30155,1,257,presidente,157,22,22
ZZ,30155,1,257,presidente,12,branco,branco
ZZ,30155,1,257,presidente,18,nulo,nulo
ZZ,30155,1,259,presidente,412,13,13
ZZ,30155,1,259,presidente,133,22,22
ZZ,30155,1,259,presidente,9,branco,branco
ZZ,30155,1,259,presidente,11,nulo,nulo
ZZ,30155,1,1039,presidente,264,13,13
ZZ,30155,1,1039,presidente,123,22,22
ZZ,30155,1,1039,presidente,14,branco,branco
ZZ,30155,1,1039,presidente,17,nulo,nulo
ZZ,30155,1,258,presidente,320,13,13
ZZ,30155,1,258,presidente,142,22,22
ZZ,30155,1,258,presidente,5,branco,branco
ZZ,30155,1,258,presidente,13,nulo,nulo
ZZ,30155,1,580,presidente,280,13,13
ZZ,30155,1,580,presidente,148,22,22
ZZ,30155,1,580,presidente,12,branco,branco
ZZ,30155,1,580,presidente,14,nulo,nulo
ZZ,30155,1,699,presidente,283,13,13
ZZ,30155,1,699,presidente,155,22,22
ZZ,30155,1,699,presidente,15,branco,branco
ZZ,30155,1,699,presidente,12,nulo,nulo
ZZ,30155,1,525,presidente,385,13,13
ZZ,30155,1,525,presidente,153,22,22
ZZ,30155,1,525,presidente,8,branco,branco
ZZ,30155,1,525,presidente,14,nulo,nulo
ZZ,30155,1,260,presidente,284,13,13
ZZ,30155,1,260,presidente,133,22,22
ZZ,30155,1,260,presidente,8,branco,branco
ZZ,30155,1,260,presidente,24,nulo,nulo
ZZ,30155,1,2996,presidente,246,13,13
ZZ,30155,1,2996,presidente,80,22,22
ZZ,30155,1,2996,presidente,1,branco,branco
ZZ,30155,1,2996,presidente,9,nulo,nulo
ZZ,30155,1,802,presidente,275,13,13
ZZ,30155,1,802,presidente,151,22,22
ZZ,30155,1,802,presidente,4,branco,branco
ZZ,30155,1,802,presidente,13,nulo,nulo
ZZ,30155,1,869,presidente,295,13,13
ZZ,30155,1,869,presidente,151,22,22
ZZ,30155,1,869,presidente,5,branco,branco
ZZ,30155,1,869,presidente,17,nulo,nulo
ZZ,29971,1,1629,presidente,286,13,13
ZZ,29971,1,1629,presidente,153,22,22
ZZ,29971,1,1629,presidente,6,branco,branco
ZZ,29971,1,1629,presidente,6,nulo,nulo
ZZ,29971,1,1644,presidente,195,13,13
ZZ,29971,1,1644,presidente,158,22,22
ZZ,29971,1,1644,presidente,4,branco,branco
ZZ,29971,1,1644,presidente,2,nulo,nulo
ZZ,29971,1,1630,presidente,220,13,13
ZZ,29971,1,1630,presidente,113,22,22
ZZ,29971,1,1630,presidente,3,branco,branco
ZZ,29971,1,1630,presidente,5,nulo,nulo
ZZ,29971,1,1631,presidente,302,13,13
ZZ,29971,1,1631,presidente,160,22,22
ZZ,29971,1,1631,presidente,4,branco,branco
ZZ,29971,1,1631,presidente,4,nulo,nulo
ZZ,29971,1,1633,presidente,156,13,13
ZZ,29971,1,1633,presidente,106,22,22
ZZ,29971,1,1633,presidente,1,branco,branco
ZZ,29971,1,1640,presidente,103,13,13
ZZ,29971,1,1640,presidente,124,22,22
ZZ,29971,1,1640,presidente,3,nulo,nulo
ZZ,29971,1,1622,presidente,237,13,13
ZZ,29971,1,1622,presidente,158,22,22
ZZ,29971,1,1622,presidente,4,branco,branco
ZZ,29971,1,1622,presidente,5,nulo,nulo
ZZ,29971,1,1651,presidente,135,13,13
ZZ,29971,1,1651,presidente,133,22,22
ZZ,29971,1,1651,presidente,3,branco,branco
ZZ,29971,1,1651,presidente,5,nulo,nulo
ZZ,29971,1,1624,presidente,281,13,13
ZZ,29971,1,1624,presidente,157,22,22
ZZ,29971,1,1624,presidente,3,branco,branco
ZZ,29971,1,1624,presidente,5,nulo,nulo
ZZ,29971,1,1657,presidente,205,13,13
ZZ,29971,1,1657,presidente,164,22,22
ZZ,29971,1,1657,presidente,5,branco,branco
ZZ,29971,1,1657,presidente,5,nulo,nulo
ZZ,29971,1,1626,presidente,310,13,13
ZZ,29971,1,1626,presidente,142,22,22
ZZ,29971,1,1626,presidente,2,branco,branco
ZZ,29971,1,1626,presidente,5,nulo,nulo
ZZ,29971,1,1634,presidente,257,13,13
ZZ,29971,1,1634,presidente,116,22,22
ZZ,29971,1,1634,presidente,3,branco,branco
ZZ,29971,1,1634,presidente,2,nulo,nulo
ZZ,29971,1,1628,presidente,312,13,13
ZZ,29971,1,1628,presidente,146,22,22
ZZ,29971,1,1628,presidente,3,branco,branco
ZZ,29971,1,1628,presidente,6,nulo,nulo
ZZ,29971,1,1650,presidente,142,13,13
ZZ,29971,1,1650,presidente,115,22,22
ZZ,29971,1,1650,presidente,6,branco,branco
ZZ,29971,1,1650,presidente,5,nulo,nulo
ZZ,29971,1,1646,presidente,211,13,13
ZZ,29971,1,1646,presidente,145,22,22
ZZ,29971,1,1646,presidente,2,branco,branco
ZZ,29971,1,1646,presidente,7,nulo,nulo
ZZ,29971,1,1627,presidente,156,13,13
ZZ,29971,1,1627,presidente,121,22,22
ZZ,29971,1,1627,presidente,1,branco,branco
ZZ,29971,1,1627,presidente,4,nulo,nulo
ZZ,29971,1,1653,presidente,166,13,13
ZZ,29971,1,1653,presidente,111,22,22
ZZ,29971,1,1653,presidente,9,branco,branco
ZZ,29971,1,1653,presidente,7,nulo,nulo
ZZ,29971,1,1652,presidente,212,13,13
ZZ,29971,1,1652,presidente,154,22,22
ZZ,29971,1,1652,presidente,9,branco,branco
ZZ,29971,1,1652,presidente,8,nulo,nulo
ZZ,29971,1,1623,presidente,228,13,13
ZZ,29971,1,1623,presidente,163,22,22
ZZ,29971,1,1623,presidente,2,branco,branco
ZZ,29971,1,1623,presidente,5,nulo,nulo
